,Source,Target,Weight,Type
1,123_part1,123_part3,3,undirected
2,123_part1,233_part1,2,undirected
3,123_part1,sanovich_part2,2,undirected
4,123_part1,sanovich_part3,1,undirected
5,123_part2,123_part3,5,undirected
6,123_part2,123_part4,3,undirected
7,123_part2,erkhov_part2,2,undirected
8,123_part2,karelsky_part3,2,undirected
9,123_part2,karelsky_part8,1,undirected
10,123_part2,karelsky_part9,1,undirected
11,123_part2,sanovich_part1,2,undirected
12,123_part2,sanovich_part3,6,undirected
13,123_part2,shishkin_part3,2,undirected
14,123_part3,123_part1,3,undirected
15,123_part3,123_part2,5,undirected
16,123_part3,233_part1,3,undirected
17,123_part3,belov_part2,1,undirected
18,123_part3,rynkevich_part1,1,undirected
19,123_part3,shishkin_part3,2,undirected
20,123_part4,123_part2,3,undirected
21,123_part4,erkhov_part2,1,undirected
22,123_part4,sanovich_part3,2,undirected
23,152_part1,152_part2,1,undirected
24,152_part1,226_part3,5,undirected
25,152_part1,belov_part2,1,undirected
26,152_part1,gasparov_part6,3,undirected
27,152_part1,karelsky_part2,2,undirected
28,152_part1,kostyrko_part1,3,undirected
29,152_part1,smirnov_part3,2,undirected
30,152_part1,zhivotovsky_part2,5,undirected
31,152_part2,152_part1,1,undirected
32,152_part2,226_part3,2,undirected
33,152_part2,zhidkov_part1,6,undirected
34,165_part1,165_part2,6,undirected
35,165_part1,233_part1,1,undirected
36,165_part1,gasparov_part1,1,undirected
37,165_part1,karelsky_part1,1,undirected
38,165_part1,rynkevich_part2,5,undirected
39,165_part1,sanovich_part3,1,undirected
40,165_part1,shishkin_part3,1,undirected
41,165_part2,165_part1,6,undirected
42,165_part2,rynkevich_part2,1,undirected
43,165_part2,shishkin_part2,1,undirected
44,165_part2,shishkin_part3,5,undirected
45,226_part1,226_part2,6,undirected
46,226_part1,226_part3,1,undirected
47,226_part1,227_part1,4,undirected
48,226_part1,gasparov_part3,2,undirected
49,226_part1,gasparov_part5,2,undirected
