		lda	nmf
n_topics_5	n_topic_1	['мать', 'друг', 'поэт', 'милость', 'ученый', 'позабывать', 'полезный', 'надежда', 'отверженный', 'простонародье']	
n_topics_5	n_topic_2	['вардапет', 'мужчина', 'согрешать', 'немощность', 'смирение', 'устремленность', 'сила', 'совершенство', 'болезненный', 'надежда']	
n_topics_5	n_topic_3	['поэт', 'бог', 'книга', 'нарекаци', 'творец', 'вместе', 'твой', 'человек', 'душа', 'слово']	
n_topics_5	n_topic_4	['бог', 'поэт', 'угроза', 'человек', 'осуждать', 'божественный', 'круговой', 'сущий', 'черпать', 'творец']	
n_topics_5	n_topic_5	['осуждать', 'нарекаци', 'земной', 'благостыня', 'чернец', 'божий', 'знатный', 'источник', 'наставник', 'небесный']	
n_topics_6	n_topic_1	['мать', 'друг', 'поэт', 'милость', 'ученый', 'позабывать', 'полезный', 'надежда', 'отверженный', 'простонародье']	
n_topics_6	n_topic_2	['вардапет', 'мужчина', 'согрешать', 'немощность', 'устремленность', 'смирение', 'сила', 'совершенство', 'болезненный', 'надежда']	
n_topics_6	n_topic_3	['поэт', 'бог', 'книга', 'нарекаци', 'творец', 'вместе', 'твой', 'человек', 'душа', 'слово']	
n_topics_6	n_topic_4	['угроза', 'круговой', 'черпать', 'сущий', 'осуждать', 'божественный', 'бог', 'мочь', 'новый', 'язык']	
n_topics_6	n_topic_5	['осуждать', 'благостыня', 'земной', 'чернец', 'нарекаци', 'знатный', 'божий', 'наставник', 'источник', 'раб']	
n_topics_6	n_topic_6	['совершенствование', 'отнимать', 'сетовать', 'совесть', 'испрашивать', 'поелику', 'мать', 'идеал', 'дабы', 'многолюдный']	
n_topics_7	n_topic_1	['мать', 'друг', 'поэт', 'милость', 'ученый', 'позабывать', 'полезный', 'надежда', 'отверженный', 'простонародье']	
n_topics_7	n_topic_2	['вардапет', 'мужчина', 'согрешать', 'немощность', 'устремленность', 'смирение', 'сила', 'совершенство', 'болезненный', 'надежда']	
n_topics_7	n_topic_3	['поэт', 'бог', 'книга', 'нарекаци', 'творец', 'вместе', 'твой', 'душа', 'человек', 'слово']	
n_topics_7	n_topic_4	['бог', 'поэт', 'угроза', 'человек', 'осуждать', 'божественный', 'круговой', 'сущий', 'черпать', 'творец']	
n_topics_7	n_topic_5	['осуждать', 'благостыня', 'земной', 'нарекаци', 'чернец', 'божий', 'знатный', 'источник', 'наставник', 'раб']	
n_topics_7	n_topic_6	['совершенствование', 'отнимать', 'сетовать', 'совесть', 'поелику', 'испрашивать', 'мать', 'идеал', 'дабы', 'многолюдный']	
n_topics_7	n_topic_7	['твой', 'человек', 'душа', 'посредство', 'дерзновенный', 'поэт', 'составлять', 'небесный', 'единосущный', 'служить']	
n_topics_8	n_topic_1	['мать', 'друг', 'милость', 'поэт', 'ученый', 'позабывать', 'полезный', 'надежда', 'отверженный', 'простонародье']	
n_topics_8	n_topic_2	['вардапет', 'мужчина', 'согрешать', 'немощность', 'устремленность', 'смирение', 'сила', 'совершенство', 'болезненный', 'надежда']	
n_topics_8	n_topic_3	['поэт', 'бог', 'книга', 'нарекаци', 'творец', 'вместе', 'твой', 'человек', 'душа', 'слово']	
n_topics_8	n_topic_4	['угроза', 'круговой', 'черпать', 'сущий', 'осуждать', 'божественный', 'мочь', 'новый', 'язык', 'благословенный']	
n_topics_8	n_topic_5	['осуждать', 'благостыня', 'чернец', 'земной', 'знатный', 'наставник', 'раб', 'нарекаци', 'автор', 'очищение']	
n_topics_8	n_topic_6	['совершенствование', 'отнимать', 'сетовать', 'совесть', 'поелику', 'испрашивать', 'мать', 'идеал', 'дабы', 'многолюдный']	
n_topics_8	n_topic_7	['душа', 'человек', 'твой', 'посредство', 'дерзновенный', 'составлять', 'небесный', 'единосущный', 'служить', 'повертываться']	
n_topics_8	n_topic_8	['сомнение', 'помощь', 'никея', 'становиться', 'мир', 'христианский', 'сущий', 'создание', 'схватка', 'идти']	
n_topics_9	n_topic_1	['мать', 'друг', 'милость', 'ученый', 'полезный', 'позабывать', 'поэт', 'надежда', 'отверженный', 'простонародье']	
n_topics_9	n_topic_2	['вардапет', 'мужчина', 'согрешать', 'немощность', 'устремленность', 'смирение', 'сила', 'совершенство', 'болезненный', 'надежда']	
n_topics_9	n_topic_3	['поэт', 'бог', 'книга', 'нарекаци', 'творец', 'вместе', 'твой', 'человек', 'душа', 'слово']	
n_topics_9	n_topic_4	['угроза', 'круговой', 'черпать', 'сущий', 'осуждать', 'божественный', 'мочь', 'новый', 'бог', 'язык']	
n_topics_9	n_topic_5	['осуждать', 'благостыня', 'чернец', 'земной', 'нарекаци', 'знатный', 'наставник', 'божий', 'раб', 'автор']	
n_topics_9	n_topic_6	['совершенствование', 'отнимать', 'сетовать', 'совесть', 'поелику', 'испрашивать', 'мать', 'идеал', 'дабы', 'многолюдный']	
n_topics_9	n_topic_7	['душа', 'человек', 'твой', 'посредство', 'дерзновенный', 'составлять', 'небесный', 'единосущный', 'служить', 'повертываться']	
n_topics_9	n_topic_8	['сомнение', 'помощь', 'никея', 'становиться', 'мир', 'христианский', 'сущий', 'создание', 'схватка', 'идти']	
n_topics_9	n_topic_9	['дар', 'схватка', 'принижение', 'вдохновение', 'женщина', 'свет', 'григор', 'отверженный', 'собирать', 'хитрость']	
n_topics_10	n_topic_1	['мать', 'друг', 'поэт', 'милость', 'ученый', 'позабывать', 'полезный', 'надежда', 'отверженный', 'простонародье']	
n_topics_10	n_topic_2	['вардапет', 'мужчина', 'согрешать', 'немощность', 'устремленность', 'смирение', 'сила', 'совершенство', 'болезненный', 'надежда']	
n_topics_10	n_topic_3	['поэт', 'бог', 'книга', 'нарекаци', 'творец', 'вместе', 'твой', 'душа', 'человек', 'слово']	
n_topics_10	n_topic_4	['угроза', 'круговой', 'черпать', 'сущий', 'бог', 'осуждать', 'божественный', 'мочь', 'новый', 'язык']	
n_topics_10	n_topic_5	['осуждать', 'благостыня', 'чернец', 'земной', 'знатный', 'нарекаци', 'наставник', 'раб', 'автор', 'божий']	
