		lda	nmf
n_topics_5	n_topic_1	['автандил', 'гневный', 'фатьма', 'тариэл', 'помогать', 'нестан', 'вновь', 'славный', 'горе', 'устав']	
n_topics_5	n_topic_2	['тариэл', 'автандил', 'нестан', 'фатьма', 'фридон', 'ростеван', 'витязь', 'день', 'царь', 'друг']	
n_topics_5	n_topic_3	['тариэл', 'ложе', 'друг', 'желать', 'путь', 'день', 'кровь', 'черный', 'фарсадануть', 'ложь']	
n_topics_5	n_topic_4	['государь', 'воевать', 'ковчег', 'посовещаться', 'против', 'благородный', 'автандил', 'спокойствие', 'харчевня', 'город']	
n_topics_5	n_topic_5	['тариэл', 'автандил', 'мать', 'берег', 'воля', 'хлестнуть', 'дареджан', 'собираться', 'текст', 'отворять']	
n_topics_6	n_topic_1	['гневный', 'автандил', 'помогать', 'фатьма', 'вновь', 'устав', 'новый', 'хороший', 'славный', 'старшина']	
n_topics_6	n_topic_2	['тариэл', 'автандил', 'фатьма', 'престол', 'фридон', 'старость', 'царь', 'нестан', 'посмотреть', 'воин']	
n_topics_6	n_topic_3	['ложе', 'желать', 'кровь', 'путь', 'тариэл', 'черный', 'друг', 'ложь', 'знать', 'фарсадануть']	
n_topics_6	n_topic_4	['государь', 'воевать', 'ковчег', 'посовещаться', 'благородный', 'против', 'харчевня', 'спокойствие', 'очнуться', 'город']	
n_topics_6	n_topic_5	['мать', 'тариэл', 'берег', 'хлестнуть', 'воля', 'собираться', 'текст', 'отворять', 'напоминать', 'крона']	
n_topics_6	n_topic_6	['автандил', 'тариэл', 'нестан', 'фатьма', 'ростеван', 'фридон', 'друг', 'витязь', 'день', 'царь']	
n_topics_7	n_topic_1	['гневный', 'автандил', 'фатьма', 'помогать', 'вновь', 'славный', 'устав', 'новый', 'хороший', 'горе']	
n_topics_7	n_topic_2	['тариэл', 'автандил', 'фатьма', 'престол', 'старость', 'фридон', 'царь', 'посмотреть', 'нестан', 'весть']	
n_topics_7	n_topic_3	['ложе', 'желать', 'кровь', 'черный', 'путь', 'ложь', 'знать', 'беседа', 'грузинский', 'гнать']	
n_topics_7	n_topic_4	['государь', 'воевать', 'ковчег', 'посовещаться', 'благородный', 'против', 'харчевня', 'спокойствие', 'очнуться', 'город']	
n_topics_7	n_topic_5	['мать', 'берег', 'хлестнуть', 'воля', 'собираться', 'текст', 'отворять', 'тариэл', 'напоминать', 'крона']	
n_topics_7	n_topic_6	['тариэл', 'автандил', 'нестан', 'фатьма', 'ростеван', 'фридон', 'друг', 'витязь', 'день', 'царь']	
