		lda	nmf
n_topics_5	n_topic_1	['конец', 'мошенник', 'шляпа', 'тереса', 'двигаться', 'красный', 'подпевала', 'убивать', 'погромщик', 'однако']	
n_topics_5	n_topic_2	['убивать', 'карман', 'кабальеро', 'проучивать', 'куча', 'сооружаться', 'присутствующий', 'преступление', 'разбойник', 'рейес']	
n_topics_5	n_topic_3	['мурьета', 'хоакин', 'трехпалый', 'кабальеро', 'голова', 'хор', 'мошенник', 'золото', 'чилиец', 'тереса']	
n_topics_5	n_topic_4	['мурьета', 'хоакин', 'рейес', 'группа', 'возмездие', 'продолжаться', 'хор', 'голова', 'калифорния', 'дело']	
n_topics_5	n_topic_5	['дилижанс', 'шляпа', 'трехпалый', 'призрак', 'кабальеро', 'франциско', 'тяжкий', 'сопровождать', 'цвет', 'женщина']	
n_topics_6	n_topic_1	['конец', 'шляпа', 'мошенник', 'тереса', 'двигаться', 'красный', 'подпевала', 'погромщик', 'однако', 'убивать']	
n_topics_6	n_topic_2	['убивать', 'карман', 'проучивать', 'кабальеро', 'куча', 'сооружаться', 'присутствующий', 'преступление', 'разбойник', 'сцена']	
n_topics_6	n_topic_3	['мурьета', 'хоакин', 'трехпалый', 'кабальеро', 'голова', 'мошенник', 'хор', 'золото', 'борзая', 'чилиец']	
n_topics_6	n_topic_4	['мурьета', 'хоакин', 'хор', 'рейес', 'голова', 'калифорния', 'группа', 'кабальеро', 'возмездие', 'дело']	
n_topics_6	n_topic_5	['дилижанс', 'шляпа', 'трехпалый', 'призрак', 'кабальеро', 'франциско', 'тяжкий', 'сопровождать', 'цвет', 'женщина']	
n_topics_6	n_topic_6	['монета', 'гнать', 'красный', 'море', 'добыча', 'бедняцкий', 'жаждать', 'неимущий', 'свадьба', 'веселие']	
n_topics_7	n_topic_1	['конец', 'шляпа', 'мошенник', 'тереса', 'двигаться', 'красный', 'подпевала', 'погромщик', 'однако', 'убивать']	
n_topics_7	n_topic_2	['убивать', 'карман', 'проучивать', 'кабальеро', 'куча', 'сооружаться', 'присутствующий', 'преступление', 'разбойник', 'рейес']	
n_topics_7	n_topic_3	['мурьета', 'хоакин', 'трехпалый', 'кабальеро', 'голова', 'хор', 'мошенник', 'золото', 'чилиец', 'тереса']	
n_topics_7	n_topic_4	['мурьета', 'хоакин', 'рейес', 'группа', 'возмездие', 'продолжаться', 'хор', 'голова', 'калифорния', 'дело']	
n_topics_7	n_topic_5	['дилижанс', 'шляпа', 'трехпалый', 'призрак', 'кабальеро', 'франциско', 'тяжкий', 'сопровождать', 'цвет', 'женщина']	
n_topics_7	n_topic_6	['монета', 'гнать', 'красный', 'море', 'добыча', 'бедняцкий', 'жаждать', 'неимущий', 'свадьба', 'веселие']	
n_topics_7	n_topic_7	['человек', 'сытно', 'группа', 'скромный', 'крестьянка', 'иллюминатор', 'выходить', 'выкрадывать', 'обидчик', 'продолжение']	
n_topics_8	n_topic_1	['конец', 'шляпа', 'мошенник', 'тереса', 'двигаться', 'красный', 'подпевала', 'погромщик', 'однако', 'убивать']	
n_topics_8	n_topic_2	['убивать', 'карман', 'проучивать', 'куча', 'сооружаться', 'кабальеро', 'присутствующий', 'преступление', 'проливать', 'клетка']	
n_topics_8	n_topic_3	['мурьета', 'дилижанс', 'хоакин', 'борзая', 'начинать', 'гнать', 'добывать', 'трехпалый', 'воздавать', 'появляться']	
