		lda	nmf
n_topics_5	n_topic_1	['глас', 'арвид', 'фальк', 'жизнь', 'человек', 'общество', 'пастор', 'однако', 'понимать', 'хельга']	['пеппи', 'томми', 'анника', 'девочка', 'ребенок', 'решать', 'эфроим', 'отправляться', 'остров', 'вилла']
n_topics_5	n_topic_2	['пеппи', 'ребенок', 'девочка', 'томми', 'решать', 'анника', 'дом', 'очень', 'отправляться', 'друг']	['глас', 'хельга', 'пастор', 'грегориус', 'дневник', 'однако', 'долг', 'ради', 'мысль', 'ненавистный']
n_topics_5	n_topic_3	['жан', 'ротмистр', 'юлия', 'лаура', 'мочь', 'мим', 'пусть', 'доктор', 'кристина', 'ребенок']	['ирод', 'мариамна', 'царь', 'маккавей', 'дворец', 'иерусалим', 'родственник', 'народ', 'враг', 'далеко']
n_topics_5	n_topic_4	['фритьоф', 'ингеборг', 'хельга', 'бог', 'храм', 'рука', 'сведье', 'сын', 'деревня', 'друг']	['сведье', 'деревня', 'староста', 'штафета', 'местный', 'брендаболить', 'крестьянин', 'фохт', 'королева', 'угге']
n_topics_5	n_topic_5	['жизнь', 'человек', 'ирод', 'мариамна', 'царь', 'ребенок', 'артур', 'становиться', 'бенбе', 'як']	['жан', 'юлия', 'кристина', 'лакей', 'пусть', 'кухня', 'барыня', 'бежать', 'кухарка', 'графский']
n_topics_6	n_topic_1	['арвид', 'глас', 'фальк', 'карл', 'человек', 'общество', 'молодой', 'артур', 'лишь', 'художник']	['пеппи', 'томми', 'анника', 'девочка', 'ребенок', 'решать', 'эфроим', 'отправляться', 'остров', 'вилла']
n_topics_6	n_topic_2	['пеппи', 'ребенок', 'девочка', 'томми', 'решать', 'анника', 'очень', 'дом', 'отправляться', 'друг']	['глас', 'хельга', 'пастор', 'грегориус', 'дневник', 'однако', 'долг', 'ради', 'мысль', 'ненавистный']
n_topics_6	n_topic_3	['мим', 'аниара', 'человек', 'пассажир', 'мимороб', 'дорис', 'пеппи', 'тундра', 'аниарец', 'планета']	['ирод', 'мариамна', 'царь', 'маккавей', 'дворец', 'иерусалим', 'родственник', 'народ', 'враг', 'далеко']
n_topics_6	n_topic_4	['фритьоф', 'пеппи', 'ингеборг', 'бог', 'решать', 'рука', 'хельга', 'мочь', 'храм', 'человек']	['сведье', 'деревня', 'староста', 'штафета', 'местный', 'брендаболить', 'крестьянин', 'фохт', 'королева', 'угге']
n_topics_6	n_topic_5	['ирод', 'мариамна', 'артур', 'царь', 'шарлотта', 'карл', 'становиться', 'ребенок', 'человек', 'жизнь']	['жан', 'юлия', 'кристина', 'лакей', 'пусть', 'кухня', 'барыня', 'бежать', 'кухарка', 'графский']
n_topics_6	n_topic_6	['жизнь', 'фритьоф', 'жан', 'ротмистр', 'человек', 'мочь', 'юлия', 'бог', 'ребенок', 'становиться']	['як', 'бенбе', 'клоун', 'джонатан', 'вера', 'америка', 'синдикат', 'мария', 'публика', 'пакетик']
n_topics_7	n_topic_1	['глас', 'арвид', 'карл', 'артур', 'фритьоф', 'хельга', 'человек', 'ломать', 'молодой', 'лишь']	['пеппи', 'томми', 'анника', 'девочка', 'ребенок', 'решать', 'эфроим', 'отправляться', 'остров', 'вилла']
n_topics_7	n_topic_2	['пеппи', 'ребенок', 'девочка', 'томми', 'решать', 'анника', 'очень', 'дом', 'отправляться', 'друг']	['артур', 'шарлотта', 'карл', 'левеншельд', 'адриан', 'тея', 'перстень', 'карла', 'пастор', 'анна']
n_topics_7	n_topic_3	['пеппи', 'ребенок', 'человек', 'девочка', 'мим', 'война', 'пассажир', 'анника', 'отправляться', 'корова']	['ирод', 'мариамна', 'царь', 'маккавей', 'дворец', 'иерусалим', 'родственник', 'народ', 'враг', 'далеко']
n_topics_7	n_topic_4	['фритьоф', 'пеппи', 'ингеборг', 'решать', 'бог', 'рука', 'мочь', 'песня', 'хельга', 'храм']	['сведье', 'деревня', 'староста', 'штафета', 'местный', 'брендаболить', 'крестьянин', 'фохт', 'королева', 'угге']
n_topics_7	n_topic_5	['артур', 'шарлотта', 'карл', 'ребенок', 'жизнь', 'человек', 'дом', 'адриан', 'тея', 'левеншельд']	['жан', 'юлия', 'кристина', 'лакей', 'пусть', 'кухня', 'барыня', 'бежать', 'кухарка', 'графский']
