		lda	nmf
n_topics_5	n_topic_1	['человек', 'год', 'мочь', 'время', 'жизнь', 'день', 'самый', 'жить', 'друг', 'король']	['чарлз', 'джозеф', 'сэр', 'питер', 'оливер', 'тизл', 'леди', 'сэрфес', 'снируэл', 'бубь']
n_topics_5	n_topic_2	['моцарт', 'сальери', 'человек', 'мочь', 'год', 'музыка', 'шляпа', 'жизнь', 'время', 'хотеть']	['гамлет', 'розенкранц', 'гильденстерн', 'актер', 'король', 'лаэрт', 'полоний', 'офелия', 'горацио', 'королева']
n_topics_5	n_topic_3	['человек', 'время', 'дом', 'мочь', 'друг', 'становиться', 'жизнь', 'сын', 'год', 'жена']	['алиса', 'королева', 'кот', 'король', 'черный', 'герцогиня', 'кролик', 'шахматный', 'страна', 'червонный']
n_topics_5	n_topic_4	['человек', 'время', 'отец', 'друг', 'становиться', 'дом', 'жизнь', 'мочь', 'девушка', 'год']	['эмма', 'гарриет', 'дэвид', 'мистер', 'феррер', 'элтон', 'найтль', 'фрэнк', 'уиндем', 'вестон']
n_topics_5	n_topic_5	['человек', 'становиться', 'время', 'алиса', 'мочь', 'ребенок', 'находить', 'герой', 'девушка', 'дом']	['джулия', 'уинстон', 'чарльз', 'себастьян', 'майкл', 'марчмейн', 'рекс', 'эвис', 'брайдсхед', 'брайен']
n_topics_6	n_topic_1	['человек', 'год', 'мочь', 'время', 'день', 'жизнь', 'самый', 'уинстон', 'жить', 'становиться']	['чарльз', 'сара', 'сэр', 'грандисон', 'джозефина', 'хэрриет', 'байрон', 'мисс', 'себастьян', 'смитсон']
n_topics_6	n_topic_2	['моцарт', 'сальери', 'человек', 'мочь', 'год', 'время', 'жизнь', 'музыка', 'хотеть', 'шляпа']	['гамлет', 'розенкранц', 'гильденстерн', 'актер', 'король', 'лаэрт', 'полоний', 'офелия', 'горацио', 'королева']
n_topics_6	n_topic_3	['человек', 'время', 'дом', 'мочь', 'становиться', 'друг', 'жизнь', 'сын', 'год', 'жена']	['алиса', 'королева', 'кот', 'король', 'черный', 'герцогиня', 'кролик', 'шахматный', 'страна', 'червонный']
n_topics_6	n_topic_4	['человек', 'время', 'отец', 'друг', 'становиться', 'дом', 'жизнь', 'мочь', 'девушка', 'год']	['эмма', 'гарриет', 'дэвид', 'мистер', 'феррер', 'элтон', 'найтль', 'фрэнк', 'уиндем', 'вестон']
n_topics_6	n_topic_5	['человек', 'становиться', 'время', 'мочь', 'находить', 'герой', 'ребенок', 'алиса', 'девушка', 'дом']	['джулия', 'уинстон', 'майкл', 'брайен', 'эвис', 'себастьян', 'ройлотта', 'марчмейн', 'рекс', 'актриса']
n_topics_6	n_topic_6	['друг', 'время', 'мистер', 'дом', 'человек', 'жизнь', 'год', 'эмма', 'ник', 'день']	['робинзон', 'остров', 'испанец', 'корабль', 'пятница', 'дикарь', 'капитан', 'посев', 'море', 'порох']
n_topics_7	n_topic_1	['человек', 'год', 'мочь', 'время', 'жизнь', 'самый', 'день', 'жить', 'становиться', 'узнавать']	['чарльз', 'джулия', 'сара', 'себастьян', 'сэр', 'грандисон', 'джозефина', 'марчмейн', 'рекс', 'хэрриет']
n_topics_7	n_topic_2	['моцарт', 'сальери', 'человек', 'музыка', 'шляпа', 'опера', 'дэвис', 'император', 'мочь', 'год']	['гулливер', 'свифт', 'памфлет', 'свифтовский', 'страна', 'гуигнгнм', 'лилипутий', 'лилипут', 'человеческий', 'петр']
n_topics_7	n_topic_3	['человек', 'время', 'мочь', 'дом', 'становиться', 'друг', 'сын', 'жизнь', 'год', 'жена']	['алиса', 'королева', 'кот', 'король', 'черный', 'герцогиня', 'кролик', 'шахматный', 'страна', 'червонный']
n_topics_7	n_topic_4	['человек', 'время', 'отец', 'друг', 'становиться', 'жизнь', 'дом', 'мочь', 'девушка', 'год']	['эмма', 'гарриет', 'дэвид', 'мистер', 'феррер', 'элтон', 'найтль', 'фрэнк', 'уиндем', 'вестон']
n_topics_7	n_topic_5	['человек', 'становиться', 'алиса', 'время', 'мочь', 'герой', 'находить', 'ребенок', 'девушка', 'дом']	['робинзон', 'остров', 'испанец', 'корабль', 'пятница', 'дикарь', 'капитан', 'посев', 'море', 'порох']
n_topics_7	n_topic_6	['эмма', 'друг', 'мистер', 'время', 'дом', 'человек', 'жизнь', 'год', 'девушка', 'мочь']	['пуаро', 'ник', 'экройд', 'шеппард', 'ральф', 'доктор', 'мистер', 'купе', 'гастингс', 'детектив']
n_topics_7	n_topic_7	['сэм', 'мелисент', 'мальгрим', 'уинстон', 'время', 'принцесса', 'человек', 'марлагра', 'год', 'жизнь']	['хоббит', 'бильбо', 'фродо', 'кольцо', 'голлум', 'гном', 'саурон', 'гэндальф', 'царство', 'гоблин']
n_topics_8	n_topic_1	['человек', 'год', 'мочь', 'время', 'жизнь', 'самый', 'день', 'жить', 'становиться', 'узнавать']	['чарльз', 'сара', 'джозефина', 'сэр', 'грандисон', 'хэрриет', 'байрон', 'мисс', 'себастьян', 'смитсон']
n_topics_8	n_topic_2	['моцарт', 'сальери', 'человек', 'мочь', 'год', 'время', 'жизнь', 'хотеть', 'музыка', 'виктор']	['гамлет', 'розенкранц', 'гильденстерн', 'актер', 'король', 'лаэрт', 'полоний', 'офелия', 'горацио', 'королева']
n_topics_8	n_topic_3	['человек', 'время', 'дом', 'мочь', 'становиться', 'друг', 'сын', 'жизнь', 'жена', 'год']	['алиса', 'королева', 'кот', 'король', 'черный', 'герцогиня', 'кролик', 'шахматный', 'страна', 'червонный']
n_topics_8	n_topic_4	['человек', 'время', 'отец', 'друг', 'становиться', 'дом', 'жизнь', 'девушка', 'мочь', 'год']	['эмма', 'гарриет', 'дэвид', 'мистер', 'феррер', 'элтон', 'найтль', 'фрэнк', 'уиндем', 'вестон']
n_topics_8	n_topic_5	['человек', 'становиться', 'время', 'алиса', 'мочь', 'находить', 'герой', 'ребенок', 'дом', 'девушка']	['джулия', 'уинстон', 'майкл', 'брайен', 'эвис', 'себастьян', 'ройлотта', 'актриса', 'марчмейн', 'рекс']
n_topics_8	n_topic_6	['друг', 'мистер', 'время', 'ник', 'дом', 'эмма', 'пуаро', 'жизнь', 'человек', 'девушка']	['пуаро', 'ник', 'экройд', 'ральф', 'шеппард', 'доктор', 'мистер', 'купе', 'детектив', 'гастингс']
n_topics_8	n_topic_7	['сэм', 'время', 'мальгрим', 'мелисент', 'человек', 'год', 'жизнь', 'дом', 'становиться', 'день']	['робинзон', 'остров', 'испанец', 'корабль', 'пятница', 'дикарь', 'капитан', 'посев', 'море', 'порох']
n_topics_8	n_topic_8	['человек', 'время', 'год', 'жизнь', 'день', 'мочь', 'становиться', 'друг', 'жена', 'знать']	['чарлз', 'джозеф', 'сэр', 'питер', 'оливер', 'тизл', 'леди', 'сэрфес', 'бубь', 'снируэл']
n_topics_9	n_topic_1	['человек', 'год', 'мочь', 'время', 'самый', 'жизнь', 'жить', 'день', 'уинстон', 'роман']	['кларисса', 'ловелас', 'гарлоу', 'питер', 'дэллоуэй', 'септимус', 'девушка', 'лукреция', 'солмс', 'элизабет']
n_topics_9	n_topic_2	['моцарт', 'сальери', 'человек', 'музыка', 'шляпа', 'опера', 'дэвис', 'мочь', 'император', 'хотеть']	['гулливер', 'свифт', 'памфлет', 'свифтовский', 'страна', 'гуигнгнм', 'лилипутий', 'лилипут', 'человеческий', 'петр']
n_topics_9	n_topic_3	['человек', 'время', 'мочь', 'дом', 'становиться', 'друг', 'сын', 'жизнь', 'год', 'жена']	['алиса', 'королева', 'кот', 'король', 'черный', 'герцогиня', 'кролик', 'шахматный', 'страна', 'червонный']
n_topics_9	n_topic_4	['человек', 'время', 'отец', 'друг', 'становиться', 'жизнь', 'дом', 'мочь', 'девушка', 'год']	['эмма', 'гарриет', 'дэвид', 'мистер', 'феррер', 'элтон', 'найтль', 'фрэнк', 'уиндем', 'вестон']
n_topics_9	n_topic_5	['человек', 'алиса', 'становиться', 'время', 'герой', 'мочь', 'находить', 'ребенок', 'дом', 'девушка']	['джулия', 'уинстон', 'чарльз', 'майкл', 'себастьян', 'рекс', 'марчмейн', 'эвис', 'брайен', 'брайдсхед']
n_topics_9	n_topic_6	['эмма', 'друг', 'мистер', 'время', 'дом', 'девушка', 'год', 'жизнь', 'человек', 'мочь']	['холмс', 'стэплтон', 'ватсон', 'уотсон', 'дреббер', 'сэр', 'генри', 'баскервиль', 'болото', 'ройлотта']
n_topics_9	n_topic_7	['уинстон', 'время', 'год', 'человек', 'дом', 'сэм', 'жизнь', 'становиться', 'день', 'друг']	['робинзон', 'остров', 'испанец', 'корабль', 'пятница', 'дикарь', 'капитан', 'посев', 'море', 'порох']
n_topics_9	n_topic_8	['человек', 'время', 'год', 'день', 'жизнь', 'мочь', 'друг', 'становиться', 'жена', 'новый']	['гамлет', 'розенкранц', 'гильденстерн', 'актер', 'король', 'лаэрт', 'полоний', 'офелия', 'горацио', 'королева']
n_topics_9	n_topic_9	['сэм', 'мелисент', 'мальгрим', 'человек', 'принцесса', 'время', 'жизнь', 'мистер', 'марлагра', 'становиться']	['люся', 'макхит', 'полль', 'пич', 'локита', 'мосье', 'миссис', 'пансион', 'мадам', 'бреттон']
n_topics_10	n_topic_1	['человек', 'год', 'мочь', 'время', 'самый', 'жизнь', 'жить', 'день', 'розенкранц', 'друг']	['чарльз', 'сара', 'джозефина', 'сэр', 'грандисон', 'хэрриет', 'байрон', 'мисс', 'эрнестина', 'смитсон']
n_topics_10	n_topic_2	['моцарт', 'сальери', 'человек', 'мочь', 'виви', 'год', 'жизнь', 'время', 'музыка', 'хотеть']	['ланселот', 'артур', 'король', 'рыцарь', 'тристрам', 'галахад', 'грааль', 'изольда', 'королева', 'мерлин']
n_topics_10	n_topic_3	['человек', 'время', 'дом', 'мочь', 'становиться', 'друг', 'сын', 'жизнь', 'жена', 'год']	['алиса', 'королева', 'кот', 'король', 'черный', 'герцогиня', 'кролик', 'шахматный', 'страна', 'червонный']
n_topics_10	n_topic_4	['человек', 'время', 'отец', 'друг', 'становиться', 'дом', 'жизнь', 'девушка', 'мочь', 'год']	['эмма', 'гарриет', 'дэвид', 'мистер', 'феррер', 'элтон', 'найтль', 'фрэнк', 'уиндем', 'вестон']
n_topics_10	n_topic_5	['человек', 'становиться', 'время', 'мочь', 'герой', 'ребенок', 'находить', 'алиса', 'дом', 'девушка']	['джулия', 'уинстон', 'майкл', 'эвис', 'брайен', 'себастьян', 'ройлотта', 'марчмейн', 'рекс', 'актриса']
n_topics_10	n_topic_6	['друг', 'мистер', 'время', 'дом', 'жизнь', 'девушка', 'год', 'человек', 'миссис', 'эмма']	['пуаро', 'ник', 'экройд', 'шеппард', 'ральф', 'доктор', 'мистер', 'купе', 'гастингс', 'детектив']
n_topics_10	n_topic_7	['время', 'год', 'сэм', 'уинстон', 'человек', 'жизнь', 'дом', 'становиться', 'друг', 'день']	['робинзон', 'остров', 'испанец', 'корабль', 'пятница', 'дикарь', 'капитан', 'посев', 'море', 'порох']
n_topics_10	n_topic_8	['человек', 'время', 'год', 'день', 'жизнь', 'мочь', 'друг', 'становиться', 'жена', 'новый']	['чарлз', 'джозеф', 'сэр', 'питер', 'оливер', 'тизл', 'леди', 'сэрфес', 'бубь', 'снируэл']
n_topics_10	n_topic_9	['человек', 'мистер', 'время', 'жизнь', 'сэм', 'становиться', 'домби', 'мочь', 'узнавать', 'день']	['гамлет', 'розенкранц', 'гильденстерн', 'актер', 'король', 'лаэрт', 'полоний', 'офелия', 'горацио', 'королева']
n_topics_10	n_topic_10	['человек', 'становиться', 'время', 'день', 'год', 'дом', 'девушка', 'герой', 'жизнь', 'мочь']	['хоббит', 'бильбо', 'фродо', 'кольцо', 'голлум', 'гном', 'саурон', 'гэндальф', 'гоблин', 'царство']
n_topics_11	n_topic_1	['человек', 'год', 'мочь', 'время', 'самый', 'жизнь', 'роман', 'жить', 'ланселот', 'король']	['кларисса', 'ловелас', 'гарлоу', 'питер', 'дэллоуэй', 'септимус', 'девушка', 'лукреция', 'солмс', 'элизабет']
n_topics_11	n_topic_2	['человек', 'моцарт', 'сальери', 'мочь', 'время', 'год', 'жизнь', 'виктор', 'отец', 'мать']	['ящичек', 'корсаж', 'корпус', 'корректировать', 'корреспондент', 'корреспонденция', 'коррумпировать', 'коррупция', 'корсар', 'коротышка']
n_topics_11	n_topic_3	['человек', 'время', 'мочь', 'дом', 'сын', 'становиться', 'друг', 'жизнь', 'жена', 'год']	['алиса', 'королева', 'кот', 'король', 'черный', 'герцогиня', 'кролик', 'шахматный', 'страна', 'червонный']
n_topics_11	n_topic_4	['время', 'человек', 'отец', 'друг', 'становиться', 'дом', 'девушка', 'жизнь', 'мочь', 'узнавать']	['эмма', 'гарриет', 'дэвид', 'мистер', 'феррер', 'элтон', 'найтль', 'фрэнк', 'уиндем', 'вестон']
n_topics_11	n_topic_5	['человек', 'становиться', 'алиса', 'время', 'мочь', 'герой', 'ребенок', 'находить', 'страна', 'девушка']	['джулия', 'уинстон', 'чарльз', 'майкл', 'себастьян', 'эвис', 'марчмейн', 'рекс', 'брайен', 'брайдсхед']
n_topics_11	n_topic_6	['мистер', 'друг', 'время', 'дом', 'эмма', 'девушка', 'жизнь', 'год', 'человек', 'миссис']	['пуаро', 'ник', 'ральф', 'экройд', 'шеппард', 'доктор', 'мистер', 'купе', 'детектив', 'флора']
n_topics_11	n_topic_7	['время', 'сэм', 'год', 'уинстон', 'человек', 'жизнь', 'друг', 'джимми', 'становиться', 'дом']	['робинзон', 'остров', 'испанец', 'корабль', 'пятница', 'дикарь', 'капитан', 'посев', 'море', 'порох']
n_topics_11	n_topic_8	['человек', 'год', 'время', 'мочь', 'жизнь', 'день', 'друг', 'становиться', 'знать', 'жена']	['гамлет', 'розенкранц', 'гильденстерн', 'актер', 'король', 'лаэрт', 'полоний', 'офелия', 'горацио', 'королева']
n_topics_11	n_topic_9	['человек', 'мистер', 'время', 'жизнь', 'становиться', 'сэм', 'мочь', 'узнавать', 'домби', 'миссис']	['чарлз', 'джозеф', 'сэр', 'оливер', 'питер', 'тизл', 'сэрфес', 'леди', 'снируэл', 'мария']
n_topics_11	n_topic_10	['человек', 'становиться', 'время', 'день', 'герой', 'дом', 'год', 'девушка', 'первый', 'мочь']	['гулливер', 'свифт', 'памфлет', 'свифтовский', 'страна', 'гуигнгнм', 'лилипутий', 'лилипут', 'человеческий', 'петр']
n_topics_11	n_topic_11	['человек', 'время', 'год', 'жена', 'друг', 'день', 'дом', 'жизнь', 'мочь', 'отец']	['люся', 'макхит', 'пич', 'полль', 'локита', 'мосье', 'миссис', 'пансион', 'мадам', 'бреттон']
n_topics_12	n_topic_1	['человек', 'год', 'мочь', 'время', 'ланселот', 'самый', 'король', 'роман', 'жизнь', 'розенкранц']	['виви', 'уоррен', 'крофтс', 'фрэнк', 'миссис', 'пастор', 'мать', 'гарднер', 'ваш', 'прейд']
n_topics_12	n_topic_2	['моцарт', 'человек', 'сальери', 'мочь', 'время', 'год', 'жизнь', 'виктор', 'виви', 'хотеть']	['ланселот', 'артур', 'король', 'рыцарь', 'тристрам', 'галахад', 'грааль', 'изольда', 'королева', 'мерлин']
n_topics_12	n_topic_3	['человек', 'время', 'мочь', 'дом', 'становиться', 'сын', 'друг', 'жизнь', 'год', 'жена']	['алиса', 'королева', 'кот', 'король', 'черный', 'герцогиня', 'кролик', 'шахматный', 'страна', 'червонный']
n_topics_12	n_topic_4	['время', 'человек', 'отец', 'друг', 'становиться', 'дом', 'жизнь', 'девушка', 'мочь', 'узнавать']	['эмма', 'гарриет', 'дэвид', 'мистер', 'феррер', 'элтон', 'найтль', 'фрэнк', 'уиндем', 'вестон']
n_topics_12	n_topic_5	['человек', 'становиться', 'алиса', 'время', 'мочь', 'герой', 'находить', 'ребенок', 'страна', 'скобить']	['джулия', 'уинстон', 'майкл', 'себастьян', 'чарльз', 'эвис', 'брайен', 'рекс', 'марчмейн', 'ройлотта']
n_topics_12	n_topic_6	['мистер', 'друг', 'время', 'дом', 'эмма', 'девушка', 'год', 'жизнь', 'человек', 'оказываться']	['пуаро', 'ник', 'экройд', 'ральф', 'шеппард', 'доктор', 'мистер', 'купе', 'детектив', 'гастингс']
n_topics_12	n_topic_7	['время', 'сэм', 'год', 'человек', 'уинстон', 'друг', 'джимми', 'жизнь', 'становиться', 'дом']	['робинзон', 'остров', 'испанец', 'корабль', 'пятница', 'дикарь', 'капитан', 'посев', 'море', 'порох']
n_topics_12	n_topic_8	['человек', 'год', 'время', 'жизнь', 'мочь', 'день', 'друг', 'становиться', 'жена', 'знать']	['гамлет', 'розенкранц', 'гильденстерн', 'актер', 'король', 'лаэрт', 'полоний', 'офелия', 'горацио', 'королева']
n_topics_12	n_topic_9	['сэм', 'мелисент', 'мальгрим', 'человек', 'принцесса', 'мистер', 'время', 'жизнь', 'домби', 'марлагра']	['люся', 'макхит', 'пич', 'полль', 'локита', 'мосье', 'миссис', 'пансион', 'мадам', 'бреттон']
n_topics_12	n_topic_10	['человек', 'становиться', 'время', 'день', 'герой', 'год', 'первый', 'дом', 'девушка', 'мочь']	['чарлз', 'сэр', 'чарльз', 'джозеф', 'тизл', 'питер', 'оливер', 'грандисон', 'сэрфес', 'хэрриет']
n_topics_12	n_topic_11	['человек', 'время', 'жена', 'год', 'день', 'друг', 'дом', 'жизнь', 'отец', 'мать']	['хоббит', 'бильбо', 'фродо', 'кольцо', 'голлум', 'гном', 'саурон', 'гэндальф', 'гоблин', 'царство']
n_topics_12	n_topic_12	['становиться', 'отец', 'дом', 'время', 'жизнь', 'человек', 'однако', 'салем', 'жить', 'друг']	['кларисса', 'ловелас', 'гарлоу', 'питер', 'дэллоуэй', 'септимус', 'девушка', 'лукреция', 'солмс', 'элизабет']
n_topics_13	n_topic_1	['человек', 'год', 'мочь', 'время', 'самый', 'роман', 'ланселот', 'вернуться', 'жить', 'жизнь']	['джордж', 'уинтерборн', 'элизабет', 'изабелла', 'рота', 'фанни', 'хартли', 'гаррис', 'адвокатский', 'пулеметный']
n_topics_13	n_topic_2	['виви', 'мать', 'миссис', 'человек', 'мочь', 'уоррен', 'жизнь', 'время', 'шляпа', 'дочь']	['ланселот', 'артур', 'король', 'рыцарь', 'тристрам', 'галахад', 'грааль', 'изольда', 'королева', 'марк']
n_topics_13	n_topic_3	['человек', 'время', 'дом', 'сын', 'мочь', 'друг', 'становиться', 'жизнь', 'дэвис', 'кларисса']	['алиса', 'королева', 'кот', 'король', 'черный', 'герцогиня', 'кролик', 'шахматный', 'страна', 'червонный']
n_topics_13	n_topic_4	['время', 'отец', 'человек', 'друг', 'становиться', 'дом', 'девушка', 'жизнь', 'мочь', 'узнавать']	['эмма', 'гарриет', 'дэвид', 'мистер', 'феррер', 'элтон', 'найтль', 'фрэнк', 'уиндем', 'вестон']
n_topics_13	n_topic_5	['человек', 'становиться', 'время', 'алиса', 'герой', 'ребенок', 'мочь', 'находить', 'страна', 'скобить']	['джулия', 'майкл', 'эвис', 'себастьян', 'марчмейн', 'рекс', 'ройлотта', 'актриса', 'брайдсхед', 'долли']
n_topics_13	n_topic_6	['мистер', 'друг', 'время', 'дом', 'эмма', 'миссис', 'девушка', 'жизнь', 'пуаро', 'оказываться']	['холмс', 'ватсон', 'стэплтон', 'уотсон', 'дреббер', 'сэр', 'генри', 'баскервиль', 'болото', 'ройлотта']
n_topics_13	n_topic_7	['время', 'сэм', 'уинстон', 'год', 'джимми', 'человек', 'король', 'становиться', 'друг', 'жизнь']	['робинзон', 'остров', 'испанец', 'корабль', 'пятница', 'дикарь', 'капитан', 'посев', 'море', 'порох']
n_topics_13	n_topic_8	['человек', 'время', 'год', 'жизнь', 'день', 'мочь', 'друг', 'становиться', 'знать', 'новый']	['чарлз', 'джозеф', 'сэр', 'оливер', 'питер', 'тизл', 'леди', 'сэрфес', 'бубь', 'снируэл']
