		lda	nmf
n_topics_5	n_topic_1	['алан', 'жизнь', 'ральф', 'отснимать', 'мэгги', 'сын', 'боеприпасы', 'мальчик', 'начинать', 'форд']	['олф', 'старатель', 'золото', 'рудник', 'моррис', 'салли', 'роман', 'жан', 'право', 'австралия']
n_topics_5	n_topic_2	['алан', 'мальчик', 'мэгги', 'ральф', 'нога', 'отец', 'становиться', 'сын', 'человек', 'маршалл']	['алан', 'мальчик', 'маршалл', 'джо', 'костыль', 'нога', 'взрослый', 'доктор', 'отец', 'глава']
n_topics_5	n_topic_3	['бен', 'лизель', 'алан', 'год', 'человек', 'книга', 'мальчик', 'макс', 'отец', 'сын']	['форд', 'карла', 'кадербхай', 'абдулла', 'прабакер', 'бомбей', 'мадам', 'убивать', 'трущоба', 'тюрьма']
n_topics_5	n_topic_4	['форд', 'лизель', 'человек', 'книга', 'макс', 'девочка', 'год', 'карла', 'кадербхай', 'руди']	['мэгги', 'ральф', 'дэн', 'дрохед', 'люк', 'карсон', 'фиона', 'джастин', 'часть', 'клири']
n_topics_5	n_topic_5	['старатель', 'рабочий', 'новый', 'олф', 'мэгги', 'приезжать', 'ральф', 'стоять', 'семья', 'помогать']	['лизель', 'макс', 'книга', 'руди', 'ганс', 'хуберман', 'девочка', 'фрау', 'герман', 'смерть']
n_topics_6	n_topic_1	['алан', 'ральф', 'мэгги', 'жизнь', 'мальчик', 'сын', 'отснимать', 'боеприпасы', 'австралия', 'начинать']	['олф', 'старатель', 'золото', 'рудник', 'моррис', 'салли', 'роман', 'жан', 'право', 'австралия']
n_topics_6	n_topic_2	['алан', 'мальчик', 'мэгги', 'ральф', 'нога', 'отец', 'становиться', 'сын', 'маршалл', 'человек']	['алан', 'мальчик', 'маршалл', 'джо', 'костыль', 'нога', 'взрослый', 'доктор', 'отец', 'глава']
n_topics_6	n_topic_3	['бен', 'алан', 'боб', 'лизель', 'человек', 'год', 'книга', 'деньги', 'свемпи', 'помогать']	['форд', 'карла', 'кадербхай', 'абдулла', 'прабакер', 'бомбей', 'мадам', 'убивать', 'трущоба', 'тюрьма']
n_topics_6	n_topic_4	['форд', 'лизель', 'человек', 'книга', 'макс', 'девочка', 'карла', 'год', 'кадербхай', 'руди']	['мэгги', 'ральф', 'дэн', 'дрохед', 'люк', 'карсон', 'фиона', 'джастин', 'часть', 'клири']
n_topics_6	n_topic_5	['старатель', 'рабочий', 'новый', 'притон', 'приезжать', 'затвердевать', 'музыкант', 'мэгги', 'стоять', 'находка']	['лизель', 'макс', 'книга', 'руди', 'ганс', 'хуберман', 'девочка', 'фрау', 'герман', 'смерть']
n_topics_6	n_topic_6	['форд', 'мочь', 'абдулла', 'кадербхай', 'документ', 'бомбей', 'оставаться', 'ганс', 'человек', 'инструмент']	['боб', 'жираф', 'свемпи', 'бэкер', 'брумми', 'энди', 'нед', 'овца', 'парень', 'миссис']
n_topics_7	n_topic_1	['алан', 'жизнь', 'ральф', 'отснимать', 'боеприпасы', 'австралия', 'мальчик', 'мэгги', 'сын', 'проезжаться']	['олф', 'старатель', 'золото', 'рудник', 'моррис', 'салли', 'роман', 'жан', 'право', 'австралия']
n_topics_7	n_topic_2	['алан', 'мальчик', 'мэгги', 'ральф', 'нога', 'отец', 'становиться', 'сын', 'маршалл', 'человек']	['алан', 'мальчик', 'маршалл', 'джо', 'костыль', 'нога', 'взрослый', 'доктор', 'отец', 'глава']
n_topics_7	n_topic_3	['алан', 'лизель', 'книга', 'человек', 'год', 'макс', 'тревожить', 'бен', 'смерть', 'девочка']	['форд', 'карла', 'кадербхай', 'абдулла', 'прабакер', 'бомбей', 'мадам', 'убивать', 'трущоба', 'тюрьма']
n_topics_7	n_topic_4	['форд', 'лизель', 'человек', 'книга', 'макс', 'девочка', 'карла', 'год', 'кадербхай', 'руди']	['мэгги', 'ральф', 'дэн', 'дрохед', 'люк', 'карсон', 'фиона', 'джастин', 'часть', 'клири']
n_topics_7	n_topic_5	['старатель', 'рабочий', 'новый', 'притон', 'затвердевать', 'музыкант', 'желтоволосый', 'стоять', 'находка', 'продолжать']	['лизель', 'макс', 'книга', 'руди', 'ганс', 'хуберман', 'девочка', 'фрау', 'герман', 'смерть']
n_topics_7	n_topic_6	['форд', 'документ', 'мочь', 'абдулла', 'ганс', 'инструмент', 'адрес', 'бывать', 'написать', 'оставаться']	['боб', 'жираф', 'свемпи', 'бэкер', 'брумми', 'энди', 'нед', 'овца', 'парень', 'миссис']
n_topics_7	n_topic_7	['бен', 'мальчик', 'форд', 'сын', 'отец', 'дэви', 'самолет', 'мочь', 'находить', 'последний']	['бен', 'дэви', 'самолет', 'мальчик', 'акула', 'сын', 'отец', 'дюйм', 'море', 'берег']
n_topics_8	n_topic_1	['алан', 'отснимать', 'боеприпасы', 'ральф', 'жизнь', 'проезжаться', 'умелый', 'тряпичный', 'хранить', 'австралия']	['ятельно', 'краска', 'кресло', 'крепление', 'крепкий', 'крепежный', 'краткий', 'кратер', 'красота', 'красный']
n_topics_8	n_topic_2	['алан', 'мальчик', 'мэгги', 'ральф', 'нога', 'отец', 'становиться', 'сын', 'маршалл', 'человек']	['алан', 'мальчик', 'маршалл', 'джо', 'костыль', 'нога', 'взрослый', 'доктор', 'отец', 'глава']
