		lda	nmf
n_topics_5	n_topic_1	['волновать', 'приятель', 'рулетка', 'происходить', 'исследование', 'направляться', 'показывать', 'бурнус', 'отель', 'хрусталь']	
n_topics_5	n_topic_2	['сантьяго', 'юноша', 'алхимик', 'стезя', 'становиться', 'человек', 'пустыня', 'часть', 'книга', 'знать']	
n_topics_5	n_topic_3	['мария', 'девушка', 'ральф', 'деньги', 'хотеть', 'любовь', 'клиент', 'вечер', 'часть', 'художник']	
n_topics_5	n_topic_4	['флора', 'гуляка', 'муж', 'мать', 'мочь', 'жизнь', 'розилда', 'однако', 'теодоро', 'страсть']	
n_topics_5	n_topic_5	['рискнуть', 'грозить', 'просьба', 'прелестный', 'контакт', 'приискивать', 'ральф', 'рейс', 'золото', 'любовь']	
n_topics_6	n_topic_1	['волновать', 'приятель', 'рулетка', 'происходить', 'исследование', 'направляться', 'показывать', 'бурнус', 'отель', 'хрусталь']	
n_topics_6	n_topic_2	['сантьяго', 'юноша', 'алхимик', 'стезя', 'человек', 'становиться', 'пустыня', 'часть', 'книга', 'знать']	
n_topics_6	n_topic_3	['мария', 'девушка', 'ральф', 'деньги', 'хотеть', 'любовь', 'клиент', 'вечер', 'часть', 'художник']	
n_topics_6	n_topic_4	['флора', 'гуляка', 'муж', 'мать', 'мочь', 'жизнь', 'розилда', 'однако', 'теодоро', 'страсть']	
n_topics_6	n_topic_5	['рискнуть', 'грозить', 'просьба', 'прелестный', 'контакт', 'приискивать', 'рейс', 'золото', 'баия', 'копакабан']	
n_topics_6	n_topic_6	['юноша', 'уметь', 'путь', 'сантьяго', 'пирамида', 'старик', 'любовь', 'убегать', 'алхимия', 'часть']	
n_topics_7	n_topic_1	['волновать', 'приятель', 'рулетка', 'происходить', 'исследование', 'направляться', 'показывать', 'бурнус', 'отель', 'хрусталь']	
n_topics_7	n_topic_2	['сантьяго', 'юноша', 'алхимик', 'стезя', 'пустыня', 'человек', 'становиться', 'часть', 'книга', 'знать']	
n_topics_7	n_topic_3	['сантьяго', 'юноша', 'мария', 'алхимик', 'любовь', 'душа', 'хотеть', 'девушка', 'знать', 'вернуться']	
n_topics_7	n_topic_4	['флора', 'гуляка', 'муж', 'мать', 'мочь', 'жизнь', 'розилда', 'однако', 'теодоро', 'страсть']	
n_topics_7	n_topic_5	['рискнуть', 'грозить', 'просьба', 'прелестный', 'контакт', 'приискивать', 'рейс', 'золото', 'баия', 'холостяк']	
n_topics_7	n_topic_6	['юноша', 'сантьяго', 'путь', 'уметь', 'пирамида', 'старик', 'алхимия', 'убегать', 'любовь', 'часть']	
n_topics_7	n_topic_7	['мария', 'девушка', 'ральф', 'деньги', 'хотеть', 'любовь', 'клиент', 'вечер', 'художник', 'часть']	
n_topics_8	n_topic_1	['волновать', 'приятель', 'рулетка', 'происходить', 'исследование', 'направляться', 'показывать', 'бурнус', 'отель', 'хрусталь']	
n_topics_8	n_topic_2	['сантьяго', 'юноша', 'алхимик', 'стезя', 'пустыня', 'часть', 'человек', 'становиться', 'книга', 'знать']	
