		lda	nmf
n_topics_5	n_topic_1	['хуан', 'дон', 'человек', 'дом', 'маркиз', 'хоакин', 'жизнь', 'паблос', 'время', 'друг']	['дон', 'хуан', 'мануэль', 'донья', 'карлос', 'кихот', 'косме', 'анхела', 'инес', 'гутьерра']
n_topics_5	n_topic_2	['дон', 'хуан', 'кихот', 'король', 'донья', 'дом', 'санчо', 'человек', 'хотеть', 'решать']	['ниса', 'лауренсьо', 'лисео', 'финея', 'октавьо', 'финей', 'дурочка', 'финый', 'чердак', 'финя']
n_topics_5	n_topic_3	['хуан', 'инес', 'хиль', 'невеста', 'мартин', 'жених', 'дон', 'леонардо', 'ниса', 'отец']	['принц', 'фернандо', 'король', 'феникс', 'командор', 'фец', 'сеут', 'гутьерра', 'дон', 'энрике']
n_topics_5	n_topic_4	['дон', 'хуан', 'мануэль', 'человек', 'время', 'друг', 'дело', 'дом', 'мочь', 'новый']	['галатея', 'акида', 'полифема', 'нимфа', 'дорида', 'любовь', 'прекрасный', 'снег', 'море', 'бог']
n_topics_5	n_topic_5	['принц', 'фернандо', 'король', 'галатея', 'акида', 'любовь', 'феникс', 'полифема', 'фец', 'сеут']	['теодоро', 'диана', 'графиня', 'марсела', 'граф', 'тристан', 'секретарь', 'рикардо', 'маркиз', 'камеристка']
n_topics_6	n_topic_1	['хуан', 'человек', 'дом', 'жизнь', 'маркиз', 'хоакин', 'дон', 'паблос', 'друг', 'время']	['дон', 'хуан', 'донья', 'мануэль', 'карлос', 'кихот', 'гутьерра', 'косме', 'анхела', 'король']
n_topics_6	n_topic_2	['дон', 'донья', 'дом', 'человек', 'король', 'хуан', 'мануэль', 'хотеть', 'друг', 'фелипе']	['марио', 'кармен', 'разный', 'муж', 'семья', 'гроб', 'бок', 'газета', 'упрекать', 'относиться']
n_topics_6	n_topic_3	['невеста', 'леонардо', 'ниса', 'жених', 'лауренсьо', 'лисео', 'мать', 'жена', 'дом', 'уходить']	['принц', 'фернандо', 'король', 'феникс', 'фец', 'сеут', 'португальский', 'энрике', 'муль', 'командор']
n_topics_6	n_topic_4	['дон', 'мануэль', 'хуан', 'человек', 'паблос', 'время', 'друг', 'новый', 'дело', 'дом']	['инес', 'хуан', 'хиль', 'мартин', 'эльвира', 'тореро', 'дон', 'мартина', 'мигель', 'караманчель']
n_topics_6	n_topic_5	['галатея', 'принц', 'король', 'фернандо', 'акида', 'любовь', 'полифема', 'нимфа', 'прекрасный', 'феникс']	['теодоро', 'диана', 'графиня', 'марсела', 'граф', 'тристан', 'секретарь', 'рикардо', 'маркиз', 'камеристка']
