		lda	nmf
n_topics_5	n_topic_1	['человек', 'князь', 'жизнь', 'герой', 'время', 'дело', 'любовь', 'автор', 'мочь', 'друг']	['человек', 'герой', 'жизнь', 'становиться', 'время', 'отец', 'мальчик', 'год', 'дом', 'князь']
n_topics_5	n_topic_2	['державин', 'саня', 'время', 'год', 'день', 'туллий', 'публий', 'антон', 'дом', 'человек']	['иван', 'царь', 'конь', 'васильевич', 'жар', 'иванович', 'волк', 'яга', 'конек', 'баба']
n_topics_5	n_topic_3	['страна', 'урфин', 'волшебный', 'элли', 'рысь', 'изумрудный', 'страшило', 'андреич', 'марран', 'джюс']	['коля', 'таня', 'филька', 'мальчик', 'вадим', 'инкубатор', 'ректор', 'кира', 'марья', 'мирра']
n_topics_5	n_topic_4	['человек', 'становиться', 'время', 'день', 'дом', 'год', 'отец', 'жизнь', 'друг', 'мочь']	['рассказчик', 'пенсне', 'ручей', 'подробно', 'пес', 'мальчик', 'читать', 'доктор', 'охота', 'долго']
n_topics_5	n_topic_5	['человек', 'время', 'день', 'жизнь', 'год', 'идти', 'мочь', 'сергей', 'становиться', 'вася']	['урфин', 'страна', 'элли', 'страшило', 'изумрудный', 'волшебный', 'джюс', 'марран', 'энни', 'дровосек']
n_topics_6	n_topic_1	['князь', 'жизнь', 'герой', 'человек', 'время', 'любовь', 'друг', 'княгиня', 'мочь', 'становиться']	['человек', 'герой', 'жизнь', 'становиться', 'мальчик', 'время', 'отец', 'год', 'дом', 'друг']
n_topics_6	n_topic_2	['саня', 'ильин', 'тамара', 'год', 'день', 'дом', 'время', 'человек', 'профессор', 'сын']	['иван', 'царь', 'конь', 'васильевич', 'жар', 'иванович', 'волк', 'яга', 'конек', 'баба']
n_topics_6	n_topic_3	['рысь', 'андреич', 'человек', 'становиться', 'жизнь', 'отец', 'время', 'рассказывать', 'жить', 'говорить']	['коля', 'таня', 'филька', 'мальчик', 'вадим', 'инкубатор', 'ректор', 'кира', 'марья', 'мирра']
n_topics_6	n_topic_4	['человек', 'становиться', 'день', 'время', 'дом', 'год', 'мальчик', 'иван', 'жить', 'мочь']	['рассказчик', 'пенсне', 'ручей', 'подробно', 'пес', 'мальчик', 'читать', 'доктор', 'охота', 'долго']
n_topics_6	n_topic_5	['человек', 'время', 'день', 'жизнь', 'мочь', 'год', 'коля', 'самый', 'вася', 'оказываться']	['урфин', 'страна', 'элли', 'страшило', 'изумрудный', 'волшебный', 'джюс', 'марран', 'энни', 'дровосек']
