		lda	nmf
n_topics_5	n_topic_1	['бог', 'сын', 'зевс', 'царь', 'человек', 'отец', 'друг', 'хор', 'геракл', 'земля']	['зевс', 'бог', 'человек', 'прометей', 'сын', 'гермес', 'земля', 'царь', 'ахилл', 'ясон']
n_topics_5	n_topic_2	['жизнь', 'человек', 'время', 'сын', 'раб', 'отец', 'дело', 'царь', 'жена', 'пилос']	['хремет', 'памфил', 'раб', 'юноша', 'девушка', 'гетера', 'дом', 'сын', 'перстень', 'воин']
n_topics_5	n_topic_3	['бог', 'человек', 'сын', 'царь', 'эдип', 'земля', 'жена', 'медея', 'давать', 'раб']	['эдип', 'креонт', 'фивы', 'этеокла', 'антигона', 'полиник', 'лаий', 'хор', 'царь', 'бог']
n_topics_5	n_topic_4	['друг', 'человек', 'бог', 'сын', 'время', 'война', 'зевс', 'старик', 'говорить', 'народ']	['ифигения', 'орест', 'клитемнестр', 'агамемнон', 'артемида', 'пилад', 'хор', 'таврида', 'эринния', 'богиня']
n_topics_5	n_topic_5	['время', 'бог', 'человек', 'друг', 'одиссей', 'жизнь', 'город', 'ахилл', 'сын', 'корабль']	['геракл', 'деянир', 'амфитрион', 'мегар', 'гера', 'хор', 'лик', 'фивы', 'двенадцать', 'эхалия']
n_topics_6	n_topic_1	['бог', 'сын', 'зевс', 'царь', 'человек', 'отец', 'друг', 'хор', 'геракл', 'земля']	['зевс', 'бог', 'человек', 'прометей', 'сын', 'гермес', 'земля', 'царь', 'ахилл', 'эрот']
n_topics_6	n_topic_2	['человек', 'жизнь', 'сын', 'время', 'раб', 'отец', 'пилос', 'дело', 'царь', 'кожевник']	['хремет', 'памфил', 'раб', 'юноша', 'девушка', 'гетера', 'дом', 'сын', 'перстень', 'воин']
n_topics_6	n_topic_3	['бог', 'человек', 'сын', 'царь', 'земля', 'медея', 'эдип', 'жена', 'давать', 'ясон']	['эдип', 'креонт', 'фивы', 'этеокла', 'антигона', 'полиник', 'лаий', 'хор', 'царь', 'бог']
n_topics_6	n_topic_4	['друг', 'война', 'человек', 'бог', 'сын', 'зевс', 'время', 'говорить', 'старик', 'народ']	['ифигения', 'орест', 'клитемнестр', 'агамемнон', 'артемида', 'пилад', 'хор', 'таврида', 'эринния', 'богиня']
n_topics_6	n_topic_5	['бог', 'время', 'человек', 'одиссей', 'друг', 'город', 'ахилл', 'корабль', 'жизнь', 'сын']	['геракл', 'деянир', 'амфитрион', 'мегар', 'гера', 'хор', 'лик', 'фивы', 'двенадцать', 'эхалия']
n_topics_6	n_topic_6	['человек', 'сын', 'царь', 'друг', 'бог', 'орест', 'отец', 'хор', 'смерть', 'время']	['кожевник', 'пилос', 'клеон', 'народ', 'демосфен', 'аристофан', 'пророчество', 'всадник', 'подносить', 'плохой']
n_topics_7	n_topic_1	['бог', 'сын', 'зевс', 'царь', 'человек', 'отец', 'друг', 'хор', 'геракл', 'земля']	['зевс', 'бог', 'прометей', 'человек', 'гермес', 'земля', 'сын', 'эрот', 'ахилл', 'менипп']
n_topics_7	n_topic_2	['сын', 'раб', 'человек', 'отец', 'пилос', 'кожевник', 'жизнь', 'время', 'хотеть', 'жена']	['хремет', 'памфил', 'раб', 'юноша', 'девушка', 'гетера', 'дом', 'сын', 'перстень', 'воин']
n_topics_7	n_topic_3	['бог', 'человек', 'сын', 'царь', 'эдип', 'медея', 'земля', 'жена', 'давать', 'ясон']	['эдип', 'креонт', 'фивы', 'этеокла', 'антигона', 'полиник', 'лаий', 'хор', 'царь', 'бог']
n_topics_7	n_topic_4	['друг', 'война', 'человек', 'народ', 'бог', 'старик', 'говорить', 'мир', 'время', 'сын']	['ифигения', 'орест', 'клитемнестр', 'агамемнон', 'артемида', 'пилад', 'хор', 'таврида', 'эринния', 'богиня']
n_topics_7	n_topic_5	['время', 'бог', 'человек', 'друг', 'город', 'одиссей', 'корабль', 'любовь', 'ахилл', 'отец']	['геракл', 'деянир', 'амфитрион', 'мегар', 'хор', 'гера', 'лик', 'фивы', 'двенадцать', 'эхалия']
n_topics_7	n_topic_6	['человек', 'сын', 'орест', 'царь', 'друг', 'отец', 'бог', 'хор', 'раб', 'смерть']	['ясон', 'медея', 'аргонавт', 'царь', 'колхида', 'руно', 'ребенок', 'корабль', 'дракон', 'эгей']
n_topics_7	n_topic_7	['геракл', 'человек', 'бог', 'зевс', 'царь', 'сын', 'время', 'жизнь', 'друг', 'брат']	['кожевник', 'пилос', 'клеон', 'народ', 'демосфен', 'аристофан', 'пророчество', 'всадник', 'подносить', 'плохой']
