"123_part1" "123_part2" "belov_part1" "belov_part2" "erkhov_part1" "erkhov_part2" "gasparov_part1" "gasparov_part2" "gasparov_part3" "gasparov_part4" "karelsky_part1" "karelsky_part2" "karelsky_part3" "karelsky_part4" "sanovich_part1" "sanovich_part2" "shishkin_part1" "shishkin_part2" "smirnov_part1" "smirnov_part2"
"желание" 0.01 0.03 0.07 0.02 0 0.04 0.01 0.01 0.01 0.01 0.01 0.03 0.05 0.06 0.06 0.02 0.01 0.01 0.01 0.01
"закон" 0.01 0 0.02 0 0.03 0.01 0.03 0.02 0 0.14 0.01 0.01 0.01 0.04 0 0.01 0.06 0.08 0 0
"заявлять" 0.01 0.01 0.02 0 0.01 0.02 0 0 0.03 0 0.01 0.09 0 0.03 0 0.04 0.09 0.05 0.03 0.04
"лежать" 0.03 0.02 0.02 0.02 0.05 0.02 0.03 0.03 0.04 0.02 0.06 0 0 0.01 0.04 0 0.05 0 0 0.04
"нельзя" 0.01 0.03 0.04 0 0.01 0.06 0.03 0 0.01 0.03 0.02 0.03 0.05 0.01 0.04 0.01 0.04 0.03 0.03 0
"открывать" 0.03 0.02 0.03 0.01 0.05 0.02 0 0.01 0 0.01 0.01 0.01 0.03 0.04 0.01 0.04 0.05 0.04 0.03 0.04
"проводить" 0.03 0.02 0.02 0.09 0.02 0.04 0 0 0 0.01 0.1 0 0 0.03 0.01 0.03 0.01 0.03 0.01 0.03
"разбойник" 0 0 0.02 0 0 0 0.02 0.01 0.02 0 0.01 0 0 0.04 0.16 0 0 0 0.16 0.04
"рождаться" 0.02 0.02 0.02 0.02 0.01 0.01 0.13 0.04 0.04 0.02 0.04 0 0 0 0.01 0 0 0.01 0.08 0.01
"счастие" 0.02 0 0.04 0.01 0.03 0.03 0.03 0.05 0.04 0.03 0.01 0.04 0.05 0.02 0 0.01 0.01 0.02 0.02 0.02
"таки" 0.05 0.02 0.04 0.01 0.03 0.07 0 0.02 0.04 0.02 0.04 0.02 0.04 0.03 0.01 0 0.02 0 0.01 0.01
"трагедия" 0 0 0 0.01 0 0 0.01 0.14 0.14 0.16 0 0 0 0 0 0.01 0 0.01 0 0
"хозяйка" 0.05 0.01 0.01 0.02 0.03 0.02 0.01 0.01 0 0 0.03 0.07 0 0.02 0.02 0.04 0.02 0.03 0.05 0.04
"часть" 0.02 0.05 0.05 0.02 0.02 0.03 0.01 0.02 0.01 0.02 0.03 0 0.01 0.03 0 0.05 0.02 0.05 0.02 0.02
"ясон" 0 0 0 0 0 0 0 0.2 0.01 0.27 0 0 0 0 0 0 0 0 0 0
"америка" 0 0.01 0.11 0.1 0.01 0 0 0 0 0 0 0 0 0 0 0.03 0.2 0.01 0 0
"беда" 0 0 0.02 0.03 0.03 0.01 0.04 0.04 0.07 0.08 0.01 0.01 0 0 0 0 0.01 0 0.08 0.04
"военный" 0.01 0.01 0.09 0.06 0.04 0.03 0 0.01 0 0 0.01 0 0.01 0 0.15 0.02 0.02 0 0.01 0
"грех" 0 0 0.03 0.01 0.02 0.01 0.01 0.03 0.02 0.15 0.04 0 0.01 0.05 0 0.01 0.02 0.04 0 0.02
"ифигения" 0 0 0 0 0 0 0 0.45 0.02 0 0 0 0 0 0 0 0 0 0 0
"месяц" 0.01 0.04 0.02 0.03 0 0.02 0.02 0 0.01 0 0.06 0.02 0 0.05 0.08 0.03 0 0 0.02 0.06
"никак" 0 0.03 0.04 0.05 0.01 0.02 0.01 0 0 0 0.02 0 0.03 0.01 0.08 0.06 0 0 0.07 0.04
"огромный" 0.01 0.03 0.03 0.01 0.01 0.03 0.04 0.03 0.02 0.07 0.01 0.01 0.01 0 0 0.02 0 0.06 0.02 0.06
"пасть" 0 0.02 0 0.01 0.01 0 0.06 0.09 0.02 0.08 0 0.01 0.09 0.06 0 0.01 0 0 0 0.01
"поле" 0.02 0.01 0.01 0 0.02 0.02 0.06 0.01 0 0.03 0.05 0.05 0.04 0.05 0.03 0.01 0.03 0.01 0 0.02
"приказывать" 0.02 0 0 0 0.04 0.09 0.01 0.02 0.01 0.03 0 0.02 0.03 0.03 0.01 0 0.04 0.04 0.03 0.05
"продавать" 0.01 0 0.03 0.04 0.02 0 0 0 0.05 0.01 0.01 0.03 0 0 0.04 0.05 0 0.01 0.1 0.07
"река" 0 0 0 0 0 0 0.05 0.02 0.07 0.05 0.05 0 0.02 0.02 0.02 0.02 0.01 0 0.04 0.1
"родриго" 0 0 0 0 0 0 0 0 0 0 0 0 0.45 0 0 0 0.02 0 0 0
"сей" 0.01 0 0.03 0.01 0.01 0.01 0.01 0 0.03 0.02 0.03 0.06 0.07 0.03 0.03 0.03 0.02 0.01 0.02 0.04
"стол" 0.05 0.04 0 0.02 0.04 0.01 0.03 0 0.01 0.02 0.02 0.03 0.01 0.07 0.03 0.01 0.04 0 0.02 0.02
"супруга" 0.01 0 0.01 0.03 0.01 0 0 0 0.01 0 0 0.02 0.11 0.05 0.01 0.06 0 0.03 0.1 0.02
"успевать" 0.02 0.02 0.03 0.03 0.03 0.04 0 0 0.01 0.01 0.02 0.04 0.01 0.04 0.02 0.02 0.02 0 0.04 0.07
"вещь" 0.04 0.02 0 0.02 0.02 0.02 0.01 0 0.01 0 0.03 0.01 0 0 0.04 0.09 0.07 0 0.05 0.03
"государь" 0 0 0 0 0 0 0.01 0 0 0 0 0 0.09 0.02 0 0.01 0.01 0 0.16 0.16
"забывать" 0 0.03 0.01 0.01 0.04 0.06 0.06 0.04 0.02 0.03 0.02 0.01 0.01 0.02 0.02 0 0.04 0.03 0 0.01
"мануэль" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.46 0 0 0
"пирр" 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0.44 0 0
"план" 0.04 0.04 0.01 0.05 0.04 0.02 0.01 0 0.01 0 0 0.03 0.09 0.01 0.01 0.03 0.01 0.01 0.05 0
"подходить" 0.05 0 0.02 0.01 0.03 0.02 0.02 0.02 0.02 0.02 0.02 0.01 0.03 0.03 0.07 0.05 0.01 0.01 0.01 0.01
"потерять" 0.02 0.02 0.02 0.03 0.06 0.02 0.02 0.02 0 0.02 0.06 0.03 0.01 0.02 0.03 0.01 0.01 0.02 0.01 0.03
"решение" 0.04 0 0.09 0.07 0.04 0.04 0 0.03 0 0 0.01 0 0.03 0 0.01 0.01 0.01 0.04 0.04 0
"собирать" 0.04 0.02 0.01 0 0.01 0.04 0.03 0.03 0.04 0.05 0 0.04 0 0.01 0.01 0.02 0.03 0.02 0.04 0.02
"событие" 0.05 0.04 0.04 0.03 0.01 0.03 0.02 0.01 0 0 0.04 0 0.02 0.07 0.01 0.03 0.04 0.01 0.01 0
"солдат" 0.01 0.01 0.01 0.06 0.05 0.03 0 0 0 0.03 0.03 0 0 0.02 0.01 0.12 0.01 0.04 0.01 0.02
"бранд" 0 0 0 0 0.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"джейн" 0 0 0 0 0 0 0 0 0 0 0.44 0 0 0 0 0 0.01 0 0 0
"жан" 0 0 0 0 0 0.39 0 0 0 0 0 0 0 0 0 0 0 0.06 0 0
"знакомый" 0.05 0.03 0 0.03 0.04 0.06 0.01 0 0.02 0 0.03 0.04 0.02 0.02 0.01 0.03 0.01 0 0.02 0.03
"играть" 0.05 0.02 0.02 0.05 0.03 0 0.01 0.02 0.04 0.03 0.02 0 0.01 0.01 0.04 0.01 0.03 0.02 0.01 0.03
"мало" 0 0.02 0.06 0.04 0 0.02 0.06 0.01 0.03 0.02 0.04 0.02 0.04 0.03 0 0 0 0.03 0.03 0
"медея" 0 0 0 0 0 0 0.02 0.24 0.01 0.18 0 0 0 0 0 0 0 0 0 0
"передавать" 0.02 0.02 0 0.02 0.02 0.03 0 0.04 0.05 0.01 0.02 0.01 0 0.02 0.03 0.05 0.02 0.02 0.03 0.04
"полный" 0.04 0.03 0.02 0.02 0.01 0.05 0.01 0.02 0 0 0.05 0.05 0.03 0.04 0 0.01 0.02 0.01 0 0.04
"положение" 0.02 0 0.01 0.12 0.03 0.04 0 0 0 0.01 0.03 0.01 0.03 0.01 0.01 0.02 0.08 0.02 0 0.01
"помнить" 0.01 0.04 0 0.02 0.04 0.03 0.04 0.02 0.06 0.03 0.01 0 0 0.01 0.03 0.02 0.01 0.02 0.04 0.02
"представлять" 0.06 0.01 0.01 0.01 0.03 0.03 0 0 0.02 0 0.01 0.03 0.05 0.02 0.06 0.01 0.06 0.03 0 0.01
"равный" 0.02 0.02 0.04 0.01 0.02 0.01 0.02 0.01 0 0.03 0.01 0.05 0.05 0.01 0.02 0.04 0.02 0.03 0.01 0.03
"свобода" 0.02 0.01 0.05 0.09 0.01 0.04 0 0 0.04 0.02 0 0.03 0.03 0.01 0 0 0.04 0.05 0.01 0
"сергей" 0 0.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"симамура" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.45 0 0 0 0 0
"служить" 0 0.01 0.02 0.01 0.02 0.03 0.02 0.02 0.05 0.01 0.03 0.01 0.02 0.01 0.03 0 0.07 0.01 0.04 0.04
"спать" 0.03 0.03 0.04 0 0.01 0.03 0.06 0.01 0.01 0.03 0.05 0 0.02 0.02 0.03 0.03 0 0 0.03 0.02
"счастливый" 0.01 0.04 0.04 0.02 0.02 0.04 0.01 0.04 0.04 0.03 0.04 0.02 0.01 0.03 0 0.01 0 0.01 0.04 0
"вино" 0.02 0.01 0 0 0.01 0.01 0.04 0.04 0.07 0.02 0.01 0.03 0 0.01 0.01 0 0 0.01 0.09 0.06
"вовсе" 0.08 0.08 0.01 0.01 0 0.02 0 0 0.01 0.01 0 0.02 0.02 0 0.04 0.01 0.02 0 0.03 0.08
"возникать" 0 0.06 0.1 0.05 0 0.02 0 0 0.03 0 0 0.01 0.01 0 0.03 0.03 0 0.03 0.03 0.04
"гнев" 0.01 0 0.01 0 0.01 0.02 0 0.12 0.02 0.03 0 0.02 0.04 0.04 0 0.01 0.02 0.06 0.01 0.02
"греческий" 0 0 0 0 0 0 0.07 0.2 0.05 0.09 0 0.02 0 0 0 0 0 0.01 0 0
"дерево" 0 0 0.01 0.01 0.01 0.03 0.04 0.03 0.04 0.03 0 0 0.01 0.01 0.04 0.15 0 0.01 0 0.02
"долгий" 0.01 0.06 0.03 0.03 0.01 0.04 0.02 0.05 0.02 0.01 0.03 0.03 0.02 0.02 0.02 0 0.01 0.03 0 0
"житель" 0 0 0.09 0.06 0.03 0.03 0.01 0.01 0.01 0.02 0.01 0 0 0.01 0.05 0.07 0.01 0 0.01 0.02
"красный" 0.09 0.06 0 0 0 0.07 0 0.01 0 0.01 0.01 0 0 0 0 0.03 0.02 0.03 0 0.11
"миккель" 0 0 0 0 0.44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"огонь" 0.02 0 0.04 0.03 0.01 0.05 0.02 0.03 0.03 0.06 0.01 0.01 0 0 0.02 0.01 0.05 0.01 0.01 0.03
"призывать" 0.02 0.03 0 0.01 0 0.01 0.02 0 0.01 0.03 0.01 0.03 0.04 0.02 0.02 0.01 0.04 0.04 0.06 0.04
"родственник" 0.03 0.03 0.01 0.07 0.01 0.07 0 0.02 0 0 0.04 0.02 0 0.05 0 0 0.01 0 0.04 0.04
"товарищ" 0.02 0.03 0.04 0.03 0.02 0.01 0.04 0.1 0.02 0.02 0.01 0 0 0.01 0.01 0.05 0 0.01 0.01 0.01
"цель" 0 0.02 0.02 0.03 0.05 0.06 0.02 0.01 0 0.01 0.03 0.03 0 0.01 0.04 0.01 0.01 0.06 0.01 0.02
"ворота" 0.02 0 0 0 0.02 0.01 0.07 0.01 0 0 0.04 0.06 0.01 0.01 0.05 0.02 0 0.02 0.04 0.05
"врач" 0.02 0.02 0.02 0.06 0 0 0 0 0.01 0 0.03 0.01 0 0.01 0.21 0.02 0 0.02 0 0
"девица" 0.02 0.01 0 0.03 0 0 0 0 0 0 0.01 0 0.01 0.02 0 0.01 0 0 0.18 0.14
"железный" 0 0.02 0.11 0 0 0.01 0.02 0.01 0 0 0 0.03 0 0 0 0 0.01 0.19 0.03 0
"иван" 0.15 0.25 0 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"испытывать" 0.03 0.03 0.06 0.05 0.01 0.01 0 0 0 0.01 0.05 0.01 0.01 0.02 0.03 0.05 0.02 0.02 0.01 0.01
"купить" 0.01 0.04 0 0.01 0.02 0 0 0 0.02 0 0 0.02 0 0.01 0.03 0.05 0.02 0.01 0.1 0.09
"лавка" 0.03 0 0 0 0 0.01 0 0.01 0 0 0 0.01 0.02 0.02 0.05 0.09 0.11 0 0.08 0
"любой" 0.01 0.02 0.01 0 0.01 0.04 0.03 0.01 0 0.03 0 0.02 0.06 0.02 0.04 0.01 0.05 0.05 0.01 0.01
"маленький" 0.01 0.03 0.05 0.04 0.03 0.04 0.01 0.03 0.04 0.05 0 0 0 0.02 0.01 0.02 0.01 0.03 0 0.01
"несчастный" 0 0 0.03 0.01 0.01 0.02 0 0.01 0.03 0.02 0 0.05 0.02 0.01 0.03 0.01 0.01 0.02 0.11 0.04
"обнаруживать" 0.03 0.1 0.04 0.01 0.01 0 0 0 0 0.01 0 0.01 0 0.03 0.05 0.06 0.03 0 0.01 0.04
"песня" 0.03 0.01 0 0 0 0 0.11 0.14 0.06 0.05 0 0 0 0.01 0 0.01 0 0.01 0 0
"превращаться" 0 0.01 0.08 0.01 0.03 0.03 0 0 0.04 0 0.03 0 0.02 0.02 0.04 0.02 0.03 0.01 0 0.06
"признавать" 0 0.03 0.01 0.02 0.01 0.02 0 0 0.01 0 0.05 0.04 0.03 0.04 0.01 0 0.01 0.05 0.04 0.06
"принцесса" 0 0 0.06 0 0.01 0 0.02 0 0 0 0.04 0.16 0.06 0.02 0 0 0.04 0 0 0.02
"разный" 0.02 0.08 0.04 0.02 0.02 0.01 0 0.01 0.02 0.03 0.03 0.02 0.01 0.03 0.03 0 0.03 0.01 0.01 0.01
"сходить" 0.02 0.02 0.01 0 0.02 0.02 0.08 0.03 0.04 0.04 0.01 0.02 0.02 0.01 0.03 0.02 0.04 0 0 0
"ученый" 0 0.06 0.03 0 0.01 0 0.02 0 0 0 0 0.01 0.01 0 0.01 0 0.06 0 0.13 0.09
"чей" 0.02 0.02 0.01 0 0 0.03 0.02 0.01 0 0.05 0.04 0.02 0.06 0.02 0.06 0.02 0.02 0.02 0 0.01
"больной" 0.03 0.02 0.01 0.04 0.07 0.05 0 0.01 0.02 0 0.02 0.01 0 0 0.05 0.02 0 0.02 0.01 0.04
"будущее" 0.02 0.01 0.02 0.01 0 0.04 0.11 0.02 0 0.02 0.01 0 0.03 0.02 0 0 0.04 0.04 0.02 0.01
"быстро" 0 0.02 0.09 0.05 0.02 0.02 0.01 0 0 0.01 0.02 0.03 0.01 0.03 0.01 0.03 0 0.01 0.03 0.03
"вновь" 0.01 0.01 0.01 0 0.02 0.03 0.06 0.03 0.02 0.02 0 0 0.03 0 0.01 0.05 0.01 0.04 0.05 0.02
"двадцать" 0.04 0.01 0.03 0.05 0.02 0.01 0 0.03 0 0 0.02 0.03 0 0 0.04 0.05 0.01 0.01 0.04 0.03
"двое" 0.02 0 0.03 0.03 0.01 0.01 0.02 0.01 0.03 0.03 0.07 0.01 0.03 0.01 0.01 0.01 0 0.01 0.07 0.01
"жуан" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.42 0 0 0 0 0 0
"йоханнес" 0 0 0 0 0.42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"назад" 0.01 0.02 0.06 0 0.04 0.02 0 0.02 0 0.01 0.04 0.01 0.01 0.02 0.04 0.05 0.01 0.02 0.02 0.02
"позволять" 0.01 0.01 0.05 0 0.04 0.02 0.03 0.03 0 0 0 0.06 0.06 0 0.02 0.01 0.02 0.02 0.04 0
"покой" 0.02 0.02 0 0.01 0 0.05 0 0.02 0.03 0 0 0.04 0.05 0.01 0.01 0.02 0.01 0.07 0.02 0.04
"рожать" 0 0.01 0.03 0 0 0.01 0.09 0.03 0.01 0.02 0 0 0 0.04 0 0.02 0 0.06 0.05 0.05
"смертный" 0.01 0.01 0 0.01 0.01 0 0.06 0.1 0.11 0.02 0.02 0 0.03 0 0 0 0 0 0.03 0.01
"страсть" 0.02 0.03 0.01 0.02 0.03 0.04 0.04 0.03 0 0.03 0.01 0 0.06 0.01 0 0 0 0.09 0 0
"убийство" 0.02 0.01 0 0.05 0 0.02 0 0.02 0 0.06 0.01 0 0.08 0.01 0.02 0.01 0 0.07 0.03 0.01
"улица" 0.04 0.02 0.01 0.03 0.06 0.02 0.01 0 0.01 0.01 0.01 0.03 0.01 0.01 0.05 0 0.06 0.03 0 0.01
"юлия" 0 0.02 0 0 0 0.33 0 0 0 0 0 0 0.07 0 0 0 0 0 0 0
"выясняться" 0.02 0.01 0.07 0.03 0.02 0.02 0 0 0 0 0.03 0.02 0.01 0.02 0.01 0 0 0 0.1 0.05
"голос" 0 0.01 0.01 0.02 0.01 0.04 0.02 0.02 0.02 0.05 0 0.01 0.01 0.03 0.03 0.03 0.03 0.03 0.01 0.03
"двор" 0.07 0.01 0 0.01 0 0.03 0.04 0 0 0 0.02 0.01 0.04 0.01 0.02 0.01 0.02 0 0.06 0.06
"десять" 0.05 0.01 0.05 0.05 0 0 0.02 0.05 0.01 0 0.01 0.02 0 0 0.02 0.01 0.01 0.02 0.08 0
"добиваться" 0.02 0.01 0 0.06 0.04 0.03 0.02 0 0.01 0 0.01 0.02 0.02 0.05 0.01 0.02 0.01 0.03 0.04 0.01
"морской" 0 0 0 0.03 0 0.01 0.03 0.13 0.03 0.08 0 0 0.01 0.01 0 0.03 0.02 0.01 0 0.02
"невеста" 0.02 0 0 0 0.04 0.01 0 0 0.01 0.02 0.02 0.06 0.04 0.01 0 0 0.05 0.01 0.09 0.03
"прежде" 0.02 0.01 0.02 0.03 0.05 0.04 0.01 0.03 0 0.01 0.03 0.01 0.04 0.03 0.04 0.02 0 0 0.01 0.01
"ради" 0 0 0 0.03 0.06 0.01 0.01 0.03 0 0.02 0.02 0.03 0.06 0.04 0.04 0.01 0.03 0.02 0 0
"рядом" 0.04 0.03 0.02 0.01 0.01 0.05 0.03 0.02 0.02 0.03 0.02 0.01 0 0.01 0.02 0.04 0.01 0.02 0.02 0
"священник" 0 0 0.02 0.02 0.05 0.07 0 0 0 0 0.06 0.01 0 0.08 0.01 0.01 0.01 0.07 0 0
"удаляться" 0.01 0 0.02 0.05 0.01 0 0 0.02 0.01 0.04 0.01 0.05 0.05 0.05 0.02 0.04 0 0.01 0.01 0.01
"чуть" 0.06 0.03 0.01 0.01 0.02 0 0.01 0.01 0.02 0.01 0.06 0.03 0.01 0.04 0.03 0 0.03 0.01 0.02 0
"волшебный" 0.01 0 0.08 0 0.03 0.01 0.07 0.04 0 0.01 0 0.02 0.03 0.01 0 0 0 0 0.01 0.08
"вустер" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0
"выдавать" 0.01 0.01 0.01 0 0.01 0.02 0.03 0.03 0.03 0.01 0.01 0.04 0.02 0.03 0.03 0.02 0.01 0.01 0.05 0.02
"записка" 0.04 0 0 0.04 0.01 0 0 0 0 0 0 0.02 0 0.01 0.17 0.03 0.06 0 0.01 0.01
"значит" 0 0.01 0 0 0.04 0.01 0.03 0.03 0.08 0.05 0 0 0.01 0 0.05 0 0.01 0.03 0.03 0.02
"известный" 0.02 0.04 0.01 0.02 0.02 0.02 0 0 0 0 0.01 0.01 0.02 0.02 0.01 0.03 0.06 0.05 0.05 0.01
"мечтать" 0.04 0.05 0.02 0.01 0 0 0.01 0 0 0 0 0 0 0 0.02 0.06 0.02 0.04 0.09 0.04
"многий" 0.01 0.05 0.03 0.05 0.01 0.04 0.01 0.01 0.02 0.04 0.01 0.01 0.01 0.03 0 0.01 0.04 0.02 0 0
"приятель" 0.04 0.08 0.02 0.01 0.03 0 0 0 0.01 0.01 0.08 0.02 0 0.04 0 0.03 0 0 0.03 0
"сначала" 0.04 0.03 0 0.01 0.03 0.02 0 0 0 0 0.01 0.02 0.04 0.05 0.02 0.02 0.04 0.02 0.03 0.02
"флориндо" 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0
"химена" 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0
"час" 0.07 0.01 0.02 0.02 0.02 0.01 0 0 0.02 0.02 0.01 0.01 0.02 0.01 0.05 0.04 0.01 0.02 0.03 0.01
"часто" 0 0.06 0.01 0.01 0.02 0.04 0.02 0 0.01 0.02 0.02 0.02 0.03 0.03 0.03 0.03 0.01 0.01 0.02 0.01
"автор" 0 0.04 0.06 0.01 0.03 0.02 0 0 0 0 0 0 0 0 0.06 0 0.1 0.05 0 0.02
"вернуть" 0.01 0 0.02 0.04 0.02 0.02 0.01 0.04 0.02 0.03 0.01 0.01 0.01 0.01 0.02 0 0.02 0.01 0.06 0.03
"вспоминать" 0.05 0.06 0.01 0 0.01 0.04 0.02 0.02 0 0 0 0 0.01 0 0.05 0.06 0.04 0 0.01 0.01
"вставать" 0.03 0.01 0.01 0.01 0.02 0 0.03 0.03 0.02 0.04 0.05 0.02 0.01 0.03 0.02 0.02 0.02 0 0.01 0.01
"выступать" 0 0.06 0.02 0 0.01 0.04 0.02 0.04 0.02 0.03 0.03 0 0 0.03 0 0.01 0.02 0.04 0.01 0.01
"грек" 0 0 0 0.05 0.01 0 0.05 0.11 0.06 0.07 0 0 0.01 0 0 0 0 0.03 0 0
"дороти" 0 0 0.39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"клайд" 0 0 0.05 0.34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"кот" 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.36 0.02 0 0 0
"люся" 0 0 0 0 0 0 0 0 0 0 0.27 0.12 0 0 0 0 0 0 0 0
"мицу" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.39 0 0 0 0
"мнение" 0.01 0.02 0.01 0.07 0.06 0.03 0.01 0 0 0 0.04 0 0.01 0.01 0.05 0.01 0.02 0.01 0.03 0
"подарок" 0.01 0.01 0 0.02 0.01 0 0 0.01 0.03 0.01 0.01 0.08 0.05 0.01 0 0.08 0.01 0 0.01 0.04
"подвиг" 0.01 0 0.02 0 0 0 0.03 0.06 0.09 0.03 0.04 0 0.06 0.02 0 0 0 0.02 0.01 0
"поступать" 0.01 0 0.02 0.04 0 0.04 0 0.01 0 0 0.02 0.04 0.01 0.03 0.06 0.04 0.02 0.04 0.01 0
"прощать" 0.01 0.01 0.02 0 0.02 0.02 0 0.08 0.04 0.04 0 0.02 0.05 0.03 0 0.01 0 0.02 0.02 0
"родина" 0 0 0 0 0.03 0.02 0.04 0.05 0.02 0.02 0.01 0 0.07 0 0.01 0.05 0.01 0.01 0.02 0.03
"тайна" 0.02 0.01 0.01 0 0.03 0 0 0 0 0.01 0.03 0.03 0.08 0.01 0 0.03 0.01 0.09 0.02 0.01
"тартюф" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.39 0 0 0 0 0 0
"туда" 0.03 0.02 0.02 0.01 0.03 0.02 0.03 0.02 0 0.02 0.01 0.03 0.01 0.01 0.05 0.03 0 0.02 0 0.03
"убийца" 0 0.01 0.01 0 0 0.04 0.01 0.02 0 0.09 0.01 0 0.13 0.03 0 0 0.02 0.01 0 0.01
"фернандо" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29 0.1 0 0
"хитклиф" 0 0 0 0 0 0 0 0 0 0 0.39 0 0 0 0 0 0 0 0 0
"черный" 0.01 0.02 0.01 0.01 0.03 0.03 0.01 0.04 0.01 0.05 0 0.02 0.02 0 0.03 0 0.05 0 0 0.05
"борьба" 0 0 0.02 0.04 0.03 0 0.01 0.01 0.02 0.04 0 0 0 0 0.01 0 0.02 0.18 0 0
"весть" 0 0 0.01 0.02 0 0.02 0 0.09 0.02 0.03 0.02 0.02 0.06 0.03 0 0.01 0.03 0.01 0 0.01
"дабы" 0 0 0.01 0.01 0 0 0 0 0 0 0.02 0.09 0.11 0.07 0 0 0 0 0.03 0.04
"замуж" 0.03 0.01 0 0.01 0.04 0.03 0 0.02 0 0.01 0.02 0.04 0.01 0.01 0.01 0.01 0 0.01 0.07 0.05
"золото" 0 0 0 0.01 0 0.02 0 0.01 0.03 0.02 0.01 0.01 0.02 0 0 0.01 0.03 0.16 0.01 0.04
"камень" 0.02 0 0.03 0 0.02 0.03 0.01 0.03 0.05 0.02 0.01 0.02 0.05 0.01 0.02 0.01 0 0.01 0.03 0.01
"край" 0.01 0 0.01 0 0.01 0 0.02 0.06 0.05 0.04 0 0.01 0 0 0.05 0.01 0 0.03 0.04 0.04
"младенец" 0.02 0.03 0 0.01 0 0.02 0 0.01 0.02 0.09 0.01 0 0.01 0.11 0.01 0 0 0.01 0 0.03
"мудрый" 0.02 0.03 0.02 0 0 0.01 0.04 0.05 0.03 0.09 0 0 0.05 0.02 0 0.01 0 0 0.01 0
"напоминать" 0.01 0.02 0.02 0.01 0.02 0 0.02 0.03 0.02 0.01 0.03 0.03 0.03 0.02 0 0 0.04 0.05 0.01 0.01
"наступать" 0.01 0.03 0.03 0 0 0.07 0.03 0.05 0.03 0.01 0 0 0 0.01 0.03 0.01 0.02 0.03 0 0.02
"подросток" 0 0 0 0.01 0 0.01 0 0 0.02 0 0.01 0 0 0.01 0 0.32 0 0 0 0
"похищать" 0 0.01 0.02 0.01 0 0 0.03 0.03 0.09 0.02 0.01 0.01 0 0.03 0.01 0.01 0.02 0.03 0.01 0.04
"раскрывать" 0 0.02 0.01 0 0.01 0.01 0.01 0.01 0.02 0 0.02 0.05 0.07 0.02 0.01 0.03 0.06 0.02 0 0.01
"состояние" 0.02 0.03 0.04 0.05 0.04 0.05 0 0 0.01 0 0.04 0.02 0 0.03 0.02 0 0.02 0.01 0 0
"уверять" 0.03 0.01 0.07 0.07 0.01 0.01 0 0.01 0.01 0 0.02 0.01 0.03 0.01 0.01 0 0.01 0.03 0.03 0.01
"число" 0.03 0.03 0.04 0.03 0 0.02 0 0.01 0 0.01 0.03 0.05 0 0.03 0.01 0.01 0.01 0.02 0.03 0.02
"читать" 0.03 0.01 0.03 0.01 0.02 0.01 0.04 0.01 0 0 0.03 0.01 0 0.01 0.04 0.03 0.05 0.03 0.01 0.01
"август" 0 0.01 0 0 0 0 0.02 0 0 0 0 0 0.32 0 0.01 0 0 0.01 0 0
"агамемнон" 0 0 0 0 0 0 0 0.33 0 0.01 0 0 0 0 0 0 0 0.03 0 0
"американский" 0.01 0 0.06 0.05 0.01 0 0 0 0 0 0 0 0 0 0 0.03 0.2 0.01 0 0
"благородный" 0.03 0.01 0 0 0.01 0.01 0.03 0.01 0 0 0.05 0.07 0.08 0.03 0 0.01 0 0 0.03 0
"близкий" 0.02 0.03 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.04 0 0.02 0.05 0.03 0.02 0.01 0.02 0.01 0
"бывать" 0 0.06 0 0 0.02 0.02 0.01 0.01 0.05 0.02 0.03 0.02 0.02 0.02 0.03 0.01 0.01 0 0.02 0.02
"взгляд" 0.03 0.02 0.01 0 0.03 0.03 0.05 0 0.02 0.01 0.03 0.01 0.01 0 0.03 0.02 0.03 0.02 0.01 0.01
"внимание" 0.05 0.05 0.02 0.01 0.03 0.01 0 0.01 0 0 0.02 0.01 0.01 0 0.04 0.04 0.01 0.03 0.02 0.01
"вроде" 0.06 0.04 0.05 0.04 0 0.01 0.01 0.01 0.01 0 0.04 0.01 0.01 0.02 0 0 0.03 0.02 0.01 0
