"X123_part1" "X123_part2" "belov_part1" "belov_part2" "erkhov_part1" "erkhov_part2" "gasparov_part1" "gasparov_part2" "gasparov_part3" "gasparov_part4" "karelsky_part1" "karelsky_part2" "karelsky_part3" "karelsky_part4" "sanovich_part1" "sanovich_part2" "shishkin_part1" "shishkin_part2" "smirnov_part1" "smirnov_part2"
"от" 0.42 0.42 0.41 0.37 0.45 0.4 0.69 0.5 0.44 0.52 0.45 0.58 0.55 0.51 0.28 0.42 0.7 0.42 0.38 0.4
"у" 0.4 0.55 0.43 0.49 0.56 0.57 0.64 0.46 0.68 0.41 0.49 0.34 0.22 0.36 0.38 0.49 0.38 0.34 0.47 0.54
"по" 0.51 0.48 0.61 0.48 0.48 0.41 0.48 0.19 0.39 0.41 0.64 0.39 0.42 0.47 0.35 0.41 0.46 0.26 0.6 0.44
"о" 0.41 0.42 0.38 0.46 0.32 0.3 0.39 0.67 0.4 0.45 0.31 0.47 0.49 0.54 0.4 0.43 0.52 0.5 0.48 0.38
"это" 0.35 0.47 0.27 0.44 0.42 0.52 0.77 0.66 0.68 0.64 0.34 0.32 0.35 0.31 0.38 0.35 0.38 0.43 0.19 0.18
"весь" 0.37 0.25 0.33 0.45 0.41 0.51 0.4 0.26 0.28 0.22 0.36 0.48 0.39 0.37 0.24 0.36 0.34 0.44 0.36 0.27
"этот" 0.33 0.47 0.43 0.32 0.3 0.26 0.31 0.42 0.42 0.35 0.51 0.39 0.3 0.4 0.33 0.32 0.42 0.4 0.19 0.13
"все" 0.35 0.37 0.22 0.34 0.24 0.44 0.33 0.29 0.33 0.23 0.38 0.4 0.37 0.3 0.29 0.21 0.31 0.33 0.42 0.5
"же" 0.43 0.43 0.2 0.14 0.49 0.37 0.27 0.19 0.24 0.3 0.36 0.53 0.61 0.52 0.23 0.11 0.29 0.48 0.23 0.12
"себя" 0.32 0.34 0.31 0.28 0.37 0.48 0.17 0.19 0.24 0.35 0.27 0.28 0.38 0.25 0.49 0.45 0.34 0.28 0.34 0.37
"человек" 0.33 0.33 0.29 0.24 0.29 0.38 0.14 0.23 0.25 0.34 0.43 0.14 0.11 0.06 0.85 0.27 0.38 0.32 0.31 0.16
"когда" 0.27 0.24 0.29 0.18 0.23 0.23 0.26 0.22 0.26 0.3 0.28 0.36 0.36 0.53 0.55 0.37 0.15 0.29 0.26 0.21
"один" 0.22 0.26 0.37 0.18 0.21 0.31 0.33 0.37 0.35 0.27 0.38 0.24 0.27 0.3 0.3 0.29 0.18 0.14 0.31 0.29
"ее" 0.31 0.23 0.27 0.39 0.36 0.32 0.11 0.2 0.17 0.11 0.33 0.42 0.42 0.27 0.34 0.21 0.25 0.39 0.17 0.28
"становиться" 0.17 0.27 0.29 0.26 0.14 0.21 0.2 0.09 0.23 0.2 0.34 0.28 0.34 0.36 0.29 0.33 0.29 0.21 0.19 0.29
"чтобы" 0.2 0.19 0.26 0.3 0.28 0.28 0.23 0.25 0.19 0.16 0.19 0.23 0.13 0.19 0.49 0.39 0.32 0.31 0.17 0.21
"время" 0.2 0.31 0.32 0.24 0.27 0.22 0.1 0.04 0.12 0.08 0.42 0.22 0.2 0.22 0.26 0.25 0.33 0.29 0.33 0.28
"дом" 0.26 0.19 0.19 0.25 0.44 0.16 0.06 0.06 0.21 0.08 0.41 0.12 0.05 0.32 0.25 0.32 0.21 0.26 0.43 0.4
"для" 0.27 0.31 0.24 0.23 0.3 0.28 0.19 0.24 0.25 0.09 0.18 0.2 0.23 0.25 0.36 0.19 0.2 0.29 0.18 0.11
"так" 0.13 0.3 0.22 0.21 0.25 0.24 0.23 0.24 0.3 0.15 0.22 0.25 0.22 0.2 0.2 0.24 0.31 0.19 0.21 0.27
"сын" 0.33 0.08 0.1 0.08 0.31 0.06 0.24 0.33 0.3 0.54 0.15 0.15 0.23 0.19 0.16 0.07 0.05 0.38 0.47 0.31
"жена" 0.16 0.11 0.14 0.13 0.11 0.07 0.06 0.22 0.41 0.15 0.19 0.14 0.19 0.17 0.42 0.25 0.02 0.29 0.6 0.6
"только" 0.24 0.21 0.13 0.15 0.23 0.25 0.15 0.27 0.29 0.18 0.19 0.3 0.25 0.26 0.26 0.15 0.1 0.15 0.23 0.41
"мочь" 0.16 0.23 0.22 0.19 0.25 0.25 0.1 0.12 0.13 0.1 0.23 0.21 0.23 0.11 0.34 0.28 0.19 0.27 0.27 0.17
"жизнь" 0.17 0.34 0.2 0.25 0.25 0.49 0.11 0.04 0.11 0.11 0.29 0.08 0.1 0.27 0.12 0.16 0.42 0.22 0.17 0.12
"отец" 0.28 0.11 0.1 0.1 0.28 0.19 0.2 0.28 0.31 0.16 0.12 0.26 0.28 0.21 0.09 0.18 0.07 0.2 0.36 0.15
"сам" 0.16 0.18 0.16 0.11 0.18 0.2 0.27 0.25 0.3 0.32 0.16 0.26 0.16 0.27 0.12 0.1 0.15 0.19 0.18 0.2
"после" 0.24 0.45 0.23 0.17 0.18 0.16 0.12 0.14 0.14 0.12 0.21 0.19 0.11 0.2 0.22 0.24 0.12 0.23 0.12 0.11
"друг" 0.17 0.05 0.25 0.06 0.11 0.13 0.37 0.19 0.37 0.09 0.12 0.24 0.19 0.14 0.06 0.11 0.24 0.11 0.48 0.17
"во" 0.1 0.17 0.17 0.08 0.07 0.2 0.21 0.16 0.1 0.22 0.09 0.22 0.26 0.19 0.2 0.16 0.23 0.29 0.23 0.28
"бы" 0.11 0.12 0.14 0.12 0.17 0.29 0.14 0.24 0.14 0.13 0.24 0.31 0.28 0.2 0.25 0.19 0.08 0.24 0.14 0.08
"уже" 0.11 0.19 0.19 0.19 0.14 0.17 0.19 0.18 0.22 0.17 0.24 0.21 0.22 0.15 0.16 0.17 0.13 0.22 0.13 0.17
"такой" 0.08 0.14 0.23 0.13 0.21 0.17 0.33 0.11 0.4 0.16 0.17 0.17 0.12 0.18 0.1 0.1 0.26 0.18 0.16 0.1
"кто" 0.07 0.15 0.2 0.13 0.03 0.11 0.37 0.19 0.39 0.28 0.12 0.09 0.2 0.11 0.27 0.14 0.13 0.16 0.14 0.11
"ни" 0.04 0.06 0.1 0.08 0.12 0.27 0.2 0.18 0.26 0.23 0.21 0.21 0.3 0.3 0.15 0.13 0.08 0.1 0.17 0.16
"их" 0.12 0.21 0.19 0.17 0.23 0.18 0.15 0.15 0.11 0.1 0.11 0.24 0.12 0.11 0.1 0.37 0.15 0.15 0.23 0.15
"до" 0.16 0.17 0.2 0.19 0.16 0.14 0.18 0.11 0.15 0.27 0.19 0.16 0.17 0.19 0.21 0.13 0.05 0.11 0.19 0.17
"еще" 0.13 0.23 0.17 0.11 0.2 0.29 0.16 0.17 0.16 0.1 0.21 0.11 0.15 0.21 0.1 0.13 0.08 0.17 0.26 0.15
"другой" 0.1 0.2 0.18 0.13 0.21 0.29 0.29 0.16 0.23 0.19 0.16 0.09 0.12 0.11 0.18 0.12 0.17 0.16 0.13 0.06
"хотеть" 0.21 0.23 0.07 0.08 0.11 0.18 0.11 0.21 0.21 0.17 0.02 0.09 0.07 0.08 0.31 0.33 0.26 0.34 0.09 0.1
"где" 0.27 0.22 0.26 0.22 0.12 0.14 0.17 0.11 0.1 0.2 0.2 0.06 0.07 0.18 0.22 0.18 0.14 0.16 0.14 0.1
"самый" 0.09 0.28 0.18 0.19 0.16 0.21 0.23 0.13 0.13 0.15 0.16 0.15 0.17 0.26 0.09 0.21 0.04 0.09 0.12 0.18
"дело" 0.15 0.13 0.23 0.24 0.16 0.18 0.11 0.16 0.14 0.13 0.12 0.2 0.11 0.15 0.14 0.15 0.05 0.1 0.24 0.27
"год" 0.1 0.18 0.15 0.13 0.25 0.14 0.08 0.11 0.06 0.16 0.27 0.09 0.09 0.19 0.16 0.26 0.06 0.11 0.35 0.2
"жить" 0.11 0.2 0.15 0.12 0.13 0.28 0.15 0.08 0.12 0.1 0.15 0.08 0.06 0.1 0.16 0.17 0.16 0.04 0.39 0.21
"теперь" 0.15 0.11 0.2 0.14 0.21 0.21 0.15 0.1 0.17 0.13 0.11 0.12 0.2 0.09 0.15 0.13 0.06 0.24 0.12 0.09
"женщина" 0.12 0.09 0.05 0.04 0.08 0.19 0.14 0.18 0.14 0.06 0.08 0.15 0.05 0.11 0.68 0.13 0.08 0.06 0.25 0.18
"оставаться" 0.1 0.17 0.14 0.25 0.15 0.18 0.13 0.08 0.1 0.12 0.18 0.11 0.13 0.16 0.12 0.14 0.07 0.12 0.1 0.15
"знать" 0.13 0.1 0.1 0.07 0.19 0.17 0.12 0.31 0.18 0.14 0.11 0.07 0.03 0.11 0.12 0.19 0.04 0.22 0.11 0.13
"со" 0.13 0.13 0.08 0.11 0.04 0.04 0.23 0.11 0.21 0.16 0.1 0.17 0.15 0.15 0.09 0.1 0.15 0.09 0.19 0.19
"день" 0.14 0.16 0.13 0.14 0.15 0.1 0.09 0.14 0.08 0.05 0.21 0.06 0.06 0.19 0.17 0.14 0.11 0.03 0.24 0.2
