		lda	nmf
n_topics_5	n_topic_1	['человек', 'время', 'становиться', 'мочь', 'жизнь', 'друг', 'отец', 'дом', 'год', 'день']	['человек', 'жизнь', 'герой', 'время', 'становиться', 'дом', 'друг', 'отец', 'год', 'мочь']
n_topics_5	n_topic_2	['сальери', 'равик', 'моцарт', 'итен', 'вокульский', 'рентс', 'джонатан', 'калинович', 'тилем', 'неля']	['ваш', 'клиент', 'компания', 'продукт', 'пример', 'бизнес', 'сотрудник', 'человек', 'решение', 'использовать']
n_topics_5	n_topic_3	['ширин', 'хосров', 'сиавуш', 'уинстон', 'хакон', 'таэко', 'кмицица', 'фритьоф', 'шах', 'колдуэлл']	['дон', 'хуан', 'жуан', 'донья', 'карлос', 'луис', 'мануэль', 'кихот', 'изабелла', 'родриго']
n_topics_5	n_topic_4	['продукт', 'клиент', 'компания', 'уэсли', 'ваш', 'юити', 'рынок', 'дэвис', 'потребитель', 'бизнес']	['эдип', 'фивы', 'креонт', 'антигона', 'этеокла', 'иокастый', 'хор', 'царь', 'полиник', 'лаий']
n_topics_5	n_topic_5	['иван', 'дон', 'становиться', 'мальчик', 'день', 'решать', 'идти', 'время', 'человек', 'дом']	['иван', 'царь', 'олеся', 'васильевич', 'конь', 'африканович', 'яга', 'иванович', 'жар', 'волк']
n_topics_6	n_topic_1	['человек', 'время', 'становиться', 'жизнь', 'мочь', 'друг', 'дом', 'отец', 'год', 'день']	['человек', 'жизнь', 'герой', 'время', 'становиться', 'дом', 'друг', 'отец', 'год', 'мочь']
n_topics_6	n_topic_2	['сальери', 'моцарт', 'равик', 'итен', 'вокульский', 'рентс', 'аввакум', 'джонатан', 'калинович', 'неля']	['ваш', 'клиент', 'компания', 'продукт', 'пример', 'бизнес', 'сотрудник', 'человек', 'решение', 'использовать']
n_topics_6	n_topic_3	['ширин', 'хосров', 'сиавуш', 'уинстон', 'хакон', 'рейзл', 'кмицица', 'фритьоф', 'шах', 'сохраб']	['дон', 'хуан', 'жуан', 'донья', 'карлос', 'луис', 'мануэль', 'кихот', 'изабелла', 'родриго']
n_topics_6	n_topic_4	['уэсли', 'герш', 'гамлет', 'давид', 'тиэко', 'розенкранц', 'тевье', 'варавва', 'иосел', 'плюм']	['эдип', 'фивы', 'креонт', 'антигона', 'этеокла', 'иокастый', 'хор', 'царь', 'полиник', 'лаий']
n_topics_6	n_topic_5	['дон', 'иван', 'хуан', 'становиться', 'день', 'идти', 'немец', 'решать', 'увидеть', 'лес']	['иван', 'царь', 'олеся', 'васильевич', 'конь', 'африканович', 'яга', 'иванович', 'жар', 'волк']
