		lda	nmf
n_topics_5	n_topic_1	['доктор', 'человек', 'жизнь', 'орра', 'становиться', 'мистер', 'время', 'письмо', 'приходить', 'год']	['орра', 'мост', 'сон', 'поезд', 'доктор', 'инженер', 'фельдмаршал', 'телевизор', 'сниться', 'платок']
n_topics_5	n_topic_2	['человек', 'время', 'друг', 'отец', 'оказываться', 'жизнь', 'доктор', 'становиться', 'решать', 'король']	['король', 'де', 'герцог', 'цыган', 'ла', 'монастырь', 'графиня', 'граф', 'рыцарь', 'принц']
n_topics_5	n_topic_3	['орра', 'время', 'человек', 'судьба', 'должный', 'друг', 'отец', 'труд', 'дома', 'предлагать']	['роман', 'герой', 'клинкер', 'повествование', 'несомненно', 'описывать', 'вполне', 'момент', 'человек', 'весьма']
n_topics_5	n_topic_4	['друг', 'доктор', 'становиться', 'сэр', 'начинать', 'письмо', 'жизнь', 'отец', 'оказываться', 'дом']	['пират', 'мальчишка', 'капитан', 'остров', 'фея', 'венди', 'ребенок', 'окно', 'прилетать', 'сокровище']
n_topics_5	n_topic_5	['оказываться', 'роман', 'человек', 'доктор', 'однако', 'решать', 'время', 'жизнь', 'самый', 'отправляться']	['труд', 'капитал', 'заработный', 'плата', 'товар', 'цена', 'разделение', 'стоимость', 'продукт', 'рынок']
n_topics_6	n_topic_1	['доктор', 'мистер', 'человек', 'жизнь', 'письмо', 'друг', 'дверь', 'кабинет', 'становиться', 'аттерсон']	['орра', 'мост', 'сон', 'поезд', 'доктор', 'инженер', 'фельдмаршал', 'телевизор', 'сниться', 'платок']
n_topics_6	n_topic_2	['время', 'человек', 'отец', 'друг', 'оказываться', 'жизнь', 'становиться', 'король', 'решать', 'узнавать']	['король', 'де', 'герцог', 'ла', 'цыган', 'монастырь', 'графиня', 'граф', 'рыцарь', 'принц']
n_topics_6	n_topic_3	['время', 'орра', 'судьба', 'человек', 'должный', 'сожаление', 'отец', 'предлагать', 'друг', 'ехать']	['роман', 'герой', 'клинкер', 'повествование', 'несомненно', 'описывать', 'вполне', 'момент', 'человек', 'весьма']
n_topics_6	n_topic_4	['друг', 'доктор', 'становиться', 'сэр', 'начинать', 'жизнь', 'отец', 'письмо', 'реклама', 'оказываться']	['пират', 'мальчишка', 'капитан', 'остров', 'фея', 'венди', 'ребенок', 'окно', 'прилетать', 'сокровище']
n_topics_6	n_topic_5	['оказываться', 'роман', 'человек', 'однако', 'доктор', 'время', 'решать', 'самый', 'жизнь', 'отправляться']	['труд', 'капитал', 'заработный', 'плата', 'товар', 'цена', 'разделение', 'стоимость', 'продукт', 'рынок']
n_topics_6	n_topic_6	['герой', 'король', 'роман', 'друг', 'человек', 'старый', 'орра', 'де', 'доктор', 'время']	['ф', 'отец', 'мужской', 'ловушка', 'ребенок', 'убивать', 'циферблат', 'гормон', 'запускать', 'сол']
n_topics_7	n_topic_1	['доктор', 'жизнь', 'человек', 'становиться', 'время', 'мистер', 'год', 'приходить', 'орра', 'начинать']	['орра', 'мост', 'сон', 'поезд', 'доктор', 'инженер', 'фельдмаршал', 'телевизор', 'сниться', 'платок']
n_topics_7	n_topic_2	['человек', 'время', 'друг', 'отец', 'оказываться', 'жизнь', 'доктор', 'становиться', 'решать', 'год']	['король', 'де', 'герцог', 'цыган', 'ла', 'монастырь', 'графиня', 'граф', 'рыцарь', 'принц']
n_topics_7	n_topic_3	['время', 'судьба', 'орра', 'человек', 'сожаление', 'должный', 'ехать', 'предлагать', 'торговый', 'очаровываться']	['роман', 'герой', 'клинкер', 'повествование', 'несомненно', 'описывать', 'вполне', 'момент', 'человек', 'весьма']
n_topics_7	n_topic_4	['друг', 'сэр', 'становиться', 'доктор', 'начинать', 'письмо', 'отец', 'жизнь', 'реклама', 'оказываться']	['пират', 'мальчишка', 'капитан', 'остров', 'фея', 'венди', 'ребенок', 'окно', 'прилетать', 'сокровище']
n_topics_7	n_topic_5	['оказываться', 'человек', 'роман', 'доктор', 'однако', 'отправляться', 'решать', 'самый', 'время', 'жизнь']	['труд', 'капитал', 'заработный', 'плата', 'товар', 'цена', 'разделение', 'стоимость', 'продукт', 'рынок']
n_topics_7	n_topic_6	['герой', 'роман', 'король', 'друг', 'человек', 'орра', 'старый', 'де', 'доктор', 'становиться']	['ф', 'отец', 'мужской', 'ловушка', 'ребенок', 'убивать', 'циферблат', 'гормон', 'запускать', 'сол']
n_topics_7	n_topic_7	['доктор', 'друг', 'эстрагон', 'дело', 'отец', 'должный', 'лицо', 'тайна', 'мистер', 'конец']	['эстрагон', 'поццо', 'чемодан', 'башмак', 'лак', 'шляпа', 'снова', 'корзина', 'завтра', 'ждать']
n_topics_8	n_topic_1	['человек', 'жизнь', 'доктор', 'становиться', 'время', 'врач', 'год', 'мистер', 'орра', 'начинать']	['орра', 'мост', 'сон', 'поезд', 'доктор', 'инженер', 'фельдмаршал', 'телевизор', 'сниться', 'платок']
n_topics_8	n_topic_2	['время', 'человек', 'отец', 'друг', 'оказываться', 'жизнь', 'становиться', 'король', 'решать', 'год']	['король', 'де', 'герцог', 'цыган', 'ла', 'монастырь', 'графиня', 'граф', 'рыцарь', 'замок']
n_topics_8	n_topic_3	['судьба', 'орра', 'время', 'сожаление', 'человек', 'должный', 'очаровываться', 'ехать', 'торговый', 'разбой']	['роман', 'герой', 'клинкер', 'повествование', 'несомненно', 'описывать', 'вполне', 'момент', 'человек', 'весьма']
n_topics_8	n_topic_4	['друг', 'сэр', 'становиться', 'начинать', 'письмо', 'доктор', 'капельница', 'реклама', 'естественный', 'природный']	['пират', 'мальчишка', 'капитан', 'остров', 'фея', 'венди', 'ребенок', 'окно', 'сокровище', 'прилетать']
n_topics_8	n_topic_5	['оказываться', 'роман', 'человек', 'однако', 'именно', 'отправляться', 'время', 'решать', 'самый', 'весьма']	['врач', 'мэнсон', 'больной', 'шахта', 'медицинский', 'комитет', 'доктор', 'суд', 'ребенок', 'делать']
n_topics_8	n_topic_6	['король', 'де', 'орра', 'роман', 'герой', 'друг', 'человек', 'старый', 'герцог', 'падать']	['эстрагон', 'поццо', 'чемодан', 'башмак', 'лак', 'шляпа', 'снова', 'корзина', 'завтра', 'ждать']
n_topics_8	n_topic_7	['отец', 'должный', 'друг', 'дело', 'доктор', 'тайна', 'эстрагон', 'лицо', 'приводить', 'сэр']	['ф', 'отец', 'мужской', 'ловушка', 'ребенок', 'убивать', 'циферблат', 'гормон', 'запускать', 'сол']
n_topics_8	n_topic_8	['доктор', 'друг', 'оказываться', 'человек', 'пират', 'жизнь', 'мистер', 'письмо', 'находить', 'кабинет']	['труд', 'капитал', 'заработный', 'плата', 'товар', 'цена', 'разделение', 'стоимость', 'продукт', 'рынок']
n_topics_9	n_topic_1	['жизнь', 'человек', 'становиться', 'доктор', 'время', 'год', 'орра', 'мистер', 'рассказывать', 'начинать']	['орра', 'мост', 'сон', 'поезд', 'доктор', 'инженер', 'фельдмаршал', 'телевизор', 'сниться', 'платок']
