		lda	nmf
n_topics_5	n_topic_1	['отец', 'девушка', 'донна', 'дон', 'человек', 'время', 'жизнь', 'рука', 'становиться', 'друг']	['томаш', 'тереза', 'клиника', 'работать', 'франц', 'свобода', 'подписывать', 'сабина', 'чешский', 'деревня']
n_topics_5	n_topic_2	['человек', 'время', 'становиться', 'жизнь', 'год', 'дом', 'ход', 'ребенок', 'однако', 'друг']	['старик', 'окно', 'сад', 'дверь', 'ребенок', 'утопленница', 'мать', 'девушка', 'внучка', 'смотреть']
n_topics_5	n_topic_3	['слепой', 'священник', 'юный', 'человек', 'рука', 'ребенок', 'колено', 'шаг', 'лист', 'шум']	['мадам', 'комиссар', 'адвокат', 'мегрэ', 'мадемуазель', 'секретарша', 'патрон', 'кабинет', 'супруг', 'анонимный']
n_topics_5	n_topic_4	['ребенок', 'путешественник', 'португалец', 'остров', 'корабль', 'лузитан', 'правитель', 'путь', 'берег', 'земля']	['слепой', 'священник', 'юный', 'лист', 'шаг', 'колено', 'рука', 'чей', 'приближаться', 'приют']
n_topics_5	n_topic_5	['дон', 'человек', 'донна', 'друг', 'становиться', 'рука', 'отец', 'ночь', 'убивать', 'девушка']	['дон', 'донна', 'невеста', 'парк', 'родериго', 'геометрия', 'друг', 'входить', 'отец', 'спальня']
n_topics_6	n_topic_1	['донна', 'дон', 'человек', 'время', 'отец', 'жизнь', 'девушка', 'герцог', 'друг', 'рука']	['томаш', 'тереза', 'клиника', 'работать', 'франц', 'свобода', 'подписывать', 'сабина', 'чешский', 'деревня']
n_topics_6	n_topic_2	['человек', 'время', 'становиться', 'жизнь', 'год', 'дом', 'ход', 'однако', 'ребенок', 'друг']	['старик', 'окно', 'сад', 'дверь', 'ребенок', 'утопленница', 'мать', 'внучка', 'девушка', 'смотреть']
n_topics_6	n_topic_3	['слепой', 'священник', 'юный', 'рука', 'человек', 'колено', 'шаг', 'ребенок', 'лист', 'шум']	['тшанц', 'берло', 'папка', 'машина', 'полицейский', 'убивать', 'управление', 'убийство', 'утро', 'комиссар']
n_topics_6	n_topic_4	['путешественник', 'португалец', 'ребенок', 'остров', 'корабль', 'лузитан', 'правитель', 'путь', 'берег', 'земля']	['слепой', 'священник', 'юный', 'лист', 'шаг', 'колено', 'рука', 'чей', 'приближаться', 'приют']
n_topics_6	n_topic_5	['дон', 'донна', 'человек', 'друг', 'ночь', 'рука', 'отец', 'убивать', 'становиться', 'девушка']	['ход', 'барон', 'император', 'добиваться', 'грамота', 'крестьянин', 'ларец', 'староста', 'комиссия', 'пан']
n_topics_6	n_topic_6	['ребенок', 'становиться', 'мать', 'человек', 'отец', 'дом', 'окно', 'старик', 'говорить', 'время']	['саламандра', 'капитан', 'человечество', 'жемчуг', 'подводный', 'существо', 'эксплуатация', 'начинать', 'научный', '’\n']
n_topics_7	n_topic_1	['донна', 'дон', 'девушка', 'отец', 'человек', 'жизнь', 'рука', 'время', 'молодой', 'друг']	['томаш', 'тереза', 'клиника', 'работать', 'франц', 'свобода', 'подписывать', 'сабина', 'чешский', 'деревня']
n_topics_7	n_topic_2	['человек', 'время', 'становиться', 'жизнь', 'год', 'ребенок', 'дом', 'однако', 'ход', 'друг']	['слепой', 'священник', 'юный', 'лист', 'шаг', 'колено', 'рука', 'чей', 'приближаться', 'приют']
n_topics_7	n_topic_3	['слепой', 'священник', 'юный', 'рука', 'колено', 'человек', 'шаг', 'лист', 'шум', 'старый']	['тшанц', 'берло', 'папка', 'машина', 'полицейский', 'убивать', 'управление', 'убийство', 'утро', 'комиссар']
n_topics_7	n_topic_4	['путешественник', 'португалец', 'остров', 'корабль', 'лузитан', 'ребенок', 'правитель', 'путь', 'берег', 'саламандра']	['путешественник', 'португалец', 'лузитан', 'правитель', 'корабль', 'остров', 'вакх', 'путь', 'берег', 'земля']
n_topics_7	n_topic_5	['дон', 'донна', 'человек', 'друг', 'ночь', 'рука', 'отец', 'убивать', 'парк', 'видеть']	['старик', 'окно', 'сад', 'дверь', 'ребенок', 'утопленница', 'мать', 'девушка', 'внучка', 'смотреть']
n_topics_7	n_topic_6	['ребенок', 'становиться', 'мать', 'отец', 'человек', 'дом', 'окно', 'рассказывать', 'говорить', 'каждый']	['саламандра', 'капитан', 'человечество', 'жемчуг', 'подводный', 'существо', 'эксплуатация', 'начинать', 'научный', '’\n']
n_topics_7	n_topic_7	['человек', 'город', 'становиться', 'уленшпигель', 'ребенок', 'узнавать', 'время', 'любовь', 'самый', 'предлагать']	['ход', 'барон', 'император', 'добиваться', 'грамота', 'крестьянин', 'ларец', 'староста', 'комиссия', 'пан']
n_topics_8	n_topic_1	['донна', 'дон', 'отец', 'девушка', 'время', 'жизнь', 'человек', 'рука', 'молодой', 'друг']	['ход', 'барон', 'император', 'добиваться', 'грамота', 'крестьянин', 'ларец', 'староста', 'комиссия', 'пан']
n_topics_8	n_topic_2	['человек', 'время', 'становиться', 'жизнь', 'год', 'ребенок', 'дом', 'однако', 'ход', 'друг']	['старик', 'окно', 'сад', 'дверь', 'ребенок', 'утопленница', 'мать', 'внучка', 'девушка', 'смотреть']
n_topics_8	n_topic_3	['слепой', 'священник', 'юный', 'рука', 'колено', 'шаг', 'лист', 'шум', 'человек', 'ребенок']	['тшанц', 'берло', 'папка', 'машина', 'полицейский', 'убивать', 'управление', 'убийство', 'утро', 'комиссар']
n_topics_8	n_topic_4	['путешественник', 'португалец', 'остров', 'корабль', 'лузитан', 'правитель', 'саламандра', 'путь', 'берег', 'ребенок']	['слепой', 'священник', 'юный', 'лист', 'шаг', 'колено', 'рука', 'чей', 'приближаться', 'приют']
n_topics_8	n_topic_5	['дон', 'донна', 'человек', 'друг', 'ночь', 'рука', 'убивать', 'отец', 'узнавать', 'становиться']	['томаш', 'тереза', 'клиника', 'работать', 'франц', 'свобода', 'подписывать', 'сабина', 'чешский', 'деревня']
n_topics_8	n_topic_6	['ребенок', 'становиться', 'окно', 'мать', 'отец', 'старик', 'человек', 'дом', 'дверь', 'говорить']	['саламандра', 'капитан', 'человечество', 'жемчуг', 'подводный', 'существо', 'эксплуатация', 'начинать', 'научный', '’\n']
n_topics_8	n_topic_7	['человек', 'город', 'уленшпигель', 'становиться', 'узнавать', 'ребенок', 'любовь', 'время', 'предлагать', 'самый']	['город', 'илл', 'житель', 'клара', 'бургомистр', 'горожанин', 'миллион', 'барс', 'миллиард', 'городок']
n_topics_8	n_topic_8	['человек', 'становиться', 'дом', 'несколько', 'жизнь', 'некий', 'лицедейство', 'мать', 'прокурор', 'начинать']	['дон', 'донна', 'невеста', 'парк', 'родериго', 'геометрия', 'друг', 'входить', 'отец', 'спальня']
