		lda	nmf
n_topics_5	n_topic_1	['время', 'домовой', 'человек', 'замок', 'дом', 'жизнь', 'становиться', 'старый', 'ребенок', 'муж']	['жизнь', 'сын', 'человек', '   \n', 'фру', 'пастор', 'мать', 'год', 'отец', 'муж']
n_topics_5	n_topic_2	['ребенок', 'отец', 'человек', 'девочка', 'становиться', 'жизнь', 'жить', 'брат', 'дом', 'день']	['девочка', 'ребенок', 'пеппи', 'вилла', 'решать', 'лошадь', 'остров', 'школа', 'отправляться', 'дама']
n_topics_5	n_topic_3	['человек', 'жизнь', 'время', 'становиться', 'ребенок', 'дом', 'жить', 'сын', 'год', 'отец']	['брат', 'лебедь', 'рубашка', 'мачеха', 'король', 'крапива', 'одиннадцать', 'замок', 'утро', 'кладбище']
n_topics_5	n_topic_4	['русалочка', 'человек', 'жизнь', 'становиться', 'принц', 'время', 'сестра', 'ребенок', 'самый', 'дочь']	['русалочка', 'принц', 'русалка', 'корабль', 'рыбий', 'морской', 'дворец', 'хвост', 'ведьма', 'бессмертный']
n_topics_5	n_topic_5	['жизнь', 'человек', 'жить', 'время', 'мертвый', 'рука', 'понимать', 'умирать', 'очень', 'дом']	['граф', 'крестьянин', 'датчанин', 'голштинец', 'фру', 'усадьба', 'нильс', 'голштинский', 'оружие', 'меч']
n_topics_6	n_topic_1	['время', 'домовой', 'замок', 'человек', 'дом', 'старый', 'становиться', 'жизнь', 'ребенок', 'умирать']	['жизнь', 'сын', 'человек', '   \n', 'фру', 'мать', 'пастор', 'год', 'отец', 'ребенок']
n_topics_6	n_topic_2	['ребенок', 'человек', 'жизнь', 'становиться', 'отец', 'жить', 'брат', 'девочка', 'дом', 'понимать']	['девочка', 'ребенок', 'пеппи', 'вилла', 'решать', 'лошадь', 'остров', 'школа', 'отправляться', 'дама']
n_topics_6	n_topic_3	['человек', 'жизнь', 'время', 'становиться', 'ребенок', 'дом', 'жить', 'сын', 'год', 'друг']	['домовой', 'замок', 'привратник', 'башня', 'незримо', 'корона', 'сокровище', 'старый', 'песня', 'взяться']
n_topics_6	n_topic_4	['русалочка', 'принц', 'человек', 'становиться', 'жизнь', 'сестра', 'время', 'самый', 'душа', 'ребенок']	['глан', 'сторожка', 'эдвард', 'доктор', 'кузнец', 'поджигать', 'своевольный', 'охотничий', 'душа', 'девушка']
n_topics_6	n_topic_5	['жизнь', 'человек', 'жить', 'время', 'рука', 'мертвый', 'понимать', 'умирать', 'очень', 'дело']	['граф', 'крестьянин', 'датчанин', 'голштинец', 'фру', 'усадьба', 'нильс', 'голштинский', 'оружие', 'меч']
n_topics_6	n_topic_6	['жизнь', 'сын', 'фру', 'муж', 'отец', 'мать', 'ребенок', 'дом', 'время', 'смерть']	['русалочка', 'принц', 'русалка', 'корабль', 'рыбий', 'морской', 'дворец', 'хвост', 'ведьма', 'бессмертный']
n_topics_7	n_topic_1	['домовой', 'время', 'замок', 'человек', 'старый', 'дом', 'жизнь', 'становиться', 'умирать', 'муж']	['жизнь', 'сын', 'человек', 'фру', 'пастор', 'мать', 'год', 'муж', 'отец', 'ребенок']
n_topics_7	n_topic_2	['ребенок', 'девочка', 'жить', 'человек', 'становиться', 'брат', 'отец', 'дом', 'жизнь', 'день']	['девочка', 'ребенок', 'пеппи', 'вилла', 'решать', 'лошадь', 'остров', 'школа', 'отправляться', 'дама']
n_topics_7	n_topic_3	['человек', 'жизнь', 'время', 'становиться', 'ребенок', 'дом', 'жить', 'сын', 'год', 'отец']	['домовой', 'замок', 'привратник', 'башня', 'незримо', 'корона', 'сокровище', 'старый', 'песня', 'взяться']
n_topics_7	n_topic_4	['русалочка', 'принц', 'человек', 'становиться', 'жизнь', 'сестра', 'время', 'душа', 'самый', 'дочь']	['   \n', 'симон', 'уходить', 'дверь', 'особняк', 'томас', 'чердак', 'немец', 'говорить', 'пистолет']
n_topics_7	n_topic_5	['жизнь', 'человек', 'мертвый', 'жить', 'умирать', 'понимать', 'рука', 'очень', 'время', 'находить']	['глан', 'сторожка', 'эдвард', 'доктор', 'кузнец', 'поджигать', 'своевольный', 'охотничий', 'душа', 'девушка']
n_topics_7	n_topic_6	['жизнь', 'фру', 'сын', 'муж', 'отец', 'пастор', 'мать', 'дом', 'ребенок', 'смерть']	['‹ ›\n', 'кузина', 'кукарямб', 'кукарямба', 'кукарямбуоднажды', 'кукла', 'куколка', 'кулек', 'культ', 'культура']
n_topics_7	n_topic_7	['царь', 'становиться', 'время', '   \n', 'человек', 'любовь', 'жизнь', 'лишь', 'жить', 'происходить']	['граф', 'крестьянин', 'датчанин', 'голштинец', 'фру', 'усадьба', 'нильс', 'голштинский', 'оружие', 'гонец']
n_topics_8	n_topic_1	['домовой', 'время', 'замок', 'человек', 'старый', 'дом', 'жизнь', 'становиться', 'умирать', 'ребенок']	['жизнь', 'сын', 'человек', 'фру', 'пастор', 'мать', '   \n', 'год', 'муж', 'отец']
n_topics_8	n_topic_2	['ребенок', 'девочка', 'жить', 'человек', 'отец', 'становиться', 'брат', 'дом', 'жизнь', 'день']	['девочка', 'ребенок', 'пеппи', 'вилла', 'решать', 'лошадь', 'остров', 'школа', 'отправляться', 'дама']
n_topics_8	n_topic_3	['человек', 'жизнь', 'время', 'становиться', 'ребенок', 'дом', 'жить', 'сын', 'год', 'отец']	['брат', 'лебедь', 'рубашка', 'мачеха', 'король', 'крапива', 'одиннадцать', 'замок', 'утро', 'кладбище']
n_topics_8	n_topic_4	['русалочка', 'принц', 'человек', 'становиться', 'жизнь', 'сестра', 'время', 'душа', 'самый', 'дочь']	['маттис', 'вальдшнеп', 'озеро', 'мухомор', 'лодка', 'ветер', 'весло', 'птица', 'хотеть', 'осина']
n_topics_8	n_topic_5	['жизнь', 'человек', 'мертвый', 'жить', 'умирать', 'очень', 'понимать', 'рука', 'время', 'находить']	['царь', 'ирод', 'дворец', 'родственник', 'стараться', 'угождать', 'враг', 'народ', 'отвращение', 'жестокость']
n_topics_8	n_topic_6	['фру', 'жизнь', 'сын', 'муж', 'пастор', 'мать', 'отец', 'дом', 'ребенок', 'смерть']	['русалочка', 'принц', 'русалка', 'корабль', 'рыбий', 'морской', 'дворец', 'хвост', 'ведьма', 'бессмертный']
n_topics_8	n_topic_7	['царь', 'становиться', '   \n', 'время', 'человек', 'любовь', 'жизнь', 'лишь', 'жить', 'происходить']	['граф', 'крестьянин', 'датчанин', 'голштинец', 'фру', 'усадьба', 'нильс', 'голштинский', 'оружие', 'меч']
n_topics_8	n_topic_8	['решать', 'жизнь', 'человек', 'место', 'год', 'приходить', 'понимать', 'умирать', 'проходить', 'жить']	['пассажир', 'аниарец', 'мимороб', 'голдондер', 'пыль', 'планета', 'монолог', 'путешествие', 'век', 'человек']
n_topics_9	n_topic_1	['время', 'человек', 'жизнь', 'дом', 'становиться', 'умирать', 'домовой', 'год', 'муж', 'знать']	['жизнь', 'сын', 'человек', 'фру', 'пастор', '   \n', 'мать', 'год', 'отец', 'муж']
n_topics_9	n_topic_2	['человек', 'жизнь', 'отец', 'ребенок', 'становиться', 'жить', 'год', 'понимать', 'дело', 'дом']	['девочка', 'ребенок', 'пеппи', 'вилла', 'решать', 'лошадь', 'остров', 'школа', 'отправляться', 'дама']
n_topics_9	n_topic_3	['граф', 'человек', '   \n', 'становиться', 'сын', 'год', 'время', 'хотеть', 'жить', 'бог']	['ярл', 'раб', 'хакон', 'корона', 'битва', 'язычество', 'олаф', 'голова', 'старец', 'дружина']
n_topics_9	n_topic_4	['русалочка', 'человек', 'становиться', 'жизнь', 'сестра', 'время', 'принц', 'самый', 'душа', 'дочь']	['царь', 'ирод', 'дворец', 'родственник', 'стараться', 'угождать', 'враг', 'народ', 'отвращение', 'жестокость']
n_topics_9	n_topic_5	['жизнь', 'человек', 'жить', 'мертвый', 'рука', 'очень', 'время', 'умирать', 'понимать', 'знать']	['граф', 'крестьянин', 'датчанин', 'голштинец', 'фру', 'усадьба', 'нильс', 'голштинский', 'оружие', 'меч']
n_topics_9	n_topic_6	['жизнь', 'сын', 'муж', '   \n', 'смерть', 'фру', 'мать', 'отец', 'год', 'время']	['домовой', 'замок', 'привратник', 'башня', 'незримо', 'корона', 'сокровище', 'старый', 'песня', 'взяться']
n_topics_9	n_topic_7	['   \n', 'царь', 'становиться', 'время', 'любовь', 'человек', 'лишь', 'происходить', 'жизнь', 'далеко']	['староста', 'штафета', 'деревня', 'фохт', 'крестьянин', 'королева', 'местный', 'угге', 'эстафета', 'лес']
n_topics_9	n_topic_8	['жизнь', 'решать', 'человек', 'место', 'приходить', 'год', 'понимать', 'мысль', 'культура', 'умирать']	['жан', 'юлия', 'кухня', 'лакей', 'кристина', 'барыня', 'пусть', 'графский', 'кухарка', 'бежать']
n_topics_9	n_topic_9	['человек', 'жизнь', 'время', 'ребенок', 'становиться', 'дом', 'жить', 'друг', 'отец', 'сын']	['русалочка', 'принц', 'русалка', 'корабль', 'рыбий', 'морской', 'дворец', 'хвост', 'ведьма', 'бессмертный']
n_topics_10	n_topic_1	['время', 'домовой', 'человек', 'дом', 'становиться', 'жизнь', 'старый', 'умирать', 'знать', 'муж']	['человек', 'сын', 'жизнь', '   \n', 'год', 'время', 'мать', 'отец', 'ребенок', 'дом']
n_topics_10	n_topic_2	['человек', 'ребенок', 'становиться', 'жизнь', 'жить', 'отец', 'год', 'дом', 'дело', 'понимать']	['девочка', 'ребенок', 'пеппи', 'вилла', 'решать', 'лошадь', 'школа', 'остров', 'отправляться', 'дама']
n_topics_10	n_topic_3	['граф', 'человек', '   \n', 'становиться', 'сын', 'год', 'жить', 'отец', 'хотеть', 'крестьянин']	['ярл', 'раб', 'хакон', 'корона', 'битва', 'язычество', 'олаф', 'голова', 'старец', 'дружина']
n_topics_10	n_topic_4	['русалочка', 'становиться', 'человек', 'жизнь', 'сестра', 'время', 'принц', 'душа', 'самый', 'знать']	['пастор', 'фру', 'камергер', 'столяр', 'гостиная', 'приют', 'освальд', 'привидение', 'сын', 'мать']
n_topics_10	n_topic_5	['жизнь', 'человек', 'жить', 'мертвый', 'рука', 'умирать', 'очень', 'понимать', 'время', 'находить']	['граф', 'крестьянин', 'датчанин', 'фру', 'голштинец', 'усадьба', 'нильс', 'голштинский', 'оружие', 'гонец']
n_topics_10	n_topic_6	['сын', 'жизнь', 'муж', 'фру', 'смерть', 'мать', '   \n', 'отец', 'становиться', 'год']	['домовой', 'замок', 'привратник', 'башня', 'незримо', 'корона', 'сокровище', 'старый', 'песня', 'взяться']
n_topics_10	n_topic_7	['   \n', 'становиться', 'время', 'любовь', 'человек', 'царь', 'лишь', 'происходить', 'жить', 'смерть']	['староста', 'штафета', 'деревня', 'фохт', 'крестьянин', 'королева', 'местный', 'угге', 'эстафета', 'лес']
n_topics_10	n_topic_8	['решать', 'место', 'жизнь', 'человек', 'приходить', 'культура', 'необъяснимый', 'сочинение', 'год', 'купец']	['русалочка', 'принц', 'русалка', 'корабль', 'рыбий', 'морской', 'хвост', 'дворец', 'ведьма', 'бессмертный']
n_topics_10	n_topic_9	['человек', 'жизнь', 'время', 'ребенок', 'становиться', 'дом', 'жить', 'друг', 'сын', 'отец']	['мертвый', 'жизнь', 'тьма', 'старик', 'пятнышко', 'темнота', 'земной', 'сказать', 'старейшина', 'говорить']
n_topics_10	n_topic_10	['жизнь', 'время', 'отец', 'человек', 'дочь', 'понимать', 'год', 'жена', 'становиться', 'старик']	['клоун', 'синдикат', 'бенба', 'як', 'пакетик', 'секретарь', 'дядя', 'публика', 'бабушка', 'выступление']
n_topics_11	n_topic_1	['время', 'домовой', 'человек', 'дом', 'жизнь', 'умирать', 'старый', 'становиться', 'муж', 'знать']	['жизнь', 'сын', 'человек', 'фру', 'пастор', 'мать', 'год', 'дом', 'муж', 'отец']
n_topics_11	n_topic_2	['человек', 'ребенок', 'жизнь', 'жить', 'становиться', 'отец', 'год', 'дом', 'понимать', 'дело']	['девочка', 'ребенок', 'пеппи', 'вилла', 'решать', 'лошадь', 'остров', 'школа', 'отправляться', 'дама']
n_topics_11	n_topic_3	['граф', 'человек', '   \n', 'становиться', 'сын', 'год', 'хотеть', 'крестьянин', 'жить', 'время']	['домовой', 'замок', 'башня', 'привратник', 'незримо', 'сокровище', 'корона', 'старый', 'песня', 'взяться']
n_topics_11	n_topic_4	['русалочка', 'становиться', 'человек', 'жизнь', 'сестра', 'принц', 'время', 'душа', 'самый', 'знать']	['   \n', 'симон', 'уходить', 'дверь', 'особняк', 'томас', 'чердак', 'немец', 'говорить', 'пистолет']
n_topics_11	n_topic_5	['жизнь', 'человек', 'мертвый', 'жить', 'рука', 'умирать', 'очень', 'понимать', 'время', 'знать']	['граф', 'крестьянин', 'датчанин', 'голштинец', 'фру', 'усадьба', 'нильс', 'голштинский', 'оружие', 'меч']
n_topics_11	n_topic_6	['сын', 'жизнь', 'муж', 'фру', 'смерть', 'мать', 'становиться', 'отец', '   \n', 'год']	['староста', 'штафета', 'деревня', 'фохт', 'крестьянин', 'королева', 'местный', 'угге', 'эстафета', 'лес']
n_topics_11	n_topic_7	['царь', '   \n', 'становиться', 'любовь', 'время', 'человек', 'лишь', 'происходить', 'далеко', 'смерть']	['ротмистр', 'жена', 'ребенок', 'муж', 'отец', 'отцовство', 'лаура', 'теща', 'кормилица', 'женщина']
n_topics_11	n_topic_8	['решать', 'место', 'жизнь', 'приходить', 'человек', 'культура', 'необъяснимый', 'купец', 'сочинение', 'экономка']	['брат', 'лебедь', 'рубашка', 'мачеха', 'король', 'крапива', 'одиннадцать', 'замок', 'утро', 'кладбище']
n_topics_11	n_topic_9	['человек', 'жизнь', 'время', 'ребенок', 'становиться', 'дом', 'жить', 'друг', 'отец', 'сын']	['царь', 'ирод', 'дворец', 'родственник', 'стараться', 'угождать', 'враг', 'народ', 'отвращение', 'жестокость']
n_topics_11	n_topic_10	['жизнь', 'время', 'отец', 'человек', 'дочь', 'понимать', 'год', 'жена', 'становиться', 'старик']	['русалочка', 'принц', 'русалка', 'корабль', 'рыбий', 'морской', 'дворец', 'хвост', 'ведьма', 'бессмертный']
n_topics_11	n_topic_11	['становиться', 'человек', 'жизнь', 'новый', 'понимать', 'решать', 'отец', 'время', 'реклама', 'клоун']	['ярл', 'раб', 'хакон', 'корона', 'битва', 'язычество', 'олаф', 'голова', 'старец', 'дружина']
n_topics_12	n_topic_1	['домовой', 'время', 'человек', 'старый', 'дом', 'замок', 'умирать', 'становиться', 'муж', 'знать']	['жизнь', 'сын', 'человек', 'фру', 'пастор', 'мать', 'год', 'муж', 'отец', 'ребенок']
n_topics_12	n_topic_2	['человек', 'жизнь', 'отец', 'ребенок', 'жить', 'становиться', 'год', 'дело', 'понимать', 'дом']	['девочка', 'ребенок', 'пеппи', 'вилла', 'решать', 'лошадь', 'остров', 'школа', 'отправляться', 'дама']
n_topics_12	n_topic_3	['граф', 'человек', 'становиться', '   \n', 'сын', 'бог', 'отец', 'год', 'крестьянин', 'жить']	['ярл', 'раб', 'хакон', 'корона', 'битва', 'язычество', 'олаф', 'голова', 'старец', 'дружина']
n_topics_12	n_topic_4	['русалочка', 'становиться', 'человек', 'жизнь', 'сестра', 'знать', 'самый', 'время', 'принц', 'душа']	['   \n', 'симон', 'уходить', 'дверь', 'особняк', 'томас', 'чердак', 'немец', 'говорить', 'пистолет']
n_topics_12	n_topic_5	['жизнь', 'человек', 'жить', 'рука', 'очень', 'умирать', 'мертвый', 'понимать', 'находить', 'знать']	['староста', 'штафета', 'деревня', 'фохт', 'крестьянин', 'королева', 'местный', 'угге', 'эстафета', 'лес']
n_topics_12	n_topic_6	['жизнь', 'сын', 'муж', 'смерть', 'фру', '   \n', 'мать', 'год', 'любовь', 'становиться']	['граф', 'крестьянин', 'датчанин', 'голштинец', 'фру', 'усадьба', 'нильс', 'голштинский', 'оружие', 'меч']
n_topics_12	n_topic_7	['царь', '   \n', 'становиться', 'любовь', 'время', 'человек', 'лишь', 'далеко', 'происходить', 'приходить']	['брат', 'лебедь', 'рубашка', 'мачеха', 'король', 'крапива', 'одиннадцать', 'замок', 'утро', 'кладбище']
n_topics_12	n_topic_8	['решать', 'место', 'жизнь', 'культура', 'необъяснимый', 'сочинение', 'купец', 'экономка', 'приходить', 'человек']	['жан', 'юлия', 'кухня', 'лакей', 'кристина', 'барыня', 'пусть', 'кухарка', 'графский', 'бежать']
n_topics_12	n_topic_9	['человек', 'жизнь', 'время', 'ребенок', 'становиться', 'дом', 'жить', 'друг', 'отец', 'сын']	['королева', 'олень', 'осколок', 'ворона', 'зеркало', 'санки', 'разбойница', 'лед', 'роза', 'финка']
