		lda	nmf
n_topics_5	n_topic_1	['протопоп', 'человек', 'время', 'становиться', 'приходить', 'друг', 'отец', 'жизнь', 'год', 'жить']	['человек', 'жизнь', 'становиться', 'время', 'друг', 'отец', 'год', 'день', 'мать', 'говорить']
n_topics_5	n_topic_2	['человек', 'год', 'дом', 'друг', 'день', 'становиться', 'время', 'жизнь', 'приходить', 'идти']	['князь', 'княгиня', 'княжна', 'татарин', 'ибо', 'воин', 'письмо', 'змий', 'смерть', 'димитрий']
n_topics_5	n_topic_3	['время', 'человек', 'день', 'рысь', 'жизнь', 'становиться', 'друг', 'решать', 'ночь', 'год']	['мальчик', 'ребята', 'дед', 'отец', 'дядя', 'мама', 'мать', 'ленька', 'капитан', 'сережа']
n_topics_5	n_topic_4	['человек', 'время', 'становиться', 'жизнь', 'день', 'год', 'друг', 'отец', 'жить', 'приходить']	['немец', 'немецкий', 'дивизия', 'разведчик', 'бой', 'командир', 'лейтенант', 'рота', 'взвод', 'фронт']
n_topics_5	n_topic_5	['становиться', 'день', 'жизнь', 'год', 'человек', 'немец', 'время', 'идти', 'решать', 'рассказывать']	['рассказчик', 'стрекоза', 'пенсне', 'подробно', 'пес', 'читать', 'классный', 'охота', 'ручей', 'доктор']
n_topics_6	n_topic_1	['протопоп', 'человек', 'время', 'становиться', 'приходить', 'отец', 'друг', 'жизнь', 'видеть', 'хотеть']	['человек', 'жизнь', 'становиться', 'время', 'друг', 'отец', 'год', 'день', 'мать', 'сын']
n_topics_6	n_topic_2	['человек', 'год', 'дом', 'друг', 'день', 'время', 'становиться', 'жизнь', 'приходить', 'идти']	['князь', 'княгиня', 'княжна', 'татарин', 'ибо', 'воин', 'письмо', 'змий', 'смерть', 'димитрий']
n_topics_6	n_topic_3	['рысь', 'время', 'человек', 'день', 'жизнь', 'становиться', 'друг', 'решать', 'начинать', 'ночь']	['мальчик', 'ребята', 'дед', 'отец', 'дядя', 'мама', 'мать', 'ленька', 'капитан', 'сережа']
n_topics_6	n_topic_4	['человек', 'время', 'становиться', 'жизнь', 'день', 'год', 'друг', 'отец', 'жить', 'приходить']	['немец', 'немецкий', 'дивизия', 'разведчик', 'бой', 'командир', 'лейтенант', 'рота', 'взвод', 'фронт']
n_topics_6	n_topic_5	['день', 'становиться', 'жизнь', 'человек', 'немец', 'год', 'идти', 'время', 'хотеть', 'рассказывать']	['рассказчик', 'стрекоза', 'пенсне', 'подробно', 'пес', 'читать', 'классный', 'охота', 'ручей', 'доктор']
n_topics_6	n_topic_6	['время', 'год', 'становиться', 'друг', 'день', 'решать', 'жизнь', 'человек', 'ночь', 'первый']	['герой', 'автор', 'повесть', 'шоу', 'человек', 'наш', 'мельник', 'клуб', 'ветер', 'жеребец']
n_topics_7	n_topic_1	['протопоп', 'человек', 'время', 'становиться', 'отец', 'приходить', 'друг', 'жизнь', 'хотеть', 'говорить']	['человек', 'жизнь', 'становиться', 'время', 'отец', 'друг', 'год', 'день', 'мать', 'сын']
n_topics_7	n_topic_2	['человек', 'год', 'друг', 'дом', 'становиться', 'жизнь', 'день', 'время', 'приходить', 'идти']	['князь', 'княгиня', 'княжна', 'татарин', 'ибо', 'воин', 'письмо', 'змий', 'смерть', 'димитрий']
n_topics_7	n_topic_3	['время', 'человек', 'день', 'жизнь', 'становиться', 'друг', 'решать', 'говорить', 'год', 'начинать']	['мальчик', 'ребята', 'дед', 'отец', 'дядя', 'мама', 'мать', 'ленька', 'капитан', 'сережа']
n_topics_7	n_topic_4	['человек', 'время', 'становиться', 'жизнь', 'день', 'год', 'друг', 'отец', 'жить', 'приходить']	['немец', 'немецкий', 'дивизия', 'разведчик', 'бой', 'командир', 'лейтенант', 'рота', 'взвод', 'фронт']
n_topics_7	n_topic_5	['становиться', 'день', 'жизнь', 'немец', 'человек', 'год', 'идти', 'хотеть', 'время', 'брат']	['рассказчик', 'стрекоза', 'пенсне', 'подробно', 'пес', 'читать', 'классный', 'охота', 'ручей', 'доктор']
n_topics_7	n_topic_6	['становиться', 'год', 'время', 'друг', 'жизнь', 'день', 'решать', 'первый', 'человек', 'ночь']	['герой', 'автор', 'повесть', 'шоу', 'человек', 'наш', 'мельник', 'клуб', 'ветер', 'жеребец']
n_topics_7	n_topic_7	['князь', 'день', 'княжна', 'становиться', 'время', 'решать', 'мальчик', 'человек', 'жить', 'год']	['страна', 'король', 'подземный', 'путешественник', 'дровосек', 'житель', 'правитель', 'урфин', 'помощь', 'город']
n_topics_8	n_topic_1	['человек', 'время', 'приходить', 'отец', 'становиться', 'друг', 'жизнь', 'говорить', 'хотеть', 'протопоп']	['человек', 'жизнь', 'становиться', 'время', 'отец', 'друг', 'год', 'день', 'мать', 'сын']
n_topics_8	n_topic_2	['человек', 'друг', 'год', 'жизнь', 'дом', 'приходить', 'идти', 'становиться', 'говорить', 'мать']	['князь', 'княгиня', 'княжна', 'татарин', 'ибо', 'воин', 'письмо', 'змий', 'смерть', 'димитрий']
n_topics_8	n_topic_3	['человек', 'время', 'жизнь', 'день', 'становиться', 'друг', 'решать', 'рука', 'говорить', 'отец']	['мальчик', 'ребята', 'дед', 'отец', 'дядя', 'мама', 'мать', 'ленька', 'капитан', 'сережа']
n_topics_8	n_topic_4	['человек', 'время', 'жизнь', 'становиться', 'день', 'говорить', 'осетр', 'понимать', 'игнатьич', 'приходить']	['немец', 'немецкий', 'дивизия', 'разведчик', 'бой', 'командир', 'лейтенант', 'рота', 'взвод', 'фронт']
n_topics_8	n_topic_5	['становиться', 'жизнь', 'день', 'человек', 'брат', 'хотеть', 'рука', 'идти', 'год', 'говорить']	['рассказчик', 'стрекоза', 'пенсне', 'подробно', 'пес', 'читать', 'классный', 'охота', 'ручей', 'доктор']
n_topics_8	n_topic_6	['год', 'становиться', 'друг', 'время', 'мальчик', 'жизнь', 'первый', 'решать', 'человек', 'день']	['герой', 'автор', 'повесть', 'шоу', 'человек', 'наш', 'клуб', 'ветер', 'жеребец', 'роман']
n_topics_8	n_topic_7	['человек', 'время', 'день', 'страна', 'город', 'год', 'начинать', 'становиться', 'друг', 'решать']	['страна', 'король', 'подземный', 'путешественник', 'дровосек', 'житель', 'правитель', 'урфин', 'помощь', 'город']
