		lda	nmf
n_topics_5	n_topic_1	['человек', 'становиться', 'год', 'друг', 'отец', 'жизнь', 'время', 'жена', 'жить', 'молодой']	['человек', 'отец', 'жизнь', 'становиться', 'время', 'друг', 'сын', 'девушка', 'год', 'жена']
n_topics_5	n_topic_2	['человек', 'шпиль', 'время', 'становиться', 'отец', 'жена', 'друг', 'жизнь', 'джослиный', 'день']	['король', 'принц', 'королева', 'принцесса', 'герцог', 'рыцарь', 'граф', 'кардинал', 'войско', 'замок']
n_topics_5	n_topic_3	['жизнь', 'человек', 'жена', 'время', 'год', 'друг', 'сын', 'узнавать', 'девушка', 'день']	['дон', 'донья', 'слуга', 'шпага', 'король', 'поединок', 'косме', 'комната', 'жених', 'дверь']
n_topics_5	n_topic_4	['человек', 'становиться', 'время', 'жизнь', 'друг', 'полицай', 'хотеть', 'день', 'жена', 'говорить']	['де', 'госпожа', 'маркиз', 'маркиза', 'г', 'мадемуазель', 'шевалье', 'аббат', 'мелькур', 'граф']
n_topics_5	n_topic_5	['человек', 'время', 'становиться', 'жизнь', 'отец', 'друг', 'год', 'сын', 'девушка', 'узнавать']	['мистер', 'миссис', 'мисс', 'доктор', 'сэр', 'пуаро', 'леди', 'пастор', 'сестра', 'рисунок']
n_topics_6	n_topic_1	['человек', 'год', 'становиться', 'отец', 'друг', 'время', 'жизнь', 'жена', 'молодой', 'жить']	['человек', 'отец', 'жизнь', 'становиться', 'время', 'друг', 'сын', 'год', 'девушка', 'жена']
n_topics_6	n_topic_2	['человек', 'время', 'отец', 'становиться', 'друг', 'жена', 'жизнь', 'бллин', 'день', 'дом']	['король', 'принц', 'королева', 'принцесса', 'герцог', 'рыцарь', 'кардинал', 'войско', 'замок', 'королевский']
n_topics_6	n_topic_3	['человек', 'жизнь', 'жена', 'время', 'год', 'узнавать', 'друг', 'сын', 'девушка', 'становиться']	['дон', 'донья', 'слуга', 'шпага', 'король', 'поединок', 'косме', 'комната', 'жених', 'дверь']
n_topics_6	n_topic_4	['человек', 'становиться', 'время', 'жизнь', 'лирический', 'друг', 'день', 'хотеть', 'жена', 'дом']	['де', 'госпожа', 'маркиз', 'маркиза', 'г', 'мадемуазель', 'шевалье', 'аббат', 'мелькур', 'жюльен']
n_topics_6	n_topic_5	['человек', 'время', 'становиться', 'жизнь', 'отец', 'друг', 'год', 'сын', 'девушка', 'узнавать']	['мистер', 'миссис', 'мисс', 'доктор', 'сэр', 'пуаро', 'леди', 'пастор', 'сестра', 'рисунок']
n_topics_6	n_topic_6	['шпиль', 'джослиный', 'человек', 'становиться', 'жизнь', 'лишь', 'любовь', 'друг', 'время', 'жена']	['граф', 'графиня', 'принц', 'фигаро', 'кавалер', 'бартоло', 'консуэло', 'письмо', 'замок', 'доктор']
n_topics_7	n_topic_1	['человек', 'отец', 'год', 'становиться', 'друг', 'жизнь', 'время', 'жена', 'молодой', 'жить']	['человек', 'отец', 'жизнь', 'становиться', 'время', 'друг', 'сын', 'девушка', 'год', 'жена']
n_topics_7	n_topic_2	['человек', 'время', 'отец', 'становиться', 'жена', 'друг', 'бллин', 'день', 'жизнь', 'дом']	['король', 'принц', 'королева', 'принцесса', 'герцог', 'рыцарь', 'кардинал', 'войско', 'замок', 'королевский']
n_topics_7	n_topic_3	['жизнь', 'человек', 'жена', 'время', 'год', 'узнавать', 'девушка', 'сын', 'друг', 'дело']	['дон', 'донья', 'слуга', 'шпага', 'король', 'поединок', 'косме', 'комната', 'жених', 'дверь']
n_topics_7	n_topic_4	['человек', 'становиться', 'время', 'жизнь', 'день', 'друг', 'жена', 'хотеть', 'дом', 'молодой']	['де', 'госпожа', 'маркиз', 'маркиза', 'г', 'мадемуазель', 'шевалье', 'аббат', 'мелькур', 'жюльен']
n_topics_7	n_topic_5	['человек', 'время', 'становиться', 'жизнь', 'отец', 'друг', 'год', 'сын', 'девушка', 'узнавать']	['мистер', 'миссис', 'мисс', 'доктор', 'сэр', 'пуаро', 'леди', 'пастор', 'сестра', 'рисунок']
n_topics_7	n_topic_6	['шпиль', 'джослиный', 'человек', 'становиться', 'мопс', 'лирический', 'жизнь', 'троль', 'лишь', 'любовь']	['цезарь', 'император', 'народ', 'римский', 'царица', 'антиох', 'римлянин', 'дворец', 'бурра', 'трон']
n_topics_7	n_topic_7	['человек', 'время', 'становиться', 'друг', 'говорить', 'жизнь', 'жена', 'хотеть', 'король', 'шляпа']	['граф', 'графиня', 'принц', 'фигаро', 'кавалер', 'бартоло', 'консуэло', 'письмо', 'замок', 'доктор']
n_topics_8	n_topic_1	['человек', 'отец', 'год', 'становиться', 'друг', 'время', 'жизнь', 'жена', 'жить', 'молодой']	['человек', 'отец', 'жизнь', 'становиться', 'время', 'друг', 'сын', 'девушка', 'год', 'жена']
