texts/vampilov_utinaja_ohota.txt	Утиная охота	1971	Вампилов	1937–1972	Читается за 7 минут	2 ч	Е. А. Шкловский	123	Русская литература->Советская
texts/vampilov_proshlym_letom.txt	Прошлым летом в Чулимске	1971	Вампилов	1937–1972	Читается за 7 минут	2 ч	Е. А. Шкловский	123	Русская литература->Советская
texts/vampilov_proschanie_v_ijune.txt	Прощание в июне	1971	Вампилов	1937–1972	Читается за 7 минут	1,5 ч			Русская литература->Советская
texts/vasilev_a_zori_zdes_tihie.txt	А зори здесь тихие...	1969	Васильев	1924–2013	Читается за 6 минут	3 ч			Русская литература->Советская
texts/vasilev_ne_streliayte_v_belykh_lebedey.txt	Не стреляйте в белых лебедей	1969	Васильев	1924–2013	Читается за 15 минут	6 ч			Русская литература->Советская
texts/vasilev_v_spiskah_ne_znachilsja.txt	В списках не значился	1969	Васильев	1924–2013	Читается за 13 минут	6 ч			Русская литература->Советская
texts/vasserman_kaspar_hauzer_ili_lenost_serdca.txt	Каспар Хаузер		Вассерман	1873–1934	Читается за 9 минут		Я. В. Никитин	233	Европейская литература->Немецкая
texts/vega_sobaka_na_sene.txt	Собака на сене	1619	Вега	1562–1635	Читается за 9 минут	2 ч			Европейская литература->Испанская
texts/vega_fuente_ovehuna.txt	Фуэнте Овехуна	1619	Вега	1562–1635	Читается за 8 минут	1,5 ч			Европейская литература->Испанская
texts/vega_durochka.txt	Дурочка	1619	Вега	1562–1635	Читается за 9 минут	2 ч			Европейская литература->Испанская
texts/veltman_strannik.txt	Странник		Вельтман	1800–1870	Читается за 4 минуты	6 ч			Русская литература->19 век
texts/veras_istorija_sevarambov.txt	История севарамбов		Верас	1630–1700	Читается за 9 минут	6 ч			Европейская литература->Французская
texts/vergilij_eneida.txt	Энеида		Вергилий	70−19 до н. э.	Читается за 15 минут	9 ч	М. Л. Гаспаров	gasparov	Античная литература->Древнеримская
texts/veresaev_v_tupike.txt	В тупике		Вересаев	1867–1945	Читается за 7 минут	6 ч	И. Г. Животовский	zhivotovsky	Русская литература->19 век
texts/vern_deti_kapitana_granta.txt	Дети капитана Гранта	1870	Верн	1828–1905	Читается за 12 минут	16 ч			Европейская литература->Французская
texts/vern_pjatnadcatiletnij_kapitan.txt	Пятнадцатилетний капитан	1870	Верн	1828–1905	Читается за 10 минут	10 ч			Европейская литература->Французская
texts/vern_20000_le_pod_vodoy.txt	Двадцать тысяч льё под водой	1870	Верн	1828–1905	Читается за 15 минут	12 ч			Европейская литература->Французская
texts/vern_tainstvennyj_ostrov.txt	Таинственный остров	1870	Верн	1828–1905	Читается за 10 минут	16 ч			Европейская литература->Французская
texts/vesos_pticy.txt	Птицы		Весос	1897–1970	Читается за 12 минут	4 ч	В. К. Мяэотс	98	Скандинавская литература->Норвежская
texts/vian_pena_dnej.txt	Пена дней		Виан	1920–1959	Читается за 8 минут	4,5 ч			Европейская литература->Французская
texts/viland_istorija_abderitov.txt	История абдеритов		Виланд	1733–1813	Читается за 7 минут	12 ч			Европейская литература->Немецкая
texts/viland_agaton.txt	Агатон, или Картина философическая нравов и обычаев греческих		Виланд	1733–1813	Читается за 7 минут				Европейская литература->Немецкая
texts/vini_sen-mar.txt	Сен-Мар, или Заговор во времена Людовика XIII		Виньи	1797–1863	Читается за 9 минут				Европейская литература->Французская
texts/rizwan_biznes_v_poze_lotosa.txt	Бизнес в позе лотоса: как совместить работу и духовный поиск		Вирк		Читается за 11 минут	9 ч	Сергей Багузин	260	Американская литература->США
texts/vishakhadatta_persten_rakshasy.txt	Перстень Ракшасы		Вишакхадатта	V–VI вв.	Читается за 3 минуты		П. А. Гринцер	grincer	Прочая литература->Индийская
texts/vladimov_vernyj_ruslan.txt	Верный Руслан		Владимов	1931–2003	Читается за 8 минут	4 ч	С. П. Костырко	kostyrko	Русская литература->Советская
texts/vladimov_bolshaja_ruda.txt	Большая руда		Владимов	1931–2003	Читается за 6 минут	3 ч	С. П. Костырко	kostyrko	Русская литература->Советская
texts/vladimov_tri_minuty_molchanija.txt	Три минуты молчания		Владимов	1931–2003	Читается за 8 минут	10 ч	С. П. Костырко	kostyrko	Русская литература->Советская
texts/vo_prigorshnja_praha.txt	Пригоршня праха		Во	1903–1966	Читается за 8 минут	6 ч			Европейская литература->Британская
texts/vo_vozvracshenie_v_brajdshed.txt	Возвращение в Брайдсхед		Во	1903–1966	Читается за 10 минут	10 ч			Европейская литература->Британская
texts/vo_nezabvennaja.txt	Незабвенная		Во	1903–1966	Читается за 6 минут	3 ч			Европейская литература->Британская
texts/vovenarg_razmyshlenija_i_maksimy.txt	Размышления и максимы		Вовенарг	1715–1747	Читается за 8 минут	8 ч	А. В. Скобелкин	49	Европейская литература->Французская
texts/vovenarg_vvedenie_v_poznanie_chelovecheskogo_razuma.txt	Введение в познание человеческого разума		Вовенарг	1715–1747	Читается за 9 минут		А. В. Скобелкин	49	Европейская литература->Французская
texts/voznesenskij_avos.txt	Авось!		Вознесенский	1933–2010	Читается за 6 минут	12 мин			Русская литература->Современная
texts/voynich_ovod.txt	Овод		Войнич	1864–1960	Читается за 7 минут				Европейская литература->Британская
texts/vojnovich_moskva_2042.txt	Москва 2042	1967	Войнович	род. 1932	Читается за 7 минут	11 ч			Русская литература->Современная
texts/vojnovich_chonkin.txt	Жизнь и необычайные приключения солдата Ивана Чонкина	1967	Войнович	род. 1932	Читается за 10 минут	7 ч	С. П. Костырко	kostyrko	Русская литература->Современная
texts/vojnovich_dva_tovaricsha.txt	Два товарища	1967	Войнович	род. 1932	Читается за 6 минут	11 ч			Русская литература->Современная
texts/volkov_volshebnik_izumrudnogo_goroda.txt	Волшебник Изумрудного города	1939	Волков	1891–1977	Читается за 10 минут	2,5 ч			Русская литература->Советская
texts/volkov_sem_podzemnykh_koroley.txt	Семь подземных королей	1939	Волков	1891–1977	Читается за 8 минут	3,5 ч			Русская литература->Советская
texts/volkov_urfin_dzhius.txt	Урфин Джюс и его деревянные солдаты	1939	Волков	1891–1977	Читается за 8 минут	4 ч			Русская литература->Советская
texts/volkov_zheltyy_tuman.txt	Жёлтый Туман	1939	Волков	1891–1977	Читается за 5 минут	4 ч			Русская литература->Советская
texts/volkov_tayna_zabroshennogo_zamka.txt	Тайна заброшенного замка	1939	Волков	1891–1977	Читается за 5 минут	3,5 ч			Русская литература->Советская
texts/volkov_ognennyy_bog_marranov.txt	Огненный бог Марранов	1939	Волков	1891–1977	Читается за 9 минут	4 ч			Русская литература->Советская
texts/volodin_pjat_vecherov.txt	Пять вечеров		Володин	1919–2001	Читается за 5 минут	1,5 ч			Русская литература->Советская
texts/volodin_starshaja_sestra.txt	Старшая сестра		Володин	1919–2001	Читается за 5 минут	55 мин			Русская литература->Советская
texts/volter_kandid.txt	Кандид, или оптимизм	1748	Вольтер	1694–1778	Читается за 9 минут	3 ч			Европейская литература->Французская
texts/volter_prostodushnyj.txt	Простодушный	1748	Вольтер	1694–1778	Читается за 9 минут	2,5 ч			Европейская литература->Французская
texts/volter_orleanskaja_devstvennica.txt	Орлеанская девственница	1748	Вольтер	1694–1778	Читается за 11 минут	4,5 ч			Европейская литература->Французская
texts/volter_zadig_ili_sudba.txt	Задиг, или Судьба	1748	Вольтер	1694–1778	Читается за 7 минут	2,5 ч			Европейская литература->Французская
texts/volter_fanatizm_ili_prorok_magomet.txt	Фанатизм, или Пророк Магомет	1748	Вольтер	1694–1778	Читается за 9 минут				Европейская литература->Французская
texts/volter_mikromegas.txt	Микромегас	1748	Вольтер	1694–1778	Читается за 7 минут	40 мин			Европейская литература->Французская
texts/volf_raskolotoe_nebo.txt	Расколотое небо		Вольф	1929–2011	Читается за 9 минут				Европейская литература->Немецкая
texts/vonnegut_bojnja_nomer_pjat_ili_krestovyj_pohod_detej.txt	Бойня номер пять, или Крестовый поход детей	1969	Воннегут	1922–2007	Читается за 8 минут	4 ч	С. Б. Белов	belov	Американская литература->США
texts/vonnegut_kolybel_dlja_koshki.txt	Колыбель для кошки	1969	Воннегут	1922–2007	Читается за 7 минут	4,5 ч	С. Б. Белов	belov	Американская литература->США
texts/vorobiev_ubity_pod_moskvoj.txt	Убиты под Москвой	1965	Воробьёв	1919–1975	Читается за 3 минуты	2 ч	Л. И. Соболев	154	Русская литература->Советская
texts/vorobiev_eto_my_gospodi.txt	Это мы, Господи!	1965	Воробьёв	1919–1975	Читается за 6 минут	2,5 ч			Русская литература->Советская
texts/vorobiev_tyotka_egoriha.txt	Тётка Егориха	1965	Воробьёв	1919–1975	Читается за 6 минут				Русская литература->Советская
texts/vudhauz_kodeks_vusterov.txt	Кодекс Вустеров		Вудхауз	1881–1975	Читается за 12 минут		А. П. Шишкин	shishkin	Европейская литература->Британская
texts/vulf_vzgljani_na_dom_svoj_angel.txt	Взгляни на дом свой, ангел		Вулф_1	1900–1938	Читается за 8 минут	18 ч			Американская литература->США
texts/virg-vulf_missis_deldouej.txt	Миссис Дэллоуэй	1925	Вулф_2	1882–1941	Читается за 9 минут	5 ч			Европейская литература->Британская
texts/virg-vulf_na_majak.txt	На маяк	1925	Вулф_2	1882–1941	Читается за 3 минуты	5 ч			Европейская литература->Британская
texts/gazdanov_vecher_u_kler.txt	Вечер у Клэр		Газданов	1903–1971	Читается за 5 минут	4,5 ч			Русская литература->Советская
texts/gazdanov_prizrak_aleksandra_volfa.txt	Призрак Александра Вольфа		Газданов	1903–1971	Читается за 7 минут	3,5 ч			Русская литература->Советская
texts/gajdar_timur_i_ego_komanda.txt	Тимур и его команда	1935	Гайдар	1904–1941	Читается за 5 минут	2 ч			Русская литература->Советская
texts/gajdar_golubaia_chashka.txt	Голубая чашка	1935	Гайдар	1904–1941	Читается за 3 минуты	40 мин			Русская литература->Советская
texts/gajdar_voennaia_tayna.txt	Военная тайна	1935	Гайдар	1904–1941	Читается за 7 минут	3 ч			Русская литература->Советская
texts/gajdar_rvs.txt	Р. В. С.	1935	Гайдар	1904–1941	Читается за 4 минуты	55 мин			Русская литература->Советская
texts/gamilton_memuary_grafa_de_gramona.txt	Мемуары графа де Грамона		Гамильтон	1646–1720	Читается за 9 минут				Европейская литература->Французская
texts/gamsun_pan.txt	Пан	1898	Гамсун	1859–1952	Читается за 6 минут	2,5 ч			Скандинавская литература->Норвежская
texts/gamsun_golod.txt	Голод	1898	Гамсун	1859–1952	Читается за 6 минут	4,5 ч			Скандинавская литература->Норвежская
texts/gamsun_viktorija.txt	Виктория	1898	Гамсун	1859–1952	Читается за 8 минут	2,5 ч			Скандинавская литература->Норвежская
texts/maoqing_schaste_molodoy_pary.txt	В лазорево-пурпурном краю счастливо соединяется молодая пара		Гао	XIII в.	Читается за 3 минуты		В. Ф. Сорокин	sorokin	Прочая литература->Китайская
texts/gar_semja_tibo.txt	Семья Тибо		Гар	1881–1958	Читается за 8 минут				Европейская литература->Французская
texts/hardy_tess_iz_roda_derbervillej.txt	Тэсс из рода д’Эрбервиллей		Гарди	1840–1928	Читается за 11 минут	13 ч			Европейская литература->Британская
texts/gardner_osennij_svet.txt	Осенний свет		Гарднер	1933–1982	Читается за 8 минут	13 ч	А. П. Шишкин	shishkin	Американская литература->США
texts/gari_koroli_neba.txt	Корни неба		Гари	1914–1980	Читается за 7 минут	12 ч			Европейская литература->Французская
texts/garin-mihajlovskij_detstvo_temy.txt	Детство Тёмы	1895	Гарин-Михайловский	1852–1906	Читается за 6 минут	3,5 ч			Русская литература->19 век
texts/garin-mihajlovskij_gimnazisty.txt	Гимназисты	1895	Гарин-Михайловский	1852–1906	Читается за 6 минут	8 ч			Русская литература->19 век
texts/garin-mihajlovskij_inzhenery.txt	Инженеры	1895	Гарин-Михайловский	1852–1906	Читается за 5 минут	7 ч			Русская литература->19 век
texts/garin-mihajlovskij_studenty.txt	Студенты	1895	Гарин-Михайловский	1852–1906	Читается за 7 минут	6 ч			Русская литература->19 век
texts/lorka_krovavaja_svadba.txt	Кровавая свадьба		Гарсиа Лорка	1898–1936	Читается за 10 минут	55 мин			Европейская литература->Испанская
texts/gart_gabriel_konroj.txt	Габриел Конрой		Гарт	1836–1902	Читается за 13 минут	13 ч			Американская литература->США
texts/garshin_krasnyj_cvetok.txt	Красный цветок		Гаршин	1855–1888	Читается за 3 минуты	30 мин			Русская литература->19 век
texts/garshin_signal.txt	Сигнал		Гаршин	1855–1888	Читается за 4 минуты	14 мин			Русская литература->19 век
texts/garshin_hudozhniki.txt	Художники		Гаршин	1855–1888	Читается за 4 минуты	30 мин			Русская литература->19 век
texts/gauptman_tkachi.txt	Ткачи	1889	Гауптман	1862–1946	Читается за 7 минут				Европейская литература->Немецкая
texts/gauptman_pered_zahodom_solnca.txt	Перед заходом солнца	1889	Гауптман	1862–1946	Читается за 7 минут	3 ч			Европейская литература->Немецкая
texts/gauptman_potonuvshij_kolokol.txt	Потонувший колокол	1889	Гауптман	1862–1946	Читается за 8 минут				Европейская литература->Немецкая
texts/gauptman_pered_voshodom_solnca.txt	Перед восходом солнца	1889	Гауптман	1862–1946	Читается за 8 минут				Европейская литература->Немецкая
texts/gauf_xolodnoe_serdtse.txt	Холодное сердце	1827	Гауф	1802–1827	Читается за 3 минуты	1,5 ч			Европейская литература->Немецкая
texts/gauf_malenkiy_muk.txt	Маленький Мук	1827	Гауф	1802–1827	Читается за 5 минут	30 мин			Европейская литература->Немецкая
texts/gauf_aleksandrijskij_shejx_ali-banu_i_ego_nevolniki.txt	Александрийский шейх Али-Бану и его невольники	1827	Гауф	1802–1827	Читается за 5 минут	2,5 ч			Европейская литература->Немецкая
texts/gashek_pohozhdenija_bravogo_soldata_shveika.txt	Похождения бравого солдата Швейка		Гашек	1883–1923	Читается за 11 минут	20 ч			Прочая европейская литература->Чешская
texts/gej_opera_nicshego.txt	Опера нищего		Гей	1685–1732	Читается за 13 минут				Европейская литература->Британская
texts/gejm_agasfer.txt	Агасфер		Гейм	1913–2001	Читается за 9 минут	7 ч	В. В. Рынкевич	rynkevich	Европейская литература->Немецкая
texts/gejne_germanija_zimnjaja_skazka.txt	Германия. Зимняя сказка		Гейне	1797–1856	Читается за 6 минут	3,5 ч			Европейская литература->Немецкая
texts/gejne_atta_trol.txt	Атта Троль		Гейне	1797–1856	Читается за 5 минут				Европейская литература->Немецкая
texts/geliodor_efiopika.txt	Эфиопика		Гелиодор	III–IV вв.	Читается за 9 минут	9 ч	Ю. В. Шанин	226	Античная литература->Древнегреческая
texts/gelderlin_giperion.txt	Гиперион, или Отшельник в Греции		Гёльдерлин	1770–1843	Читается за 5 минут				Европейская литература->Немецкая
texts/gelderlin_smert_empedokla.txt	Смерть Эмпедокла		Гёльдерлин	1770–1843	Читается за 5 минут				Европейская литература->Немецкая
texts/genri_dary_volkhvov.txt	Дары волхвов	1906	Генри	1862–1910	Читается за 2 минуты	10 мин			Американская литература->США
texts/genri_poslednij_list.txt	Последний лист	1906	Генри	1862–1910	Читается за 2 минуты	11 мин	С. Б. Белов	belov	Американская литература->США
texts/genri_vozhd_krasnokozhih.txt	Вождь краснокожих	1906	Генри	1862–1910	Читается за 4 минуты	25 мин	С. Б. Белов	belov	Американская литература->США
texts/genri_zelenaia_dver.txt	Зелёная дверь	1906	Генри	1862–1910	Читается за 3 минуты	14 мин			Американская литература->США
texts/genri_obracshenie_dzhimmi_valentajna.txt	Обращение Джимми Валентайна	1906	Генри	1862–1910	Читается за 3 минуты	14 мин	С. Б. Белов	belov	Американская литература->США
texts/gerber_malyy_biznes_ot_illiuziy_k_uspekhu.txt	Малый бизнес: от иллюзий к успеху. Возвращение к мифу предпринимательства		Гербер	род. 1936	Читается за 15 минут				Американская литература->США
texts/gercen_kto_vinovat.txt	Кто виноват?	1868	Герцен	1812–1870	Читается за 8 минут	7 ч			Русская литература->19 век
texts/gercen_soroka-vorovka.txt	Сорока-воровка	1868	Герцен	1812–1870	Читается за 4 минуты	40 мин			Русская литература->19 век
texts/gercen_byloe_i_dumy.txt	Былое и думы	1868	Герцен	1812–1870	Читается за 11 минут	19 ч			Русская литература->19 век
texts/gesiod_teogonija_ili_o_proisxozhdenii_bogov.txt	Теогония, или О происхождении богов		Гесиод	VIII−VII вв. до н. э.	Читается за 9 минут		М. Л. Гаспаров	gasparov	Античная литература->Древнегреческая
texts/gesse_stepnoj_volk.txt	Степной волк	1943	Гессе	1877–1962	Читается за 6 минут	6 ч	А. П. Шишкин	shishkin	Европейская литература->Немецкая
texts/gesse_igra_v_biser.txt	Игра в бисер	1943	Гессе	1877–1962	Читается за 8 минут	17 ч	А. П. Шишкин	shishkin	Европейская литература->Немецкая
texts/gete_faust.txt	Фауст	1797	Гёте	1749–1832	Читается за 20 минут	6 ч			Европейская литература->Немецкая
texts/gete_stradanija_molodogo_vertera.txt	Страдания юного Вертера	1797	Гёте	1749–1832	Читается за 7 минут	3,5 ч			Европейская литература->Немецкая
texts/gete_egmont.txt	Эгмонт	1797	Гёте	1749–1832	Читается за 7 минут				Европейская литература->Немецкая
texts/gijerag_portugalskie_pisma.txt	Португальские письма		Гийераг	1629–1685	Читается за 10 минут				Европейская литература->Французская
texts/guillebeau_startap_za_100.txt	Стартап за 100$: создай новое будущее, делая то, что ты любишь		Гильбо	род. 1978	Читается за 13 минут	7 ч			Американская литература->США
texts/gladuell_ozarenie.txt	Сила мгновенных решений: интуиция как навык		Гладуэлл	род. 1963	Читается за 9 минут	6 ч			Американская литература->США
texts/glukhovskiy_metro_2033.txt	Метро 2033		Глуховский	род. 1979	Читается за 20 минут	17 ч			Русская литература->Современная
texts/gogol_revizor.txt	Ревизор	1830	Гоголь	1809–1852	Читается за 10 минут	2 ч			Русская литература->19 век
texts/gogol_mirgorod.txt	Миргород</h3></a><div class=w-desc>Сборник из четырёх повестей, основанных на украинском фольклоре, позицио­нируется как продолжение «Вечеров на хуторе близ Диканьки».	1830	Гоголь	1809–1852	Читается за 6 минут				Русская литература->19 век
texts/godvin_kaleb_viljamc.txt	Калеб Уильямс		Годвин	1756–1836	Читается за 11 минут	12 ч	В. В. Рынкевич	rynkevich	Европейская литература->Британская
texts/godin_lider_est_v_kazhdom.txt	Лидер есть в каждом: племена в эпоху социальных сетей	2008	Годин	род. 1960	Читается за 10 минут				Американская литература->США
texts/godin_fioletovaia_korova.txt	Фиолетовая корова: сделайте свой бизнес выдающимся!	2008	Годин	род. 1960	Читается за 8 минут	3,5 ч			Американская литература->США
texts/gojtisolo_osobye_primety.txt	Особые приметы		Гойтисоло	1931–2017	Читается за 7 минут	13 ч			Европейская литература->Испанская
texts/golding_povelitel_muh.txt	Повелитель мух	1954	Голдинг	1911–1993	Читается за 8 минут	4,5 ч			Европейская литература->Британская
texts/golding_shpil.txt	Шпиль	1954	Голдинг	1911–1993	Читается за 9 минут	4,5 ч			Европейская литература->Британская
texts/goldsmit_vekfildskij_svjacshennik.txt	Векфильдский священник		Голдсмит	1728–1774	Читается за 9 минут	6 ч			Европейская литература->Британская
texts/golsuorsi_saga_o_forsajtah.txt	Сага о Форсайтах		Голсуорси	1867–1933	Читается за 15 минут	48 ч			Европейская литература->Британская
texts/goldoni_sluga_dvuh_gospod.txt	Слуга двух господ		Гольдони	1707–1793	Читается за 9 минут	1,5 ч	Д. А. Карельский	karelsky	Европейская литература->Итальянская
texts/goldoni_traktircshica.txt	Трактирщица		Гольдони	1707–1793	Читается за 11 минут	2 ч	Д. А. Карельский	karelsky	Европейская литература->Итальянская
texts/goldoni_kodzhinskie_perepalki.txt	Кьоджинские перепалки		Гольдони	1707–1793	Читается за 10 минут	1,5 ч	Д. А. Карельский	karelsky	Европейская литература->Итальянская
texts/goldoni_semja_antikvarija_ili_svekrov_i_nevestka.txt	Семья антиквария, или Свекровь и невестка		Гольдони	1707–1793	Читается за 10 минут		Д. А. Карельский	karelsky	Европейская литература->Итальянская
texts/goldoni_feodal.txt	Феодал		Гольдони	1707–1793	Читается за 9 минут	1,5 ч	Д. А. Карельский	karelsky	Европейская литература->Итальянская
texts/gomer_iliada.txt	Илиада		Гомер	IX−VIII вв. до н. э.	Читается за 12 минут	13 ч	М. Л. Гаспаров	gasparov	Античная литература->Древнегреческая
texts/gomer_odisseja.txt	Одиссея		Гомер	IX−VIII вв. до н. э.	Читается за 20 минут	11 ч	М. Л. Гаспаров	gasparov	Античная литература->Древнегреческая
texts/gongora-i-argote_polifem_i_galateja.txt	Полифем и Галатея		Гонгора	1561–1627	Читается за 5 минут				Европейская литература->Испанская
texts/gonkur_zhermini_laserte.txt	Жермини Ласерте		Гонкур	XIX в.	Читается за 10 минут				Европейская литература->Французская
texts/goncharov_oblomov.txt	Обломов	1872	Гончаров	1812–1891	Читается за 10 минут	13 ч			Русская литература->19 век
texts/goncharov_milon_terzaniy.txt	Мильон терзаний	1872	Гончаров	1812–1891	Читается за 8 минут	1 ч			Русская литература->19 век
texts/goncharov_obyknovennaja_istorija.txt	Обыкновенная история	1872	Гончаров	1812–1891	Читается за 11 минут	9 ч			Русская литература->19 век
texts/goncharov_obryv.txt	Обрыв	1872	Гончаров	1812–1891	Читается за 15 минут	20 ч			Русская литература->19 век
texts/gorenshtejn_psalom.txt	Псалом		Горенштейн	1932–2002	Читается за 10 минут	10 ч	Л. А. Данилкин	151	Русская литература->Современная
texts/gorkii_na_dne.txt	На дне	1914	Горький	1868–1936	Читается за 15 минут	1,5 ч			Русская литература->Советская
texts/gorkii_staruha_izergil.txt	Старуха Изергиль	1914	Горький	1868–1936	Читается за 7 минут	35 мин			Русская литература->Советская
texts/gorkii_makar_chudra.txt	Макар Чудра	1914	Горький	1868–1936	Читается за 5 минут	20 мин			Русская литература->Советская
texts/gorkii_chelkash.txt	Челкаш	1914	Горький	1868–1936	Читается за 8 минут	50 мин			Русская литература->Советская
texts/gotorn_alaja_bukva.txt	Алая буква		Готорн	1804–1864	Читается за 13 минут	15 ч			Американская литература->США
texts/gotorn_dom_o_semi_frontonah.txt	Дом о семи фронтонах		Готорн	1804–1864	Читается за 13 минут				Американская литература->США
texts/gote_kapitan_frakass.txt	Капитан Фракасс		Готье	1811–1872	Читается за 10 минут	15 ч			Европейская литература->Французская
texts/goulman_emotcionalnyy_intellekt.txt	Эмоциональный интеллект: почему он может значить больше, чем IQ		Гоулман	род. 1946	Читается за 12 минут	13 ч			Американская литература->США
texts/gofman_schelkunchik_i_myshinyj_korol.txt	Щелкунчик и мышиный король	1821	Гофман	1776–1822	Читается за 5 минут	2,5 ч			Европейская литература->Немецкая
texts/gofman_kroshka_cahes_po_prozvaniju_cinnober.txt	Крошка Цахес, по прозванию Циннобер	1821	Гофман	1776–1822	Читается за 5 минут	3,5 ч	Д. Л. Быков	bykov	Европейская литература->Немецкая
texts/gofman_zolotoj_gorshok.txt	Золотой горшок	1821	Гофман	1776–1822	Читается за 12 минут	2,5 ч	М. К. Поздняев	165	Европейская литература->Немецкая
texts/gocci_turandot.txt	Турандот		Гоцци	1720–1806	Читается за 9 минут	2 ч	Д. А. Карельский	karelsky	Европейская литература->Итальянская
texts/gocci_ljubov_k_trem_apelsinam.txt	Любовь к трём апельсинам		Гоцци	1720–1806	Читается за 8 минут	50 мин	Д. А. Карельский	karelsky	Европейская литература->Итальянская
texts/gocci_korol-olen.txt	Король-олень		Гоцци	1720–1806	Читается за 9 минут	1,5 ч	Д. А. Карельский	karelsky	Европейская литература->Итальянская
texts/gocci_voron.txt	Ворон		Гоцци	1720–1806	Читается за 8 минут	1,5 ч	Д. А. Карельский	karelsky	Европейская литература->Итальянская
texts/gocci_zelenaja_ptichka.txt	Зелёная птичка		Гоцци	1720–1806	Читается за 9 минут	2 ч	Д. А. Карельский	karelsky	Европейская литература->Итальянская
texts/granin_idu_na_grozu.txt	Иду на грозу		Гранин	1919–2017	Читается за 8 минут	10 ч			Русская литература->Советская
texts/grasian-i-morales_kritikon.txt	Критикон		Грасиан	1601–1658	Читается за 11 минут	25 ч			Европейская литература->Испанская
texts/grasian-i-morales_karmannyj_orakul_ili_nauka_blagorazumija.txt	Карманный оракул, или Наука благоразумия		Грасиан	1601–1658	Читается за 9 минут				Европейская литература->Испанская
texts/grass_zhestjanoj_baraban.txt	Жестяной барабан		Грасс	1927–2015	Читается за 10 минут	20 ч			Европейская литература->Немецкая
texts/grekova_bez_ulybok.txt	Без улыбок	1975	Грекова	1907–2002	Читается за 4 минуты	55 мин	Юрий Зеликсон	239	Русская литература->Советская
texts/grekova_damskij_master.txt	Дамский мастер	1975	Грекова	1907–2002	Читается за 6 минут	1,5 ч			Русская литература->Советская
texts/grekova_na_ispytanijah.txt	На испытаниях	1975	Грекова	1907–2002	Читается за 5 минут	4 ч			Русская литература->Советская
texts/griboedov_gore_ot_uma.txt	Горе от ума		Грибоедов	1795–1829	Читается за 8 минут	1,5 ч	В. П. Мещеряков	104	Русская литература->19 век
texts/grigorovich_guttaperchevyj_malchik.txt	Гуттаперчевый мальчик	1847	Григорович	1822–1899	Читается за 5 минут	1,5 ч	В. П. Мещеряков	104	Русская литература->19 век
texts/grigorovich_anton-goremyka.txt	Антон-Горемыка	1847	Григорович	1822–1899	Читается за 6 минут	3 ч	В. П. Мещеряков	104	Русская литература->19 век
texts/grilparcer_velichie_i_padenie_korolja_ottokara.txt	Величие и падение короля Оттокара		Грильпарцер	1791–1872	Читается за 8 минут	2 ч			Европейская литература->Австрийская
texts/grilparcer_safo.txt	Сафо		Грильпарцер	1791–1872	Читается за 8 минут	1,5 ч			Европейская литература->Австрийская
texts/grilparcer_son-zhizn.txt	Сон — жизнь		Грильпарцер	1791–1872	Читается за 8 минут	1,5 ч			Европейская литература->Австрийская
texts/grimmelsgauzen_simplicissimus.txt	Симплициссимус		Гриммельсгаузен	1622–1676	Читается за 9 минут	25 ч			Европейская литература->Немецкая
texts/dzhon_grin_vinovaty_zvezdy.txt	Виноваты звёзды	2014	Грин_1	род. 1977	Читается за 14 минут	6 ч			Американская литература->США
texts/dzhon_grin_bumazhnye_goroda.txt	Бумажные города	2014	Грин_1	род. 1977	Читается за 15 минут	7 ч			Американская литература->США
texts/gremgrin_tixij_amerikanets.txt	Тихий американец	1980	Грин_2	1904–1991	Читается за 5 минут	5 ч			Европейская литература->Британская
texts/gremgrin_doktor_fisher_iz_zhenevy.txt	Доктор Фишер из Женевы, или Ужин с бомбой	1980	Грин_2	1904–1991	Читается за 20 минут	2,5 ч			Европейская литература->Британская
texts/gremgrin_sut_dela.txt	Суть дела	1980	Грин_2	1904–1991	Читается за 7 минут	7 ч			Европейская литература->Британская
texts/grin_alye_parusa.txt	Алые паруса	1922	Грин_3	1880–1932	Читается за 6 минут	2,5 ч	И. Г. Животовский	zhivotovsky	Русская литература->Советская
texts/grin_zelenaia_lampa.txt	Зелёная лампа	1922	Грин_3	1880–1932	Читается за 4 минуты	8 мин			Русская литература->Советская
texts/grin_begucshaja_po_volnam.txt	Бегущая по волнам	1922	Грин_3	1880–1932	Читается за 6 минут	7 ч	И. Г. Животовский	zhivotovsky	Русская литература->Советская
texts/grin_shapka_nevidimka.txt	Шапка-невидимка	1922	Грин_3	1880–1932	Читается за 10 минут	3,5 ч			Русская литература->Советская
texts/grossman_zhizn_i_sudba.txt	Жизнь и судьба		Гроссман	1905–1964	Читается за 9 минут	24 ч			Прочая литература->Еврейская
texts/grem_khakery_i_khudozhniki.txt	Хакеры и художники: великие идеи компьютерного века		Грэм	род. 1964	Читается за 12 минут				Американская литература->США
texts/guan_hancin_nefritovaia_podstavka.txt	Вэнь Тай-чжэнь берёт нефритовую подставку		Гуань	1210–1280	Читается за 2 минуты		В. Ф. Сорокин	sorokin	Прочая литература->Китайская
texts/guan_hancin_se_tian_sian.txt	Правитель Цянь оценивает по достоинству Се Тянь-сян		Гуань	1210–1280	Читается за 2 минуты		В. Ф. Сорокин	sorokin	Прочая литература->Китайская
