texts/astafev_kon_s_rozovoy_grivoy.txt	Конь с розовой гривой	1968	Астафьев	1924–2001	Читается за 4 минуты	35 мин			Русская литература->Советская
texts/astafev_ljudochka.txt	Людочка	1968	Астафьев	1924–2001	Читается за 25 минут	1,5 ч			Русская литература->Советская
texts/astafev_fotografiia_na_kotoroy_menia_net.txt	Фотография, на которой меня нет	1968	Астафьев	1924–2001	Читается за 5 минут	35 мин			Русская литература->Советская
texts/asturias_senor_prezident.txt	Сеньор Президент		Астуриас	1899–1974	Читается за 9 минут	7 ч			Латино­американская литература->Гватемальская
texts/aulet_nauka_predprinimatelstva.txt	Наука предпри­нимательства: 24 шага к успешному старту		Аулет		Читается за 14 минут				Американская литература->США
texts/ahmatova_rekviem.txt	Реквием	1965	Ахматова	1889–1966	Читается за 1 минуту	6 мин	Сергей Симиненко	siminenko	Русская литература->Советская
texts/ahmatova_poema_bez_geroja.txt	Поэма без героя	1965	Ахматова	1889–1966	Читается за 5 минут	30 мин			Русская литература->Советская
texts/ashvaghosha_zhizn_buddy.txt	Жизнь Будды		Ашвагхоша	80−150 н. э.	Читается за 4 минуты		П. А. Гринцер	grincer	Прочая литература->Индийская
texts/babel_konarmija.txt	Конармия	1926	Бабель	1894–1940	Читается за 10 минут	3,5 ч	Е. А. Шкловский	123	Прочая литература->Еврейская
texts/babel_odesskie_rasskazy.txt	Одесские рассказы	1926	Бабель	1894–1940	Читается за 10 минут	3 ч	Е. А. Шкловский	123	Прочая литература->Еврейская
texts/bazhov_mednoy_gory_khoziayka.txt	Медной горы Хозяйка	1937	Бажов	1879–1950	Читается за 6 минут	14 мин			Русская литература->Советская
texts/bazhov_kamennyy_tcvetok.txt	Каменный цветок	1937	Бажов	1879–1950	Читается за 7 минут	1,5 ч			Русская литература->Советская
texts/bazen_supruzheskaja_zhizn.txt	Супружеская жизнь		Базен	1911–1996	Читается за 8 минут	8 ч			Европейская литература->Французская
texts/bazen_anatomija_odnogo_razvoda.txt	Анатомия одного развода		Базен	1911–1996	Читается за 8 минут	7 ч			Европейская литература->Французская
texts/bajron_palomnichestvo_chajld_garolda.txt	Паломничество Чайльд-Гарольда	1813	Байрон	1788–1824	Читается за 10 минут	3,5 ч	Н. М. Пальцев	183	Европейская литература->Британская
texts/bajron_mazepa.txt	Мазепа	1813	Байрон	1788–1824	Читается за 6 минут	25 мин			Европейская литература->Британская
texts/bajron_korsar.txt	Корсар	1813	Байрон	1788–1824	Читается за 7 минут	1,5 ч	Н. М. Пальцев	183	Европейская литература->Британская
texts/baklanov_pjad_zemli.txt	Пядь земли		Бакланов	1923–2009	Читается за 5 минут	4,5 ч			Русская литература->Советская
texts/balter_do_svidanija_malchiki.txt	До свидания, мальчики!		Балтер	1919–1974	Читается за 5 минут	6 ч			Русская литература->Советская
texts/balzak_gobsek.txt	Гобсек	1847	Бальзак	1799–1850	Читается за 7 минут	2 ч			Европейская литература->Французская
texts/balzak_shagrenevaja_kozha.txt	Шагреневая кожа	1847	Бальзак	1799–1850	Читается за 13 минут	8 ч			Европейская литература->Французская
texts/balzak_otec_gorio.txt	Отец Горио	1847	Бальзак	1799–1850	Читается за 8 минут	8 ч			Европейская литература->Французская
texts/bana_kadambari.txt	Кадамбари		Банабхатта	VII в.	Читается за 4 минуты		П. А. Гринцер	grincer	Прочая литература->Индийская
