,Source,Target,Weight,Type
1,123_part1,123_part2,2,undirected
2,123_part1,123_part3,3,undirected
3,123_part1,233_part2,2,undirected
4,123_part1,erkhov_part1,1,undirected
5,123_part1,sanovich_part2,1,undirected
6,123_part1,zhivotovsky_part1,3,undirected
7,123_part1,zhivotovsky_part2,2,undirected
8,123_part2,123_part1,2,undirected
9,123_part2,123_part3,5,undirected
10,123_part2,123_part4,1,undirected
11,123_part2,belov_part4,1,undirected
12,123_part3,123_part1,3,undirected
13,123_part3,123_part2,5,undirected
14,123_part3,123_part4,6,undirected
15,123_part3,152_part2,2,undirected
16,123_part3,226_part3,2,undirected
17,123_part3,227_part2,2,undirected
18,123_part3,233_part1,3,undirected
19,123_part3,233_part2,3,undirected
20,123_part3,belov_part4,1,undirected
21,123_part3,belov_part5,1,undirected
22,123_part3,erkhov_part2,1,undirected
23,123_part3,gasparov_part6,1,undirected
24,123_part3,karelsky_part1,1,undirected
25,123_part3,karelsky_part9,2,undirected
26,123_part3,sanovich_part1,3,undirected
27,123_part3,sanovich_part4,3,undirected
28,123_part3,shishkin_part1,2,undirected
29,123_part3,shishkin_part3,3,undirected
30,123_part3,zhivotovsky_part1,2,undirected
31,123_part4,123_part2,1,undirected
32,123_part4,123_part3,6,undirected
33,123_part4,karelsky_part1,2,undirected
34,152_part1,152_part2,1,undirected
35,152_part1,belov_part2,2,undirected
36,152_part1,gasparov_part1,1,undirected
37,152_part1,zhidkov_part1,1,undirected
38,152_part1,zhivotovsky_part1,1,undirected
39,152_part1,zhivotovsky_part2,3,undirected
40,152_part2,123_part3,2,undirected
41,152_part2,152_part1,1,undirected
42,152_part2,zhidkov_part1,3,undirected
43,152_part2,zhivotovsky_part2,3,undirected
44,165_part1,165_part2,4,undirected
45,165_part1,233_part1,3,undirected
46,165_part1,zhivotovsky_part2,3,undirected
47,165_part2,165_part1,4,undirected
48,165_part2,233_part1,2,undirected
49,165_part2,erkhov_part2,1,undirected
50,226_part1,226_part2,5,undirected
51,226_part1,226_part3,4,undirected
52,226_part1,karelsky_part4,5,undirected
53,226_part2,226_part1,5,undirected
54,226_part2,gasparov_part1,1,undirected
55,226_part2,gasparov_part5,2,undirected
56,226_part3,123_part3,2,undirected
57,226_part3,226_part1,4,undirected
58,226_part3,zhivotovsky_part2,1,undirected
59,227_part1,227_part2,6,undirected
60,227_part1,belov_part2,2,undirected
61,227_part1,shishkin_part1,1,undirected
62,227_part2,123_part3,2,undirected
63,227_part2,227_part1,6,undirected
64,227_part2,belov_part2,1,undirected
65,233_part1,123_part3,3,undirected
66,233_part1,165_part1,3,undirected
67,233_part1,165_part2,2,undirected
