,Source,Target,Weight,Type
242,shishkin_part1,X165_part2,1,undirected
243,shishkin_part1,X227_part1,2,undirected
244,shishkin_part1,shishkin_part5,3,undirected
245,shishkin_part2,X165_part2,4,undirected
246,shishkin_part2,rynkevich_part2,4,undirected
247,shishkin_part2,sanovich_part4,1,undirected
248,shishkin_part2,shishkin_part5,1,undirected
249,shishkin_part3,X123_part2,3,undirected
250,shishkin_part3,X165_part2,2,undirected
251,shishkin_part3,belov_part4,1,undirected
252,shishkin_part3,zhidkov_part2,3,undirected
253,shishkin_part4,karelsky_part4,1,undirected
254,shishkin_part4,karelsky_part5,2,undirected
255,shishkin_part4,shishkin_part5,6,undirected
256,shishkin_part5,rynkevich_part1,5,undirected
257,shishkin_part5,rynkevich_part2,1,undirected
258,shishkin_part5,rynkevich_part3,3,undirected
259,shishkin_part5,shishkin_part1,3,undirected
260,shishkin_part5,shishkin_part2,1,undirected
261,shishkin_part5,shishkin_part4,6,undirected
262,smirnov_part1,kostyrko_part2,1,undirected
263,smirnov_part1,smirnov_part2,6,undirected
264,smirnov_part1,smirnov_part3,3,undirected
265,smirnov_part1,smirnov_part4,5,undirected
266,smirnov_part2,karelsky_part2,2,undirected
267,smirnov_part2,karelsky_part4,1,undirected
268,smirnov_part2,smirnov_part1,6,undirected
269,smirnov_part2,smirnov_part4,2,undirected
270,smirnov_part3,X123_part3,2,undirected
271,smirnov_part3,karelsky_part4,1,undirected
272,smirnov_part3,smirnov_part1,3,undirected
273,smirnov_part4,X226_part1,1,undirected
274,smirnov_part4,smirnov_part1,5,undirected
275,smirnov_part4,smirnov_part2,2,undirected
276,zhidkov_part1,X152_part2,6,undirected
277,zhidkov_part1,belov_part1,1,undirected
278,zhidkov_part1,rynkevich_part1,2,undirected
279,zhidkov_part1,zhidkov_part2,1,undirected
280,zhidkov_part2,X123_part2,2,undirected
281,zhidkov_part2,shishkin_part3,3,undirected
282,zhidkov_part2,zhidkov_part1,1,undirected
283,zhivotovsky_part1,X123_part1,1,undirected
284,zhivotovsky_part1,belov_part1,5,undirected
285,zhivotovsky_part1,karelsky_part1,1,undirected
286,zhivotovsky_part1,kostyrko_part1,2,undirected
287,zhivotovsky_part1,zhivotovsky_part2,6,undirected
288,zhivotovsky_part2,X123_part1,1,undirected
289,zhivotovsky_part2,X123_part3,2,undirected
290,zhivotovsky_part2,X152_part1,3,undirected
291,zhivotovsky_part2,X152_part2,2,undirected
292,zhivotovsky_part2,X233_part1,1,undirected
293,zhivotovsky_part2,gasparov_part6,1,undirected
294,zhivotovsky_part2,kostyrko_part1,3,undirected
295,zhivotovsky_part2,kostyrko_part2,3,undirected
296,zhivotovsky_part2,zhivotovsky_part1,6,undirected
