"X123_part1" "X123_part2" "X123_part3" "X123_part4" "X152_part1" "X152_part2" "X165_part1" "X165_part2" "X226_part1" "X226_part2" "X226_part3" "X227_part1" "X227_part2" "X233_part1" "X233_part2" "belov_part1" "belov_part2" "belov_part3" "belov_part4" "belov_part5" "erkhov_part1" "erkhov_part2" "erkhov_part3" "erkhov_part4" "gasparov_part1" "gasparov_part2" "gasparov_part3" "gasparov_part4" "gasparov_part5" "gasparov_part6" "gasparov_part7" "gasparov_part8" "gasparov_part9" "karelsky_part1" "karelsky_part2" "karelsky_part3" "karelsky_part4" "karelsky_part5" "karelsky_part6" "karelsky_part7" "karelsky_part8" "karelsky_part9" "kostyrko_part1" "kostyrko_part2" "rynkevich_part1" "rynkevich_part2" "rynkevich_part3" "sanovich_part1" "sanovich_part2" "sanovich_part3" "sanovich_part4" "shishkin_part1" "shishkin_part2" "shishkin_part3" "shishkin_part4" "shishkin_part5" "smirnov_part1" "smirnov_part2" "smirnov_part3" "smirnov_part4" "zhidkov_part1" "zhidkov_part2" "zhivotovsky_part1" "zhivotovsky_part2"
"а" 0.58 0.78 0.78 0.4 0.68 0.36 0.46 0.46 0.92 1.46 0.66 0.44 0.68 0.36 0.7 0.48 0.54 0.26 0.44 0.72 0.36 0.58 0.58 0.6 1.92 1.34 1 1.2 1.78 1.76 1.22 1.06 1.06 0.52 0.6 0.76 0.42 0.72 0.34 0.82 0.62 0.86 0.98 0.86 0.56 0.6 0.36 0.62 0.34 0.2 0.58 0.54 0.64 0.54 0.5 0.62 0.96 0.8 1.2 1.24 0.54 0.66 0.64 0.58
"свой" 0.7 0.64 0.66 0.48 1.14 0.68 0.72 0.72 0.86 0.58 0.74 0.92 0.94 0.68 0.6 0.98 1 0.68 0.62 0.9 0.54 0.82 0.68 0.46 0.76 0.54 0.62 0.62 0.54 0.5 0.78 0.56 0.54 0.4 0.56 0.54 0.82 0.86 0.92 0.88 0.58 0.72 0.6 0.7 1.1 1.04 1.12 0.66 0.52 0.66 0.76 0.8 0.76 0.76 1.3 1.06 0.68 0.64 0.54 0.66 0.88 1.04 0.44 0.54
"они" 0.8 0.5 0.46 0.58 0.6 0.76 0.62 0.36 0.7 0.74 0.82 0.56 0.64 0.58 1.14 0.92 0.4 0.4 0.72 0.46 0.86 0.84 1.54 0.92 0.92 0.9 1.02 1.12 1.1 0.58 0.86 0.8 1.22 0.96 0.44 0.68 0.62 0.56 0.42 0.6 0.74 0.4 0.54 0.52 0.52 0.76 0.7 0.48 0.58 0.54 1.42 0.5 0.56 0.48 0.42 0.5 0.64 0.78 0.54 1.18 0.92 0.6 0.38 0.58
"то" 0.5 0.86 0.74 0.78 0.88 0.5 0.48 0.3 0.48 0.6 0.56 0.68 0.84 0.96 0.82 0.7 0.66 0.84 0.88 0.5 0.52 0.36 0.66 0.48 0.76 0.5 0.48 0.22 0.52 0.86 0.54 0.44 0.46 1.12 0.88 0.9 0.84 0.58 0.86 0.86 0.88 1.1 0.84 0.64 0.98 0.74 0.7 0.98 0.78 0.84 0.76 0.54 0.68 0.52 0.94 0.62 0.62 0.76 0.58 0.72 0.4 0.66 0.6 0.56
"к" 0.74 0.92 0.56 0.76 0.48 0.56 0.72 0.76 0.66 0.56 0.64 0.56 0.7 0.8 0.82 0.84 0.46 0.54 0.62 0.48 0.58 0.72 0.68 0.72 0.62 0.4 0.64 0.58 0.54 0.76 0.62 0.52 0.64 0.48 0.6 0.68 0.76 0.78 0.94 0.56 0.84 0.66 0.72 0.74 0.52 0.74 0.54 0.68 0.96 0.86 0.56 0.54 0.8 0.54 0.62 0.48 0.72 0.6 0.88 0.68 0.86 0.92 0.68 0.66
"его" 0.48 0.64 0.8 0.74 0.48 0.74 0.98 0.86 0.48 0.56 0.72 0.72 0.96 1 0.36 0.46 0.5 0.66 0.58 0.64 0.8 0.82 0.52 0.64 0.54 0.62 0.72 0.38 0.26 0.44 0.54 0.48 0.36 0.56 0.44 0.6 0.4 0.7 0.58 0.62 0.38 0.46 0.36 0.52 0.68 0.78 1.08 1 0.84 0.78 0.62 0.58 0.58 0.58 0.52 0.98 0.56 0.56 0.28 0.72 0.48 0.46 0.56 0.5
"который" 0.68 0.96 0.9 0.96 0.24 0.64 0.68 0.32 0.36 0.18 0.44 0.72 0.82 0.9 0.64 0.58 0.72 0.54 0.62 0.74 0.4 0.36 0.6 0.42 0.46 0.28 0.42 0.34 0.26 0.4 0.18 0.16 0.26 0.78 0.6 0.48 0.48 0.46 0.5 0.5 0.7 0.6 0.34 0.54 1.46 1.46 1.1 0.66 0.44 0.62 0.74 0.82 0.66 1.02 0.6 0.66 0.46 0.46 0.28 0.32 0.88 1.08 0.5 0.46
"как" 0.78 0.56 0.54 0.6 0.62 0.56 0.5 0.38 0.38 0.4 0.32 0.46 0.64 0.32 0.52 0.42 0.58 0.42 0.42 0.36 0.82 0.6 0.42 0.5 0.52 0.4 0.44 0.54 0.62 0.84 0.48 0.34 0.56 0.66 0.8 0.68 0.82 0.7 0.54 1.04 0.82 0.7 0.48 0.74 0.5 0.3 0.44 0.64 0.56 0.54 0.4 0.78 0.44 0.42 0.74 0.5 0.4 0.44 0.58 0.62 0.34 0.28 0.6 0.62
"из" 0.5 0.66 0.56 0.52 0.4 0.58 0.86 0.58 0.7 0.64 0.54 0.5 0.32 0.54 0.64 0.54 0.44 0.26 0.42 0.62 0.5 0.62 0.54 0.46 0.56 0.66 0.8 0.52 0.46 0.68 0.72 0.26 0.4 0.74 0.54 0.54 0.44 0.52 0.34 0.5 0.7 0.68 0.64 0.56 0.34 0.52 0.54 0.64 0.46 0.62 0.6 0.6 0.48 0.42 0.36 0.36 0.36 0.26 0.62 0.52 0.52 0.4 0.58 0.56
"за" 0.32 0.72 0.58 0.26 0.4 0.4 0.6 0.7 0.44 0.54 0.38 0.22 0.22 0.56 0.3 0.38 0.32 0.56 0.58 0.38 0.74 0.6 0.42 0.44 0.54 0.44 0.48 0.56 0.64 0.68 0.76 0.64 0.96 0.74 0.38 0.8 0.4 0.34 0.4 0.8 0.6 0.7 0.48 0.34 0.48 0.5 0.32 0.44 0.62 0.34 0.44 0.36 0.68 0.52 0.56 0.46 0.7 0.3 0.42 0.48 0.34 0.56 0.42 0.52
