"X123_part1" "X123_part2" "X123_part3" "X123_part4" "X152_part1" "X152_part2" "X165_part1" "X165_part2" "X226_part1" "X226_part2" "X226_part3" "X227_part1" "X227_part2" "X233_part1" "X233_part2" "belov_part1" "belov_part2" "belov_part3" "belov_part4" "belov_part5" "erkhov_part1" "erkhov_part2" "erkhov_part3" "erkhov_part4" "gasparov_part1" "gasparov_part2" "gasparov_part3" "gasparov_part4" "gasparov_part5" "gasparov_part6" "gasparov_part7" "gasparov_part8" "gasparov_part9" "karelsky_part1" "karelsky_part2" "karelsky_part3" "karelsky_part4" "karelsky_part5" "karelsky_part6" "karelsky_part7" "karelsky_part8" "karelsky_part9" "kostyrko_part1" "kostyrko_part2" "rynkevich_part1" "rynkevich_part2" "rynkevich_part3" "sanovich_part1" "sanovich_part2" "sanovich_part3" "sanovich_part4" "shishkin_part1" "shishkin_part2" "shishkin_part3" "shishkin_part4" "shishkin_part5" "smirnov_part1" "smirnov_part2" "smirnov_part3" "smirnov_part4" "zhidkov_part1" "zhidkov_part2" "zhivotovsky_part1" "zhivotovsky_part2"
"после" 0.22 0.26 0.4 0.5 0.12 0.2 0.2 0.22 0.12 0.2 0.2 0.18 0.2 0.22 0.28 0.22 0.24 0.14 0.2 0.28 0.18 0.18 0.2 0.12 0.06 0.18 0.14 0.14 0.14 0.14 0.12 0.12 0.14 0.18 0.24 0.26 0.12 0.14 0.08 0.2 0.2 0.32 0.2 0.16 0.38 0.2 0.22 0.24 0.2 0.24 0.24 0.14 0.1 0.28 0.18 0.22 0.1 0.14 0.16 0.06 0.24 0.06 0.26 0.24
"жена" 0.2 0.12 0.12 0.1 0.16 0.08 0.08 0.16 0.08 0.1 0.24 0.18 0.02 0.2 0.04 0.24 0.04 0.12 0.14 0.1 0.18 0.04 0.04 0.1 0.02 0.1 0.1 0.34 0.4 0.42 0.08 0.22 0.16 0.12 0.26 0.12 0.16 0.24 0.14 0.28 0.06 0.14 0.08 0.12 0.2 0.02 0.24 0.7 0.14 0.2 0.3 0.02 0.02 0.32 0.26 0.2 0.32 0.88 0.82 0.38 0.12 0.06 0.22 0.16
"сам" 0.12 0.2 0.16 0.2 0.24 0.18 0.2 0.14 0.2 0.3 0.18 0.2 0.28 0.04 0.04 0.1 0.22 0.06 0.16 0.12 0.24 0.12 0.22 0.18 0.28 0.26 0.32 0.18 0.26 0.34 0.38 0.26 0.28 0.14 0.18 0.32 0.2 0.16 0.16 0.3 0.24 0.22 0.02 0.24 0.16 0.04 0.12 0.12 0.12 0.14 0.06 0.22 0.08 0.12 0.26 0.24 0.26 0.1 0.18 0.22 0.06 0.06 0.08 0.14
"во" 0.08 0.12 0.22 0.12 0.04 0.28 0.12 0.2 0.24 0.16 0.16 0.22 0.16 0.22 0.14 0.18 0.16 0.06 0.1 0.16 0.08 0.06 0.26 0.14 0.16 0.26 0.12 0.2 0.16 0.04 0.3 0.14 0.2 0.08 0.1 0.08 0.36 0.22 0.3 0.18 0.2 0.24 0.1 0.06 0.16 0.22 0.18 0.22 0.18 0.1 0.22 0.12 0.34 0.26 0.32 0.28 0.28 0.18 0.34 0.22 0.18 0.24 0.16 0.08
"еще" 0.14 0.12 0.2 0.26 0.16 0.08 0.14 0.22 0.2 0.26 0.22 0.28 0.28 0.26 0.32 0.12 0.22 0.12 0.1 0.24 0.2 0.2 0.32 0.26 0.16 0.16 0.18 0.16 0.06 0.26 0.08 0.12 0.22 0.18 0.24 0.12 0.1 0.16 0.14 0.16 0.26 0.38 0.38 0.22 0.14 0.04 0.06 0.12 0.08 0.14 0.12 0.08 0.08 0.18 0.16 0.06 0.22 0.3 0.22 0.08 0.06 0.06 0.1 0.18
"их" 0.16 0.08 0.06 0.36 0.18 0.14 0.14 0.18 0.12 0.14 0.14 0.44 0.2 0.08 0.2 0.24 0.14 0.16 0.18 0.08 0.24 0.22 0.26 0.1 0.14 0.16 0.2 0.1 0.2 0.02 0.08 0.12 0.16 0.16 0.06 0.24 0.24 0.14 0.1 0.08 0.14 0.06 0.16 0.22 0.14 0.14 0.12 0.06 0.14 0.3 0.44 0.14 0.16 0.16 0.14 0.18 0.26 0.2 0.16 0.14 0.14 0.18 0.16 0.1
"такой" 0.12 0.04 0.14 0.14 0.24 0.12 0.3 0.18 0.14 0.28 0.1 0.2 0.16 0.14 0.06 0.16 0.3 0.1 0.16 0.08 0.22 0.2 0.26 0.08 0.44 0.22 0.1 0.12 0.24 0.56 0.2 0.12 0.04 0.14 0.2 0.2 0.14 0.1 0.14 0.24 0.12 0.12 0.2 0.14 0.2 0.04 0.06 0.1 0.1 0.12 0.08 0.2 0.32 0.16 0.2 0.14 0.14 0.18 0.1 0.1 0.04 0.18 0.16 0.14
"другой" 0.1 0.1 0.24 0.16 0.18 0.12 0.14 0.24 0.06 0.54 0.14 0.2 0.26 0.2 0.18 0.18 0.18 0.18 0.08 0.16 0.1 0.32 0.46 0.12 0.26 0.32 0.22 0.1 0.26 0.2 0.3 0.08 0.16 0.24 0.08 0.1 0.08 0.1 0.14 0.14 0.08 0.08 0.1 0.12 0.12 0.06 0.06 0.22 0.14 0.1 0.14 0.24 0.1 0.2 0.12 0.1 0.2 0.06 0.08 0.04 0.12 0.34 0.08 0.06
"где" 0.32 0.22 0.22 0.22 0.12 0.06 0.18 0.12 0.08 0.1 0.08 0.28 0.22 0.3 0.18 0.22 0.3 0.2 0.24 0.22 0.06 0.18 0.08 0.2 0.14 0.2 0.1 0.12 0.12 0.08 0.16 0.24 0.14 0.26 0.14 0.1 0.02 0.08 0.06 0.12 0.24 0.26 0.1 0.12 0.14 0.18 0.1 0.22 0.22 0.22 0.14 0.18 0.1 0.2 0.12 0.12 0.08 0.2 0.14 0.06 0.18 0.16 0.24 0.16
"самый" 0.1 0.08 0.26 0.3 0.28 0.1 0.24 0.08 0.14 0.18 0.2 0.42 0.24 0.06 0.14 0.14 0.22 0.18 0.2 0.14 0.14 0.18 0.24 0.18 0.22 0.24 0.24 0.02 0.08 0.18 0.2 0.1 0.2 0.12 0.2 0.14 0.16 0.14 0.2 0.2 0.32 0.14 0.1 0.2 0.16 0.02 0.08 0.06 0.12 0.3 0.12 0.04 0.04 0.12 0.06 0.08 0.16 0.08 0.28 0.08 0.16 0.12 0.06 0.1
"до" 0.22 0.1 0.18 0.16 0.18 0.12 0.18 0.08 0.1 0.2 0.08 0.06 0.08 0.2 0.26 0.18 0.22 0.16 0.22 0.22 0.16 0.16 0.16 0.12 0.22 0.14 0.18 0.04 0.12 0.18 0.3 0.24 0.1 0.18 0.2 0.22 0.1 0.14 0.2 0.18 0.2 0.18 0.14 0.12 0.12 0.16 0.04 0.2 0.22 0.1 0.16 0.04 0.06 0.14 0.08 0.02 0.18 0.2 0.28 0.06 0.1 0.04 0.18 0.16
"бы" 0.08 0.14 0.1 0.14 0.14 0.02 0.08 0.06 0.14 0.08 0.1 0.1 0.1 0.04 0.04 0.08 0.2 0.08 0.16 0.18 0.24 0.1 0.22 0.36 0.14 0.14 0.2 0.28 0.12 0.16 0.14 0.12 0.12 0.28 0.2 0.42 0.2 0.28 0.28 0.28 0.12 0.18 0.2 0.18 0.1 0.08 0.08 0.32 0.18 0.2 0.18 0.1 0.06 0.22 0.26 0.12 0.1 0.18 0.06 0.1 0.04 0.04 0.08 0.14
"дело" 0.1 0.2 0.1 0.16 0.12 0.08 0.14 0.12 0.04 0.08 0.1 0.14 0.2 0.08 0.12 0.14 0.32 0.28 0.2 0.14 0.2 0.12 0.06 0.3 0.04 0.18 0.04 0.28 0.14 0.14 0.14 0.12 0.12 0.16 0.08 0.2 0.2 0.12 0.1 0.18 0.12 0.14 0.04 0.32 0.18 0.06 0.14 0.16 0.12 0.22 0.08 0.04 0.06 0.16 0.04 0.14 0.32 0.16 0.34 0.2 0.02 0.06 0.08 0.14
"жить" 0.1 0.12 0.2 0.2 0.06 0.04 0.1 0.04 0.04 0.18 0.1 0.08 0.16 0.14 0.12 0.14 0.16 0.08 0.16 0.14 0.1 0.16 0.34 0.22 0.14 0.16 0.04 0.12 0.14 0.1 0.1 0.1 0.04 0.12 0.18 0.06 0.1 0.08 0.04 0.06 0.14 0.02 0.06 0.1 0.08 0.14 0.18 0.12 0.2 0.2 0.14 0.22 0.1 0.06 0.02 0.16 0.3 0.48 0.12 0.3 0.4 0.14 0.14 0.08
"день" 0.12 0.16 0.22 0.1 0.18 0.16 0.26 0.12 0.04 0.08 0.1 0.1 0.18 0.22 0.2 0.14 0.12 0.12 0.16 0.14 0.12 0.18 0.1 0.1 0.08 0.1 0.2 0.08 0.08 0.08 0.04 0.06 0.04 0.16 0.26 0.06 0.06 0.06 0.06 0.1 0.28 0.34 0.24 0.12 0.08 0.08 0.18 0.2 0.14 0.2 0.08 0.08 0.14 0.02 0.04 0.06 0.22 0.26 0.3 0.1 0.06 0.04 0.12 0.28
"со" 0.16 0.1 0.12 0.14 0.2 0.14 0.14 0.12 0.14 0.06 0.14 0.08 0.12 0.16 0.08 0.08 0.08 0.06 0.16 0.16 0.04 0.04 0.04 0.04 0.14 0.32 0.16 0.06 0.28 0.14 0.14 0.18 0.12 0.1 0.1 0.16 0.18 0.16 0.14 0.16 0.14 0.16 0.16 0.16 0.12 0.18 0.12 0.06 0.12 0.14 0.06 0.12 0.18 0.08 0.1 0.12 0.18 0.2 0.12 0.26 0.06 0.14 0.1 0.12
"под" 0.16 0.06 0.12 0.02 0.16 0.12 0.18 0.1 0.02 0.12 0.14 0.08 0.06 0.16 0.1 0.08 0.14 0.22 0.08 0.06 0.16 0.08 0.08 0.08 0.2 0.2 0.2 0.08 0.1 0.08 0.12 0.2 0.18 0.12 0.1 0.06 0.1 0.06 0.08 0.22 0.2 0.08 0.12 0.08 0.1 0.3 0.16 0.18 0.18 0.08 0.12 0.1 0.16 0.1 0.1 0.18 0.1 0.1 0.14 0.1 0.08 0.08 0.22 0.22
"давать" 0.02 0.14 0.08 0.16 0.12 0.06 0.12 0.06 0.16 0.12 0.18 0.1 0.02 0.08 0.12 0.14 0.08 0.18 0.14 0.16 0.14 0.04 0.06 0.22 0.06 0.12 0.28 0.18 0.12 0.1 0.22 0.18 0.08 0.08 0.06 0.06 0.14 0.1 0.08 0.18 0.18 0.1 0.08 0.1 0.08 0.08 0.1 0.12 0.04 0.08 0.08 0.14 0.04 0.28 0.16 0.12 0.06 0.12 0.08 0.08 0.2 0.12 0.08 0.08
"решать" 0.08 0.14 0.12 0.06 0.04 0.04 0.08 0.04 0.08 0.1 0.18 0.02 0.06 0.1 0.14 0.06 0.16 0.06 0.08 0.06 0.06 0.1 0.02 0.12 0.04 0.06 0.02 0.04 0.08 0.04 0.02 0.1 0.04 0.08 0.22 0.1 0.14 0.1 0.16 0.16 0.02 0.08 0.12 0.16 0.04 0.02 0.1 0.12 0.12 0.22 0.3 0.04 0.1 0.2 0.28 0.14 0.34 0.44 0.34 0.12 0.26 0.12 0.04 0.04
"рука" 0.12 0.14 0.06 0.02 0.06 0.12 0.16 0.16 0.04 0.02 0.08 0.08 0.06 0.06 0.16 0.06 0.08 0.1 0.08 0.02 0.08 0.14 0.22 0.08 0.2 0.16 0.08 0.2 0.16 0.14 0.16 0.04 0.06 0.08 0.08 0.12 0.14 0.2 0.4 0.18 0.08 0.08 0.14 0.06 0.06 0.08 0.14 0.08 0.1 0.08 0.2 0.16 0.18 0.14 0.1 0.04 0.04 0.1 0.08 0.08 0.02 0.14 0.14 0.12
"какой" 0.04 0.12 0.08 0.1 0.24 0.06 0.1 0.06 0.04 0.04 0.14 0.12 0.26 0.12 0.22 0.1 0.04 0.16 0.12 0.04 0.08 0.02 0.12 0.12 0.2 0.1 0.02 0.06 0.06 0.1 0.1 0.06 0.1 0.18 0.22 0.12 0.12 0.12 0.14 0.18 0.06 0.18 0.1 0.06 0.12 0.02 0.04 0.22 0.06 0.06 0.1 0.08 0.1 0.18 0.08 0.08 0.06 0.16 0.06 0.16 0.02 0.1 0.24 0.12
"слово" 0.14 0.14 0.08 0.08 0.06 0.1 0.18 0.08 0.1 0.04 0.04 0.2 0.16 0.08 0.02 0.04 0.16 0.02 0.06 0.04 0.16 0.12 0.08 0.16 0.22 0.14 0.04 0.18 0.12 0.06 0.02 0.12 0.06 0.12 0.12 0.12 0.18 0.24 0.26 0.2 0.06 0.06 0.14 0.06 0.1 0.06 0.12 0.04 0.1 0.12 0.12 0.08 0.08 0.04 0.14 0.08 0.08 0.18 0.08 0.04 0.06 0.08 0.1 0.06
"принимать" 0.02 0.1 0.04 0.02 0.04 0.1 0.08 0.14 0.2 0.06 0.14 0.02 0.04 0.1 0.04 0.16 0.28 0.12 0.14 0.14 0.08 0.06 0.04 0.06 0.1 0.08 0.06 0.06 0.12 0.1 0.18 0.1 0.06 0.12 0.04 0.18 0.02 0.04 0.16 0.04 0.14 0.02 0.1 0.06 0.06 0.12 0.1 0.02 0.04 0.18 0.06 0.04 0.08 0.04 0.12 0.06 0.04 0.04 0.06 0.14 0.08 0.08 0.06 0.06
"благодаря" 0.08 0.08 0.08 0.12 0.1 0.12 0.08 0.06 0.08 0.06 0.1 0.06 0.08 0.1 0.1 0.14 0.1 0.08 0.08 0.08 0.08 0.06 0.1 0.06 0.06 0.08 0.04 0.08 0.08 0.1 0.06 0.08 0.06 0.1 0.06 0.08 0.08 0.1 0.08 0.1 0.08 0.18 0.1 0.1 0.14 0.08 0.1 0.06 0.08 0.08 0.04 0.08 0.06 0.06 0.1 0.08 0.04 0.04 0.12 0.02 0.12 0.06 0.14 0.1
"текст" 0.08 0.06 0.1 0.06 0.1 0.1 0.06 0.06 0.06 0.06 0.18 0.06 0.08 0.08 0.1 0.14 0.14 0.08 0.06 0.1 0.08 0.06 0.08 0.06 0.06 0.08 0.04 0.08 0.08 0.1 0.04 0.08 0.08 0.08 0.06 0.06 0.08 0.08 0.1 0.06 0.06 0.06 0.1 0.08 0.1 0.06 0.06 0.08 0.08 0.06 0.04 0.08 0.06 0.08 0.08 0.08 0.08 0.06 0.1 0.02 0.1 0.04 0.12 0.1
"продолжение" 0.08 0.06 0.1 0.06 0.1 0.1 0.06 0.08 0.06 0.06 0.1 0.06 0.06 0.1 0.1 0.12 0.12 0.1 0.06 0.08 0.08 0.06 0.08 0.06 0.08 0.08 0.04 0.08 0.08 0.1 0.04 0.08 0.08 0.08 0.06 0.06 0.08 0.08 0.08 0.06 0.08 0.1 0.12 0.08 0.1 0.06 0.06 0.06 0.08 0.06 0.04 0.08 0.06 0.08 0.08 0.08 0.06 0.04 0.1 0.02 0.1 0.02 0.12 0.1
"реклама" 0.08 0.06 0.08 0.08 0.1 0.1 0.08 0.08 0.06 0.06 0.08 0.06 0.06 0.1 0.08 0.12 0.06 0.1 0.08 0.08 0.08 0.06 0.08 0.06 0.06 0.08 0.06 0.08 0.08 0.1 0.06 0.08 0.06 0.08 0.06 0.06 0.08 0.08 0.08 0.06 0.06 0.06 0.16 0.06 0.1 0.06 0.06 0.06 0.08 0.06 0.06 0.08 0.06 0.06 0.08 0.08 0.04 0.04 0.12 0.02 0.1 0.02 0.12 0.1
"брифли" 0.08 0.06 0.08 0.08 0.1 0.08 0.06 0.06 0.06 0.06 0.08 0.06 0.06 0.08 0.08 0.12 0.06 0.08 0.08 0.08 0.08 0.06 0.08 0.06 0.06 0.08 0.04 0.08 0.08 0.1 0.04 0.08 0.06 0.08 0.06 0.06 0.08 0.08 0.08 0.06 0.06 0.06 0.1 0.06 0.1 0.06 0.06 0.06 0.08 0.06 0.04 0.08 0.06 0.06 0.08 0.08 0.04 0.04 0.12 0.02 0.1 0.02 0.12 0.1
