		lda	nmf
n_topics_5	n_topic_1	['ксендз', 'жизнь', 'имение', 'душа', 'женщина', 'начинать', 'сенатор', 'земля', 'сын', 'пытаться']	['имение', 'януш', 'жизнь', 'казимеж', 'сын', 'дом', 'г', '    \n', 'сестра', 'приезжать']
n_topics_5	n_topic_2	['пан', 'становиться', 'ученик', 'мальчик', 'однажды', 'адам', 'сказка', 'пуговица', 'большой', 'принц']	['князь', 'крестоносец', 'рыцарь', 'замок', 'орден', 'збышко', 'магистр', 'немец', 'отряд', 'княгиня']
n_topics_5	n_topic_3	['пан', 'крестоносец', 'земля', 'время', 'князь', 'человек', 'рыцарь', '   \n', ' ', 'збышко']	['королева', 'паж', 'астролог', 'король', 'шут', 'мария', 'дуглас', 'указ', 'звезда', 'сегодня']
n_topics_5	n_topic_4	['князь', 'человек', 'время', '   \n', 'жизнь', 'юноша', 'сын', 'девушка', 'друг', 'видеть']	['пан', 'ученик', 'мальчик', 'сказка', 'адам', 'принц', 'пуговица', 'веснушка', 'насос', 'превращаться']
n_topics_5	n_topic_5	['пан', 'князь', 'вскоре', 'рука', 'человек', 'король', 'решать', 'умирать', 'сын', 'арфа']	['ардрит', 'сепулька', 'путешествие', 'тихий', 'охотник', 'резерв', 'курдля', 'планета', 'здание', 'вопрос']
n_topics_6	n_topic_1	['ксендз', 'душа', 'сенатор', 'священник', 'узник', 'женщина', 'начинать', 'говорить', 'камера', 'земля']	['имение', 'януш', 'жизнь', 'казимеж', 'сын', 'дом', 'г', '    \n', 'сестра', 'приезжать']
n_topics_6	n_topic_2	['пан', 'становиться', 'время', 'ардрит', '   \n', 'говорить', 'хотеть', 'глаз', 'вскоре', 'путешествие']	['князь', 'крестоносец', 'рыцарь', 'замок', 'орден', 'збышко', 'магистр', 'немец', 'отряд', 'княгиня']
n_topics_6	n_topic_3	['пан', 'ученик', 'становиться', 'мальчик', 'однажды', 'адам', 'пуговица', ' ', 'превращаться', 'сказка']	['турок', 'лодка', 'грек', 'остров', 'ламбро', 'корабль', 'гречанка', 'каюта', 'фрегат', 'мачта']
n_topics_6	n_topic_4	['князь', 'человек', 'время', '   \n', 'жизнь', 'сын', 'юноша', 'девушка', 'друг', 'видеть']	['пан', 'ученик', 'мальчик', 'сказка', 'адам', 'принц', 'пуговица', 'веснушка', 'насос', 'превращаться']
n_topics_6	n_topic_5	['пан', 'князь', 'вскоре', 'рука', 'умирать', 'решать', 'жизнь', 'человек', '   \n', 'сын']	['ардрит', 'сепулька', 'путешествие', 'тихий', 'охотник', 'резерв', 'курдля', 'планета', 'здание', 'вопрос']
n_topics_6	n_topic_6	['крестоносец', 'земля', 'князь', 'рыцарь', 'отряд', 'человек', 'збышко', 'рука', 'пан', 'год']	['королева', 'паж', 'астролог', 'король', 'шут', 'мария', 'дуглас', 'указ', 'звезда', 'сегодня']
n_topics_7	n_topic_1	['имение', 'земля', 'жизнь', 'женщина', 'камера', 'оставаться', 'сын', 'начинать', 'решать', 'говорить']	['имение', 'януш', 'жизнь', 'казимеж', 'сын', 'дом', 'г', '    \n', 'сестра', 'приезжать']
n_topics_7	n_topic_2	['пан', 'становиться', '   \n', 'говорить', 'хотеть', 'время', 'человек', 'земля', 'друг', 'глаз']	['князь', 'крестоносец', 'рыцарь', 'замок', 'орден', 'збышко', 'магистр', 'немец', 'отряд', 'княгиня']
n_topics_7	n_topic_3	['пан', 'ученик', 'мальчик', ' ', 'превращаться', 'становиться', 'человек', 'земля', 'время', 'пуговица']	['турок', 'лодка', 'грек', 'остров', 'ламбро', 'корабль', 'гречанка', 'каюта', 'фрегат', 'мачта']
n_topics_7	n_topic_4	['девушка', 'юноша', 'смерть', 'арфа', 'видеть', 'грек', 'лицо', 'друг', 'время', 'узнавать']	['пан', 'ученик', 'мальчик', 'сказка', 'адам', 'принц', 'пуговица', 'веснушка', 'насос', 'превращаться']
n_topics_7	n_topic_5	['пан', 'князь', 'вскоре', 'рука', 'решать', 'умирать', 'глаз', 'брат', 'сын', 'жизнь']	['ардрит', 'сепулька', 'путешествие', 'тихий', 'охотник', 'резерв', 'курдля', 'планета', 'здание', 'вопрос']
n_topics_7	n_topic_6	['крестоносец', 'рыцарь', 'земля', 'отряд', 'князь', 'збышко', 'пан', 'рука', 'человек', 'замок']	['королева', 'паж', 'астролог', 'король', 'шут', 'мария', 'дуглас', 'указ', 'звезда', 'сегодня']
n_topics_7	n_topic_7	['пан', 'человек', 'князь', 'время', 'становиться', '   \n', 'жизнь', 'сын', 'жрец', 'год']	['жрец', 'фараон', 'храм', 'царевич', 'народ', 'государство', 'казна', 'ассириец', 'херихор', 'рамсес']
n_topics_8	n_topic_1	['имение', 'жизнь', 'камера', 'женщина', 'оставаться', 'земля', 'решать', 'начинать', 'становиться', 'сын']	['имение', 'януш', 'жизнь', 'казимеж', 'сын', 'дом', 'г', '    \n', 'сестра', 'приезжать']
n_topics_8	n_topic_2	['пан', 'становиться', 'мальчик', 'вскоре', 'крестоносец', 'ученик', 'глаз', 'земля', 'хотеть', 'друг']	['князь', 'крестоносец', 'рыцарь', 'замок', 'орден', 'збышко', 'магистр', 'немец', 'отряд', 'княгиня']
n_topics_8	n_topic_3	['пан', 'время', 'человек', 'земля', 'ученик', ' ', '   \n', 'рассказывать', 'приходить', 'мальчик']	['турок', 'лодка', 'грек', 'остров', 'ламбро', 'корабль', 'гречанка', 'каюта', 'фрегат', 'мачта']
n_topics_8	n_topic_4	['грек', 'лицо', 'лодка', 'турок', 'видеть', 'девушка', 'слуга', 'юноша', 'казнь', 'смерть']	['пан', 'ученик', 'мальчик', 'сказка', 'адам', 'принц', 'пуговица', 'веснушка', 'насос', 'превращаться']
n_topics_8	n_topic_5	['пан', 'князь', 'рука', 'вскоре', 'решать', 'брат', 'глаз', 'умирать', 'сын', 'жизнь']	['ардрит', 'сепулька', 'путешествие', 'тихий', 'охотник', 'резерв', 'курдля', 'планета', 'здание', 'вопрос']
n_topics_8	n_topic_6	['крестоносец', 'рыцарь', 'земля', 'пан', 'отряд', 'князь', 'человек', 'рука', 'збышко', 'друг']	['королева', 'паж', 'астролог', 'король', 'шут', 'мария', 'дуглас', 'указ', 'звезда', 'сегодня']
n_topics_8	n_topic_7	['пан', 'человек', 'князь', 'время', 'становиться', '   \n', 'жизнь', 'сын', 'друг', 'вскоре']	['жрец', 'фараон', 'храм', 'царевич', 'народ', 'государство', 'казна', 'ассириец', 'херихор', 'рамсес']
n_topics_8	n_topic_8	['князь', 'император', 'остальное', 'лицо', '   \n', 'пытаться', 'решать', 'египетский', 'удаваться', 'орден']	['арфа', 'венед', 'сляз', 'битва', 'отец', 'колдунья', 'рыцарь', 'святой', 'лилла', 'гвинон']
n_topics_9	n_topic_1	['имение', 'земля', 'жизнь', 'женщина', 'пани', 'сын', 'камера', 'ребенок', 'оставаться', 'время']	['имение', 'януш', 'жизнь', 'казимеж', 'сын', 'дом', 'г', '    \n', 'сестра', 'приезжать']
