		lda	nmf
n_topics_5	n_topic_1	['сын', 'жизнь', 'время', 'новый', 'друг', 'человек', 'барыня', 'дочь', 'жена', 'дом']	['человек', 'жизнь', '   \n', 'время', 'друг', 'дом', 'отец', 'становиться', 'сын', 'муж']
n_topics_5	n_topic_2	['князь', 'время', 'человек', 'дом', 'день', 'начинать', '   \n', 'год', 'друг', 'становиться']	['князь', 'димитрий', 'татарин', 'княгиня', 'княжна', 'воин', 'актриса', 'письмо', 'никандр', 'генеральша']
n_topics_5	n_topic_3	['человек', 'день', 'время', 'становиться', 'ребенок', 'дом', 'отец', 'деньги', 'видеть', 'князь']	['царь', 'конь', ' ', 'царевич', 'иван', 'царица', 'конек', 'брат', 'кит', 'поехать']
n_topics_5	n_topic_4	['человек', 'становиться', 'время', 'отец', 'год', 'друг', '   \n', 'любить', 'жизнь', 'самый']	['рассказчик', 'подробно', 'читать', 'охота', '   \n', 'познакомиться', 'сосед', 'чертопханов', 'шоколад', 'лекция']
n_topics_5	n_topic_5	['день', 'князь', '   \n', 'деньги', 'княжна', 'решать', 'русский', 'начинать', 'идти', 'говорить']	['вася', 'кукла', 'замок', 'часовня', 'мальчик', 'судья', 'подземелье', 'отец', 'маруся', 'общество']
n_topics_6	n_topic_1	['сын', 'жизнь', 'время', 'новый', 'друг', 'человек', 'дочь', 'барыня', 'жена', 'дом']	['человек', 'жизнь', '   \n', 'время', 'друг', 'дом', 'отец', 'становиться', 'сын', 'муж']
n_topics_6	n_topic_2	['князь', 'время', 'дом', 'человек', 'начинать', 'день', 'помещик', '   \n', 'друг', 'становиться']	['князь', 'димитрий', 'татарин', 'княгиня', 'княжна', 'воин', 'актриса', 'письмо', 'никандр', 'генеральша']
n_topics_6	n_topic_3	['человек', 'день', 'становиться', 'время', 'ребенок', 'дом', 'видеть', ' ', 'деньги', 'дочь']	['царь', 'конь', ' ', 'царевич', 'иван', 'царица', 'конек', 'брат', 'кит', 'поехать']
n_topics_6	n_topic_4	['человек', 'становиться', 'время', 'отец', 'год', 'друг', '   \n', 'жизнь', 'дело', 'самый']	['рассказчик', 'подробно', 'читать', 'охота', '   \n', 'познакомиться', 'сосед', 'чертопханов', 'шоколад', 'лекция']
n_topics_6	n_topic_5	['день', 'князь', '   \n', 'княжна', 'деньги', 'решать', 'русский', 'идти', 'начинать', 'говорить']	['вася', 'кукла', 'замок', 'часовня', 'мальчик', 'судья', 'подземелье', 'отец', 'маруся', 'общество']
n_topics_6	n_topic_6	['человек', 'князь', 'жизнь', 'время', 'город', 'год', 'брат', 'отец', '   \n', 'становиться']	['барон', 'пес', 'матрос', 'баронесса', 'офицер', 'борт', 'выбрасывать', 'княжна', 'палуба', 'экипаж']
n_topics_7	n_topic_1	['сын', 'жизнь', 'время', 'новый', 'друг', 'человек', 'дочь', 'жена', 'барыня', 'дом']	['человек', 'жизнь', '   \n', 'время', 'друг', 'дом', 'отец', 'становиться', 'сын', 'муж']
n_topics_7	n_topic_2	['князь', 'время', 'дом', 'человек', 'день', 'начинать', '   \n', 'друг', 'становиться', 'год']	['князь', 'димитрий', 'татарин', 'княгиня', 'княжна', 'воин', 'актриса', 'письмо', 'никандр', 'генеральша']
n_topics_7	n_topic_3	['человек', 'день', 'ребенок', 'становиться', 'время', 'дом', 'видеть', 'сон', 'отец', ' ']	['царь', 'конь', ' ', 'царевич', 'иван', 'царица', 'конек', 'брат', 'кит', 'поехать']
n_topics_7	n_topic_4	['человек', 'становиться', 'время', 'отец', 'друг', 'год', '   \n', 'любить', 'дело', 'жизнь']	['рассказчик', 'подробно', 'читать', 'охота', '   \n', 'познакомиться', 'сосед', 'чертопханов', 'шоколад', 'лекция']
n_topics_7	n_topic_5	['день', '   \n', 'князь', 'княжна', 'деньги', 'решать', 'русский', 'начинать', 'идти', 'говорить']	['вася', 'кукла', 'замок', 'часовня', 'мальчик', 'судья', 'подземелье', 'отец', 'маруся', 'общество']
n_topics_7	n_topic_6	['человек', 'князь', 'время', 'жизнь', 'год', 'город', 'брат', 'отец', '   \n', 'друг']	['барон', 'матрос', 'пес', 'офицер', 'борт', 'палуба', 'выбрасывать', 'экипаж', 'мичман', 'куцый']
n_topics_7	n_topic_7	['человек', 'время', 'день', 'жизнь', 'деньги', 'становиться', '   \n', 'год', 'давать', 'город']	['повесть', 'герой', '„', 'идеальный', 'ситуация', 'выгода', 'умно', 'автор', 'наш', 'противник']
n_topics_8	n_topic_1	['сын', 'жизнь', 'новый', 'время', 'друг', 'барыня', 'дочь', 'жена', 'человек', 'дом']	['человек', 'жизнь', '   \n', 'время', 'друг', 'дом', 'отец', 'становиться', 'сын', 'муж']
