		lda	nmf
n_topics_5	n_topic_1	['время', 'человек', 'становиться', 'дело', 'герой', 'жизнь', 'задача', 'капитан', 'день', 'год']	['глория', 'мать', 'девушка', 'жена', 'сын', 'подруга', 'отец', 'жить', 'человек', 'уходить']
n_topics_5	n_topic_2	['человек', 'баба', 'становиться', 'время', 'ночь', 'жизнь', 'понимать', 'день', 'рассказывать', 'жить']	['герой', 'друг', 'автор', 'жизнь', 'клуб', 'шоу', 'канал', 'гвоздь', 'распинать', 'деньги']
n_topics_5	n_topic_3	['человек', 'станция', 'время', 'становиться', 'черный', 'метро', 'жизнь', 'задача', 'сотрудник', 'считать']	['станция', 'метро', 'тоннель', 'сталкер', 'черный', 'поверхность', 'парень', 'брамин', 'тварь', 'переход']
n_topics_5	n_topic_4	['герой', 'человек', 'время', 'становиться', 'жизнь', 'друг', 'понимать', 'год', 'день', 'задача']	['задача', 'сотрудник', 'менеджер', 'время', 'человек', 'раздел', 'планирование', 'ключевой', 'нужно', 'использовать']
n_topics_5	n_topic_5	['человек', 'герой', 'время', 'жизнь', 'становиться', 'друг', 'год', 'жить', 'понимать', 'день']	['рассказчица', 'дядя', 'курица', 'яйцо', 'хозяйка', 'дача', 'клубника', 'жадный', 'надолго', 'дом']
n_topics_6	n_topic_1	['время', 'человек', 'герой', 'дело', 'жизнь', 'жить', 'идти', 'становиться', 'год', 'сын']	['глория', 'девушка', 'мать', 'подруга', 'отец', 'автодом', 'бабушка', 'вечеринка', 'наркотик', 'парень']
n_topics_6	n_topic_2	['время', 'баба', 'ночь', 'понимать', 'день', 'сын', 'жить', 'становиться', 'жизнь', 'человек']	['герой', 'друг', 'жизнь', 'автор', 'шоу', 'клуб', 'канал', 'девушка', 'деньги', 'человек']
n_topics_6	n_topic_3	['человек', 'время', 'жизнь', 'становиться', 'жена', 'день', 'новый', 'героиня', 'девушка', 'должный']	['задача', 'сотрудник', 'менеджер', 'время', 'человек', 'нужно', 'планирование', 'раздел', 'ключевой', 'использовать']
n_topics_6	n_topic_4	['герой', 'друг', 'время', 'человек', 'жизнь', 'год', 'понимать', 'хотеть', 'день', 'становиться']	['баба', 'бабуля', 'внук', 'кричать', 'карточка', 'ночь', 'прикрикивать', 'желудь', 'снова', 'голодать']
n_topics_6	n_topic_5	['герой', 'друг', 'девушка', 'глория', 'жизнь', 'отец', 'жить', 'человек', 'хотеть', 'время']	['рассказчица', 'дядя', 'курица', 'яйцо', 'хозяйка', 'дача', 'жадный', 'клубника', 'надолго', 'дом']
n_topics_6	n_topic_6	['человек', 'время', 'становиться', 'жизнь', 'герой', 'год', 'день', 'понимать', 'жить', 'работа']	['дед', 'лева', 'внук', 'человек', 'дядя', 'кольцо', 'обнаруживать', 'ссылка', 'институт', 'мир']
n_topics_7	n_topic_1	['время', 'человек', 'герой', 'дело', 'жить', 'жизнь', 'идти', 'становиться', 'год', 'задача']	['глория', 'девушка', 'мать', 'подруга', 'отец', 'автодом', 'бабушка', 'вечеринка', 'наркотик', 'парень']
n_topics_7	n_topic_2	['время', 'понимать', 'акт', 'ночь', 'день', 'баба', 'несколько', 'дуэль', 'рассказывать', 'снова']	['герой', 'друг', 'жизнь', 'автор', 'шоу', 'клуб', 'канал', 'девушка', 'деньги', 'распинать']
n_topics_7	n_topic_3	['человек', 'время', 'жизнь', 'становиться', 'жена', 'день', 'новый', 'задача', 'героиня', 'лежать']	['станция', 'метро', 'тоннель', 'сталкер', 'черный', 'поверхность', 'парень', 'брамин', 'тварь', 'переход']
n_topics_7	n_topic_4	['герой', 'время', 'человек', 'друг', 'год', 'жизнь', 'понимать', 'день', 'хотеть', 'становиться']	['рассказчица', 'дядя', 'курица', 'яйцо', 'хозяйка', 'дача', 'жадный', 'клубника', 'надолго', 'дом']
n_topics_7	n_topic_5	['герой', 'девушка', 'глория', 'друг', 'жизнь', 'отец', 'жить', 'опричник', 'мать', 'человек']	['задача', 'сотрудник', 'время', 'менеджер', 'раздел', 'планирование', 'ключевой', 'человек', 'использовать', 'жесткий']
n_topics_7	n_topic_6	['человек', 'время', 'жизнь', 'становиться', 'герой', 'год', 'понимать', 'день', 'жить', 'работа']	['баба', 'бабуля', 'внук', 'кричать', 'карточка', 'ночь', 'прикрикивать', 'желудь', 'снова', 'голодать']
n_topics_7	n_topic_7	['герой', 'жизнь', 'жить', 'друг', 'человек', 'сын', 'баба', 'становиться', 'время', 'работа']	['героиня', 'оборотень', 'хулить', 'лиса', 'сверхоборотень', 'волк', 'хвост', 'генерал', 'курица', 'девушка']
n_topics_8	n_topic_1	['время', 'человек', 'дело', 'герой', 'идти', 'капитан', 'жизнь', 'жить', 'год', 'задача']	['глория', 'девушка', 'мать', 'подруга', 'отец', 'автодом', 'бабушка', 'вечеринка', 'наркотик', 'парень']
n_topics_8	n_topic_2	['время', 'акт', 'дуэль', 'сверхоборотень', 'согласие', 'понимать', 'исследователь', 'ночь', 'потребовать', 'несколько']	['герой', 'друг', 'жизнь', 'автор', 'шоу', 'клуб', 'канал', 'девушка', 'деньги', 'человек']
n_topics_8	n_topic_3	['человек', 'время', 'становиться', 'жизнь', 'героиня', 'задача', 'день', 'приезжать', 'жена', 'лежать']	['задача', 'сотрудник', 'менеджер', 'время', 'человек', 'нужно', 'планирование', 'раздел', 'ключевой', 'использовать']
n_topics_8	n_topic_4	['герой', 'время', 'человек', 'друг', 'год', 'день', 'жизнь', 'хотеть', 'понимать', 'чудо']	['рассказчица', 'дядя', 'курица', 'хозяйка', 'дача', 'яйцо', 'клубника', 'жадный', 'надолго', 'дом']
