		lda	nmf
n_topics_5	n_topic_1	['труд', 'человек', 'страна', 'оказываться', 'товар', 'должный', 'цена', 'общество', 'разделение', 'время']	['орра', 'сон', 'мост', 'поезд', 'доктор', 'инженер', 'ощущать', 'телевизор', 'фельдмаршал', 'платок']
n_topics_5	n_topic_2	['орра', 'время', 'доктор', 'человек', 'рентс', 'жизнь', 'сон', 'понимать', 'друг', 'отец']	['король', 'де', 'герцог', 'цыган', 'ла', 'монастырь', 'графиня', 'горожанин', 'епископ', 'граф']
n_topics_5	n_topic_3	['король', 'де', 'замок', 'рыцарь', 'сэр', 'герцог', 'время', 'монастырь', 'юноша', 'ла']	['роман', 'герой', 'клинкер', 'повествование', 'несомненно', 'вполне', 'момент', 'весьма', 'описывать', 'человек']
n_topics_5	n_topic_4	['роман', 'человек', 'герой', 'время', 'труд', 'отец', 'оказываться', 'становиться', 'друг', 'ребенок']	['мальчишка', 'пират', 'фея', 'остров', 'капитан', 'ребенок', 'венди', 'окно', 'прилетать', 'миссис']
n_topics_5	n_topic_5	['доктор', 'сэр', 'друг', 'мистер', 'письмо', 'человек', 'оказываться', 'кабинет', 'дверь', 'пират']	['труд', 'капитал', 'плата', 'заработный', 'товар', 'цена', 'разделение', 'стоимость', 'продукт', 'рынок']
n_topics_6	n_topic_1	['труд', 'человек', 'оказываться', 'друг', 'должный', 'становиться', 'страна', 'жизнь', 'время', 'доктор']	['орра', 'сон', 'мост', 'поезд', 'доктор', 'инженер', 'ощущать', 'телевизор', 'фельдмаршал', 'платок']
n_topics_6	n_topic_2	['орра', 'рентс', 'человек', 'доктор', 'время', 'жизнь', 'сон', 'понимать', 'друг', 'мост']	['король', 'де', 'герцог', 'цыган', 'ла', 'монастырь', 'графиня', 'горожанин', 'епископ', 'граф']
n_topics_6	n_topic_3	['король', 'де', 'герцог', 'рыцарь', 'замок', 'монастырь', 'ла', 'цыган', 'время', 'юноша']	['роман', 'герой', 'клинкер', 'повествование', 'несомненно', 'вполне', 'момент', 'весьма', 'описывать', 'человек']
n_topics_6	n_topic_4	['роман', 'человек', 'время', 'герой', 'отец', 'оказываться', 'становиться', 'друг', 'жизнь', 'ребенок']	['мальчишка', 'пират', 'фея', 'остров', 'капитан', 'ребенок', 'венди', 'окно', 'прилетать', 'миссис']
n_topics_6	n_topic_5	['доктор', 'друг', 'мистер', 'человек', 'кабинет', 'письмо', 'пират', 'оказываться', 'дверь', 'увидеть']	['ф', 'отец', 'ловушка', 'мужской', 'ребенок', 'убивать', 'сол', 'циферблат', 'червь', 'запускать']
n_topics_6	n_topic_6	['сэр', 'труд', 'капитал', 'общество', 'плата', 'заработный', 'товар', 'время', 'человек', 'письмо']	['труд', 'капитал', 'плата', 'заработный', 'товар', 'цена', 'разделение', 'стоимость', 'продукт', 'рынок']
n_topics_7	n_topic_1	['друг', 'рентс', 'становиться', 'оказываться', 'человек', 'жизнь', 'время', 'доктор', 'должный', 'личность']	['орра', 'сон', 'мост', 'поезд', 'доктор', 'инженер', 'ощущать', 'телевизор', 'фельдмаршал', 'платок']
n_topics_7	n_topic_2	['доктор', 'человек', 'друг', 'время', 'орра', 'жизнь', 'понимать', 'становиться', 'оказываться', 'находить']	['король', 'де', 'герцог', 'цыган', 'ла', 'монастырь', 'графиня', 'граф', 'горожанин', 'епископ']
n_topics_7	n_topic_3	['король', 'де', 'герцог', 'рыцарь', 'замок', 'монастырь', 'ла', 'цыган', 'юноша', 'принц']	['роман', 'герой', 'клинкер', 'повествование', 'несомненно', 'вполне', 'момент', 'весьма', 'описывать', 'человек']
