		lda	nmf
n_topics_5	n_topic_1	['заинтересовываться', 'человек', 'высокоученый', 'народ', 'иной', 'прокармливаться', 'исландец', 'трудно', 'предложение', 'заново']	
n_topics_5	n_topic_2	['дело', 'время', 'арнэус', 'человек', 'конец', 'становиться', 'судьба', 'король', 'муж', 'датский']	
n_topics_5	n_topic_3	['странствие', 'окончательный', 'переход', 'возлюбленный', 'новое', 'отсутствие', 'достоинство', 'готовый', 'охранный', 'проходить']	
n_topics_5	n_topic_4	['дело', 'приговаривать', 'исландец', 'судья', 'добиваться', 'судьба', 'главный', 'прошлое', 'право', 'приговор']	
n_topics_5	n_topic_5	['умерший', 'снова', 'разбирательство', 'добиваться', 'хороший', 'угроза', 'приводить', 'ученый', 'иметь', 'хотеть']	
n_topics_6	n_topic_1	['заинтересовываться', 'человек', 'высокоученый', 'народ', 'иной', 'исландец', 'прокармливаться', 'трудно', 'предложение', 'заново']	
n_topics_6	n_topic_2	['дело', 'время', 'арнэус', 'человек', 'конец', 'становиться', 'король', 'судьба', 'датский', 'муж']	
n_topics_6	n_topic_3	['странствие', 'окончательный', 'переход', 'возлюбленный', 'новое', 'отсутствие', 'достоинство', 'готовый', 'охранный', 'проходить']	
n_topics_6	n_topic_4	['дело', 'исландец', 'приговаривать', 'судья', 'судьба', 'добиваться', 'главный', 'прошлое', 'право', 'приговор']	
n_topics_6	n_topic_5	['умерший', 'снова', 'разбирательство', 'добиваться', 'арнэус', 'хороший', 'иметь', 'угроза', 'приводить', 'ученый']	
n_topics_6	n_topic_6	['горбунья', 'понимать', 'разражаться', 'облегчать', 'фрагмент', 'арнэус', 'удаваться', 'добиваться', 'xvi', 'вина']	
n_topics_7	n_topic_1	['заинтересовываться', 'высокоученый', 'прокармливаться', 'народ', 'трудно', 'иной', 'человек', 'заново', 'посвящать', 'нещадный']	
n_topics_7	n_topic_2	['дело', 'время', 'арнэус', 'человек', 'конец', 'становиться', 'судьба', 'король', 'датский', 'муж']	
n_topics_7	n_topic_3	['странствие', 'окончательный', 'переход', 'возлюбленный', 'отсутствие', 'новое', 'достоинство', 'готовый', 'охранный', 'проходить']	
n_topics_7	n_topic_4	['дело', 'исландец', 'приговаривать', 'судья', 'судьба', 'добиваться', 'главный', 'прошлое', 'право', 'приговор']	
n_topics_7	n_topic_5	['умерший', 'снова', 'разбирательство', 'хороший', 'добиваться', 'угроза', 'приводить', 'ученый', 'иметь', 'хотеть']	
n_topics_7	n_topic_6	['горбунья', 'понимать', 'арнэус', 'разражаться', 'облегчать', 'фрагмент', 'удаваться', 'добиваться', 'конец', 'xvi']	
n_topics_7	n_topic_7	['следующий', 'заточать', 'исландец', 'чей', 'стаскивать', 'государство', 'рекламыйоун', 'назначение', 'результат', 'жена']	
n_topics_8	n_topic_1	['заинтересовываться', 'прокармливаться', 'высокоученый', 'трудно', 'народ', 'иной', 'заново', 'посвящать', 'унижение', 'например']	
n_topics_8	n_topic_2	['дело', 'время', 'арнэус', 'человек', 'конец', 'становиться', 'судьба', 'король', 'муж', 'датский']	
n_topics_8	n_topic_3	['странствие', 'окончательный', 'переход', 'возлюбленный', 'отсутствие', 'новое', 'достоинство', 'готовый', 'охранный', 'область']	
n_topics_8	n_topic_4	['дело', 'приговаривать', 'исландец', 'судья', 'добиваться', 'главный', 'право', 'прошлое', 'приговор', 'судьба']	
n_topics_8	n_topic_5	['умерший', 'снова', 'разбирательство', 'добиваться', 'хороший', 'угроза', 'приводить', 'ученый', 'иметь', 'хотеть']	
n_topics_8	n_topic_6	['горбунья', 'понимать', 'разражаться', 'фрагмент', 'облегчать', 'удаваться', 'xvi', 'арнэус', 'добиваться', 'вина']	
n_topics_8	n_topic_7	['следующий', 'заточать', 'чей', 'исландец', 'стаскивать', 'государство', 'рекламыйоун', 'назначение', 'результат', 'жена']	
n_topics_8	n_topic_8	['помогать', 'разворачиваться', 'окончательный', 'утренний', 'высокоученый', 'слушаться', 'муж', 'достоинство', 'поступок', 'терпеть']	
n_topics_9	n_topic_1	['заинтересовываться', 'высокоученый', 'прокармливаться', 'трудно', 'народ', 'иной', 'заново', 'посвящать', 'человек', 'нещадный']	
n_topics_9	n_topic_2	['дело', 'время', 'арнэус', 'человек', 'конец', 'король', 'становиться', 'судьба', 'датский', 'муж']	
n_topics_9	n_topic_3	['странствие', 'окончательный', 'переход', 'возлюбленный', 'новое', 'отсутствие', 'достоинство', 'охранный', 'готовый', 'проходить']	
n_topics_9	n_topic_4	['дело', 'приговаривать', 'исландец', 'судья', 'судьба', 'добиваться', 'главный', 'прошлое', 'право', 'приговор']	
n_topics_9	n_topic_5	['умерший', 'снова', 'разбирательство', 'добиваться', 'хороший', 'угроза', 'приводить', 'иметь', 'арнэус', 'ученый']	
n_topics_9	n_topic_6	['горбунья', 'арнэус', 'понимать', 'разражаться', 'облегчать', 'удаваться', 'фрагмент', 'добиваться', 'конец', 'становиться']	
n_topics_9	n_topic_7	['следующий', 'заточать', 'чей', 'стаскивать', 'государство', 'исландец', 'рекламыйоун', 'назначение', 'результат', 'жена']	
n_topics_9	n_topic_8	['помогать', 'разворачиваться', 'окончательный', 'утренний', 'высокоученый', 'слушаться', 'достоинство', 'муж', 'поступок', 'терпеть']	
n_topics_9	n_topic_9	['xvi', 'гордый', 'день', 'крест', 'встречаться', 'высокоученый', 'опасаться', 'удаваться', 'сбрасывать', 'кишеть']	
n_topics_10	n_topic_1	['заинтересовываться', 'высокоученый', 'народ', 'иной', 'прокармливаться', 'человек', 'трудно', 'заново', 'исландец', 'посвящать']	
n_topics_10	n_topic_2	['дело', 'время', 'датский', 'арнэус', 'герой', 'человек', 'король', 'исландский', 'отец', 'конец']	
n_topics_10	n_topic_3	['странствие', 'окончательный', 'переход', 'возлюбленный', 'отсутствие', 'новое', 'достоинство', 'готовый', 'охранный', 'область']	
n_topics_10	n_topic_4	['дело', 'время', 'судьба', 'арнэус', 'человек', 'исландец', 'становиться', 'конец', 'муж', 'король']	
n_topics_10	n_topic_5	['умерший', 'снова', 'разбирательство', 'добиваться', 'хороший', 'угроза', 'приводить', 'арнэус', 'иметь', 'ученый']	
n_topics_10	n_topic_6	['горбунья', 'понимать', 'разражаться', 'фрагмент', 'облегчать', 'удаваться', 'xvi', 'вина', 'арнэус', 'добиваться']	
n_topics_10	n_topic_7	['следующий', 'заточать', 'исландец', 'чей', 'стаскивать', 'государство', 'рекламыйоун', 'назначение', 'жена', 'результат']	
n_topics_10	n_topic_8	['помогать', 'разворачиваться', 'окончательный', 'утренний', 'высокоученый', 'слушаться', 'достоинство', 'поступок', 'терпеть', 'муж']	
n_topics_10	n_topic_9	['xvi', 'гордый', 'день', 'крест', 'встречаться', 'опасаться', 'высокоученый', 'сбрасывать', 'кишеть', 'благо']	
n_topics_10	n_topic_10	['муж', 'веревка', 'конец', 'несколько', 'хороший', 'кусок', 'представляться', 'исландец', 'судебный', 'приказывать']	
n_topics_11	n_topic_1	['заинтересовываться', 'высокоученый', 'прокармливаться', 'трудно', 'народ', 'иной', 'заново', 'посвящать', 'нещадный', 'унижение']	
n_topics_11	n_topic_2	['дело', 'время', 'арнэус', 'человек', 'конец', 'король', 'становиться', 'судьба', 'датский', 'муж']	
n_topics_11	n_topic_3	['странствие', 'окончательный', 'переход', 'возлюбленный', 'отсутствие', 'новое', 'достоинство', 'готовый', 'охранный', 'область']	
n_topics_11	n_topic_4	['дело', 'исландец', 'приговаривать', 'судья', 'судьба', 'добиваться', 'прошлое', 'главный', 'право', 'приговор']	
n_topics_11	n_topic_5	['умерший', 'снова', 'разбирательство', 'хороший', 'добиваться', 'угроза', 'приводить', 'ученый', 'хотеть', 'иметь']	
n_topics_11	n_topic_6	['горбунья', 'понимать', 'разражаться', 'фрагмент', 'облегчать', 'арнэус', 'удаваться', 'xvi', 'добиваться', 'вина']	
n_topics_11	n_topic_7	['следующий', 'исландец', 'заточать', 'чей', 'стаскивать', 'государство', 'дело', 'рекламыйоун', 'жена', 'назначение']	
n_topics_11	n_topic_8	['помогать', 'разворачиваться', 'окончательный', 'утренний', 'высокоученый', 'слушаться', 'достоинство', 'поступок', 'терпеть', 'страдание']	
n_topics_11	n_topic_9	['xvi', 'гордый', 'день', 'крест', 'встречаться', 'опасаться', 'высокоученый', 'сбрасывать', 'кишеть', 'благо']	
n_topics_11	n_topic_10	['муж', 'конец', 'исландец', 'веревка', 'человек', 'несколько', 'отец', 'хороший', 'судебный', 'судьба']	
n_topics_11	n_topic_11	['луч', 'женщина', 'высокоученый', 'государство', 'кроме', 'уважение', 'собственный', 'история', 'однако', 'пастор']	
n_topics_12	n_topic_1	['заинтересовываться', 'прокармливаться', 'высокоученый', 'трудно', 'народ', 'иной', 'заново', 'посвящать', 'унижение', 'нещадный']	
n_topics_12	n_topic_2	['дело', 'время', 'арнэус', 'человек', 'конец', 'король', 'становиться', 'судьба', 'датский', 'муж']	
