		lda	nmf
n_topics_5	n_topic_1	['учитель', 'немец', 'андрей', 'лобанович', 'год', 'хутор', 'человек', 'решать', 'полицай', 'жизнь']	['немец', 'увидеть', 'алеша', 'телега', 'власовец', 'рука', 'становиться', 'наст', 'дорога', 'белый']
n_topics_5	n_topic_2	['немец', 'дорога', 'становиться', 'человек', 'увидеть', 'стоять', 'деревня', 'голова', 'школа', 'подумать']	['учитель', 'андрей', 'лобанович', 'друг', 'вскоре', 'ученик', 'экзамен', 'крестьянин', 'год', 'считать']
n_topics_5	n_topic_3	['немец', 'увидеть', 'дорога', 'человек', 'становиться', 'деревня', 'рука', 'идти', 'нога', 'полицай']	['каратель', 'поселок', 'уничтожение', 'полицай', 'женщина', 'немец', 'рота', '   \n', 'яма', 'глава']
n_topics_5	n_topic_4	['немец', 'лобанович', 'учитель', 'деревня', 'комиссар', 'стоять', 'жизнь', 'отец', 'палата', ' ']	['степанида', 'бомба', 'полицай', 'хутор', 'немец', 'старик', 'истопка', 'самогон', 'скрипка', 'комбед']
n_topics_5	n_topic_5	['немец', 'идти', 'деревня', 'увидеть', 'день', 'полицай', 'рука', 'дорога', 'снова', 'год']	['следователь', '  \n', 'подвал', 'рыбак', 'сотников', 'полицай', 'лопата', 'полиция', 'отвечать', 'сказать']
n_topics_6	n_topic_1	['человек', 'учитель', 'немец', 'год', 'решать', 'жизнь', 'полицай', 'хутор', 'андрей', 'лобанович']	['немец', 'увидеть', 'алеша', 'телега', 'власовец', 'рука', 'наст', 'белый', 'махорка', 'почувствовать']
n_topics_6	n_topic_2	['дорога', 'становиться', 'деревня', 'немец', 'человек', 'стоять', 'увидеть', 'голова', 'школа', 'учитель']	['учитель', 'андрей', 'лобанович', 'друг', 'вскоре', 'ученик', 'экзамен', 'крестьянин', 'год', 'считать']
n_topics_6	n_topic_3	['немец', 'школа', 'полицай', 'учитель', 'человек', 'идти', 'война', 'год', 'журналист', 'оказываться']	['каратель', 'поселок', 'уничтожение', 'полицай', 'женщина', 'немец', 'рота', '   \n', 'яма', 'глава']
n_topics_6	n_topic_4	['немец', 'лобанович', 'учитель', 'стоять', 'деревня', 'жизнь', 'комиссар', 'отец', ' ', 'журналист']	['степанида', 'бомба', 'полицай', 'хутор', 'немец', 'старик', 'истопка', 'самогон', 'скрипка', 'комбед']
n_topics_6	n_topic_5	['немец', 'идти', 'полицай', 'деревня', 'день', 'снова', 'год', 'приходить', 'дорога', 'опаздывать']	['следователь', '  \n', 'подвал', 'рыбак', 'сотников', 'полицай', 'полиция', 'лопата', 'отвечать', 'сказать']
