		lda	nmf
n_topics_5	n_topic_1	['достаточно', 'жить', 'феридя', 'юный', 'девочка', 'покровитель', 'семейный', 'выдавать', 'роман', 'душевный']	
n_topics_5	n_topic_2	['женщина', 'феридя', 'получать', 'жениться', 'приходить', 'пакет', 'девочка', 'семья', 'письмо', 'горе']	
n_topics_5	n_topic_3	['отремонтировать', 'ждать', 'директриса', 'местный', 'жить', 'человек', 'девочка', 'сбегать', 'новый', 'кямран']	
n_topics_5	n_topic_4	['желать', 'жена', 'возмущать', 'долго', 'вылечивать', 'продукт', 'человек', 'город', 'глава', 'законный']	
n_topics_5	n_topic_5	['школа', 'феридя', 'девушка', 'жить', 'приходить', 'понимать', 'кузина', 'красивый', 'кямран', 'роман']	
n_topics_6	n_topic_1	['достаточно', 'жить', 'феридя', 'девочка', 'юный', 'роман', 'покровитель', 'семейный', 'выдавать', 'случайно']	
n_topics_6	n_topic_2	['женщина', 'жениться', 'горе', 'пакет', 'избивать', 'феридя', 'обещать', 'получать', 'клятва', 'семья']	
n_topics_6	n_topic_3	['отремонтировать', 'ждать', 'местный', 'жить', 'директриса', 'человек', 'девочка', 'сбегать', 'кямран', 'новый']	
n_topics_6	n_topic_4	['желать', 'возмущать', 'долго', 'жена', 'вылечивать', 'продукт', 'глава', 'законный', 'серьезный', 'неравнодушный']	
n_topics_6	n_topic_5	['школа', 'феридя', 'девушка', 'приходить', 'понимать', 'жить', 'кузина', 'красивый', 'кямран', 'роман']	
n_topics_6	n_topic_6	['феридя', 'честь', 'человек', 'ветка', 'жениться', 'школа', 'отпускать', 'дневник', 'необыкновенный', 'закон']	
n_topics_7	n_topic_1	['достаточно', 'жить', 'феридя', 'покровитель', 'юный', 'семейный', 'выдавать', 'девочка', 'душевный', 'падчерица']	
n_topics_7	n_topic_2	['горе', 'избивать', 'обещать', 'жениться', 'клятва', 'женщина', 'средневековый', 'училище', 'пакет', 'офицер']	
n_topics_7	n_topic_3	['отремонтировать', 'директриса', 'ждать', 'сбегать', 'местный', 'зависть', 'громко', 'новый', 'французский', 'черный']	
n_topics_7	n_topic_4	['желать', 'возмущать', 'долго', 'жена', 'вылечивать', 'продукт', 'глава', 'серьезный', 'законный', 'неравнодушный']	
n_topics_7	n_topic_5	['житель', 'кузина', 'школа', 'лейтенант', 'узнавать', 'первый', 'вскоре', 'грязный', 'оказываться', 'семья']	
n_topics_7	n_topic_6	['школа', 'феридя', 'жить', 'девушка', 'приходить', 'понимать', 'женщина', 'девочка', 'красивый', 'человек']	
n_topics_7	n_topic_7	['слово', 'просто', 'грязный', 'вакансия', 'пользоваться', 'считать', 'любимый', 'известно', 'разбалтывать', 'цель']	
n_topics_8	n_topic_1	['достаточно', 'жить', 'феридя', 'девочка', 'юный', 'покровитель', 'семейный', 'выдавать', 'роман', 'случайно']	
n_topics_8	n_topic_2	['жениться', 'горе', 'избивать', 'женщина', 'обещать', 'клятва', 'средневековый', 'пакет', 'офицер', 'училище']	
n_topics_8	n_topic_3	['отремонтировать', 'ждать', 'директриса', 'местный', 'сбегать', 'человек', 'девочка', 'новый', 'жить', 'зависть']	
n_topics_8	n_topic_4	['желать', 'возмущать', 'долго', 'жена', 'вылечивать', 'продукт', 'глава', 'серьезный', 'законный', 'неравнодушный']	
n_topics_8	n_topic_5	['житель', 'кузина', 'школа', 'лейтенант', 'первый', 'грязный', 'вскоре', 'оказываться', 'случайно', 'учеба']	
n_topics_8	n_topic_6	['школа', 'феридя', 'жить', 'понимать', 'девочка', 'девушка', 'человек', 'приходить', 'женщина', 'неожиданно']	
n_topics_8	n_topic_7	['слово', 'просто', 'грязный', 'вакансия', 'пользоваться', 'считать', 'любимый', 'известно', 'разбалтывать', 'цель']	
n_topics_8	n_topic_8	['красивый', 'роман', 'самый', 'тетя', 'узнавать', 'приходить', 'ждать', 'приезжать', 'женщина', 'феридя']	
