		lda	nmf
n_topics_5	n_topic_1	['посылать', 'становиться', 'горизонт', 'витязь', 'гость', 'поиск', 'друг', 'звать', 'рассказывать', 'встречать']	
n_topics_5	n_topic_2	['витязь', 'день', 'царь', 'друг', 'престол', 'дева', 'воин', 'отправляться', 'возлюбленная', 'страна']	
n_topics_5	n_topic_3	['дева', 'обязанность', 'море', 'день', 'ночь', 'львенок', 'раб', 'ибо', 'мука', 'единственный']	
n_topics_5	n_topic_4	['друг', 'день', 'царь', 'возлюбленная', 'одежда', 'конец', 'степь', 'незнакомец', 'сватовство', 'гроза']	
n_topics_5	n_topic_5	['поделить', 'путь', 'десять', 'поспешить', 'выполнять', 'исходить', 'пламень', 'скрываться', 'письмо', 'правитель']	
n_topics_6	n_topic_1	['посылать', 'становиться', 'горизонт', 'витязь', 'гость', 'поиск', 'звать', 'любовь', 'встречать', 'раб']	
n_topics_6	n_topic_2	['витязь', 'царь', 'день', 'друг', 'престол', 'дева', 'воин', 'отправляться', 'возлюбленная', 'дочь']	
n_topics_6	n_topic_3	['дева', 'день', 'море', 'обязанность', 'ночь', 'раб', 'львенок', 'страна', 'ибо', 'мука']	
n_topics_6	n_topic_4	['друг', 'день', 'царь', 'возлюбленная', 'витязь', 'прекрасный', 'великий', 'шкура', 'одежда', 'посылать']	
n_topics_6	n_topic_5	['поделить', 'путь', 'десять', 'поспешить', 'выполнять', 'исходить', 'пламень', 'скрываться', 'письмо', 'старец']	
n_topics_6	n_topic_6	['мул', 'воротиться', 'рассказывать', 'двинуться', 'воин', 'находить', 'благополучно', 'послание', 'отблагодарить', 'лишаться']	
n_topics_7	n_topic_1	['посылать', 'горизонт', 'становиться', 'поиск', 'витязь', 'гость', 'друг', 'звать', 'раб', 'любовь']	
n_topics_7	n_topic_2	['враг', 'уговоры', 'воин', 'продолжать', 'путь', 'аравийский', 'царь', 'витязь', 'поиск', 'престол']	
n_topics_7	n_topic_3	['дева', 'обязанность', 'море', 'ночь', 'день', 'львенок', 'раб', 'ибо', 'мука', 'единственный']	
n_topics_7	n_topic_4	['друг', 'возлюбленная', 'царь', 'день', 'одежда', 'конец', 'степь', 'сватовство', 'незнакомец', 'гроза']	
n_topics_7	n_topic_5	['поделить', 'путь', 'десять', 'поспешить', 'выполнять', 'исходить', 'пламень', 'скрываться', 'письмо', 'правитель']	
n_topics_7	n_topic_6	['мул', 'воротиться', 'двинуться', 'благополучно', 'отблагодарить', 'послание', 'лишаться', 'находить', 'отсылать', 'рассказывать']	
n_topics_7	n_topic_7	['витязь', 'день', 'царь', 'друг', 'дева', 'воин', 'отправляться', 'рассказывать', 'престол', 'страна']	
n_topics_8	n_topic_1	['горизонт', 'посылать', 'становиться', 'гость', 'возвращение', 'звать', 'светлолицый', 'любовь', 'чаща', 'обязанность']	
n_topics_8	n_topic_2	['витязь', 'день', 'царь', 'друг', 'престол', 'дева', 'возлюбленная', 'отправляться', 'воин', 'страна']	
n_topics_8	n_topic_3	['обязанность', 'ночь', 'дева', 'море', 'львенок', 'ибо', 'овладевать', 'восшествие', 'завещание', 'единственный']	
n_topics_8	n_topic_4	['друг', 'одежда', 'конец', 'степь', 'сватовство', 'возлюбленная', 'гроза', 'юноша', 'незнакомец', 'день']	
n_topics_8	n_topic_5	['поделить', 'путь', 'десять', 'поспешить', 'выполнять', 'исходить', 'пламень', 'скрываться', 'письмо', 'старец']	
n_topics_8	n_topic_6	['мул', 'воротиться', 'двинуться', 'послание', 'благополучно', 'отблагодарить', 'находить', 'рассказывать', 'лишаться', 'воин']	
n_topics_8	n_topic_7	['воин', 'рассказывать', 'великий', 'день', 'витязь', 'становиться', 'прекрасный', 'дева', 'встречать', 'фигура']	
n_topics_8	n_topic_8	['прекрасный', 'правитель', 'также', 'туман', 'платье', 'сражаться', 'появляться', 'лев', 'затем', 'некий']	
n_topics_9	n_topic_1	['горизонт', 'посылать', 'гость', 'возвращение', 'чаща', 'звать', 'обязанность', 'становиться', 'светлолицый', 'сцена']	
n_topics_9	n_topic_2	['уговоры', 'враг', 'воин', 'продолжать', 'путь', 'аравийский', 'двор', 'разлука', 'укрываться', 'исполнять']	
