		lda	nmf
n_topics_5	n_topic_1	['вперед', 'юноша', 'работать', 'колдовство', 'просьба', 'середина', 'давать', 'незнакомый', 'портовый', 'избранный']	
n_topics_5	n_topic_2	['девушка', 'юноша', 'люто', 'расцветать', 'страсть', 'дикий', 'дома', 'жизнь', 'прийти', 'ибо']	
n_topics_5	n_topic_3	['любовь', 'юноша', 'муж', 'мать', 'думать', 'маг', 'изумруд', 'лес', 'скромный', 'стезя']	
n_topics_5	n_topic_4	['муж', 'жизнь', 'мать', 'страсть', 'однако', 'конец', 'душа', 'смерть', 'кулинарный', 'никто']	
n_topics_5	n_topic_5	['юноша', 'девушка', 'деньги', 'становиться', 'хотеть', 'человек', 'любовь', 'ночь', 'англичанин', 'пустыня']	
n_topics_6	n_topic_1	['вперед', 'работать', 'колдовство', 'юноша', 'просьба', 'середина', 'незнакомый', 'портовый', 'давать', 'избранный']	
n_topics_6	n_topic_2	['девушка', 'люто', 'юноша', 'расцветать', 'дикий', 'драться', 'дома', 'прийти', 'поиск', 'разрешать']	
n_topics_6	n_topic_3	['любовь', 'юноша', 'маг', 'изумруд', 'лес', 'думать', 'приносить', 'ныне', 'мать', 'стезя']	
n_topics_6	n_topic_4	['муж', 'жизнь', 'мать', 'страсть', 'однако', 'конец', 'ночь', 'душа', 'кулинарный', 'смерть']	
n_topics_6	n_topic_5	['юноша', 'девушка', 'деньги', 'становиться', 'хотеть', 'человек', 'англичанин', 'любовь', 'ночь', 'пустыня']	
n_topics_6	n_topic_6	['муж', 'уснуть', 'невидимый', 'находить', 'жизнь', 'покидать', 'фармацевт', 'сдержанность', 'просить', 'характер']	
n_topics_7	n_topic_1	['вперед', 'юноша', 'колдовство', 'работать', 'просьба', 'середина', 'незнакомый', 'портовый', 'избранный', 'давать']	
n_topics_7	n_topic_2	['люто', 'девушка', 'юноша', 'расцветать', 'дикий', 'дома', 'прийти', 'драться', 'поиск', 'разрешать']	
n_topics_7	n_topic_3	['юноша', 'любовь', 'маг', 'стезя', 'думать', 'изумруд', 'лес', 'караван', 'приносить', 'камень']	
n_topics_7	n_topic_4	['муж', 'жизнь', 'мать', 'страсть', 'однако', 'конец', 'ночь', 'душа', 'кулинарный', 'смерть']	
n_topics_7	n_topic_5	['юноша', 'человек', 'пустыня', 'становиться', 'знать', 'книга', 'оазис', 'стезя', 'камень', 'алхимик']	
n_topics_7	n_topic_6	['муж', 'уснуть', 'невидимый', 'жизнь', 'находить', 'фармацевт', 'покидать', 'сдержанность', 'просить', 'характер']	
n_topics_7	n_topic_7	['девушка', 'деньги', 'хотеть', 'клиент', 'любовь', 'хозяин', 'художник', 'считать', 'становиться', 'вечер']	
n_topics_8	n_topic_1	['вперед', 'работать', 'колдовство', 'просьба', 'середина', 'незнакомый', 'портовый', 'везти', 'ясно', 'ошибка']	
n_topics_8	n_topic_2	['люто', 'девушка', 'расцветать', 'юноша', 'дикий', 'драться', 'прийти', 'дома', 'поиск', 'разрешать']	
n_topics_8	n_topic_3	['любовь', 'юноша', 'маг', 'изумруд', 'лес', 'думать', 'приносить', 'ныне', 'стезя', 'четвертый']	
n_topics_8	n_topic_4	['житель', 'побеждать', 'жизнь', 'соглашаться', 'посватать', 'хотеть', 'душа', 'смерть', 'прогуливать', 'дружеский']	
n_topics_8	n_topic_5	['юноша', 'человек', 'пустыня', 'становиться', 'знать', 'книга', 'камень', 'оазис', 'стезя', 'алхимик']	
