		lda	nmf
n_topics_5	n_topic_1	['король', 'русалочка', 'принц', 'человек', 'год', 'друг', 'корабль', 'самый', 'смерть', 'любовь']	['девушка', 'дневник', 'любовь', 'несколько', 'г', 'письмо', 'тетушка', 'дом', 'тетя', 'встречать']
n_topics_5	n_topic_2	['ярл', 'любовь', 'человек', 'девушка', 'брат', 'дом', 'время', 'уходить', 'оставаться', 'жить']	['королева', 'девочка', 'осколок', 'олень', 'зеркало', 'ворона', 'разбойница', 'санки', 'сердце', 'роза']
n_topics_5	n_topic_3	['брат', 'король', 'лебедь', 'рубашка', 'утро', 'день', 'девушка', 'замок', 'мачеха', 'одиннадцать']	['брат', 'лебедь', 'рубашка', 'утро', 'король', 'мачеха', 'замок', 'костер', 'одиннадцать', 'кладбище']
n_topics_5	n_topic_4	['граф', 'крестьянин', 'датчанин', 'фру', 'отец', 'усадьба', 'молодой', 'эббесный', 'мир', 'убивать']	['граф', 'крестьянин', 'фру', 'эббесный', 'датчанин', 'усадьба', 'голштинец', 'отец', 'право', 'оружие']
n_topics_5	n_topic_5	['король', 'реклама', 'оставаться', 'граф', 'крестьянин', 'меч', 'подмога', 'говорить', 'хотеть', 'пение']	['ярл', 'раб', 'корона', 'голова', 'битва', 'жертва', 'старец', 'купец', 'язычество', 'страна']
n_topics_6	n_topic_1	['король', 'русалочка', 'принц', 'человек', 'год', 'друг', 'корабль', 'самый', 'смерть', 'становиться']	['девушка', 'дневник', 'любовь', 'несколько', 'г', 'письмо', 'тетушка', 'дом', 'тетя', 'встречать']
n_topics_6	n_topic_2	['ярл', 'человек', 'брат', 'оставаться', 'уходить', 'раб', 'убивать', 'приходить', 'видеть', 'последний']	['русалочка', 'принц', 'корабль', 'русалка', 'морской', 'хвост', 'дворец', 'ведьма', 'рыбий', 'море']
n_topics_6	n_topic_3	['брат', 'король', 'лебедь', 'рубашка', 'утро', 'день', 'девушка', 'замок', 'мачеха', 'одиннадцать']	['брат', 'лебедь', 'рубашка', 'утро', 'король', 'мачеха', 'замок', 'костер', 'одиннадцать', 'кладбище']
n_topics_6	n_topic_4	['граф', 'крестьянин', 'датчанин', 'фру', 'усадьба', 'отец', 'молодой', 'эббесный', 'убивать', 'против']	['граф', 'крестьянин', 'фру', 'эббесный', 'датчанин', 'усадьба', 'голштинец', 'отец', 'право', 'оружие']
n_topics_6	n_topic_5	['король', 'реклама', 'оставаться', 'меч', 'крестьянин', 'подмога', 'граф', 'пение', 'говорить', 'связывать']	['ярл', 'раб', 'корона', 'голова', 'битва', 'жертва', 'старец', 'купец', 'язычество', 'страна']
n_topics_6	n_topic_6	['девушка', 'любовь', 'несколько', 'дневник', 'г', 'письмо', 'дом', 'время', 'первый', 'встречать']	['королева', 'девочка', 'осколок', 'олень', 'зеркало', 'ворона', 'разбойница', 'санки', 'сердце', 'роза']
n_topics_7	n_topic_1	['король', 'русалочка', 'принц', 'человек', 'год', 'друг', 'корабль', 'самый', 'становиться', 'смерть']	['девушка', 'дневник', 'любовь', 'несколько', 'г', 'письмо', 'тетушка', 'дом', 'тетя', 'встречать']
n_topics_7	n_topic_2	['ярл', 'человек', 'брат', 'оставаться', 'уходить', 'раб', 'убивать', 'приходить', 'видеть', 'последний']	['русалочка', 'принц', 'корабль', 'русалка', 'морской', 'хвост', 'дворец', 'ведьма', 'рыбий', 'море']
n_topics_7	n_topic_3	['брат', 'король', 'лебедь', 'рубашка', 'утро', 'день', 'девушка', 'мачеха', 'замок', 'одиннадцать']	['король', 'собор', 'исполнять', 'епископ', 'ore', 'разрешение', 'папа', 'жених', 'возлюбленная', 'монах']
n_topics_7	n_topic_4	['граф', 'крестьянин', 'датчанин', 'фру', 'усадьба', 'отец', 'молодой', 'эббесный', 'убивать', 'против']	['граф', 'крестьянин', 'фру', 'эббесный', 'датчанин', 'усадьба', 'голштинец', 'отец', 'право', 'оружие']
n_topics_7	n_topic_5	['король', 'реклама', 'оставаться', 'меч', 'крестьянин', 'подмога', 'говорить', 'граф', 'пение', 'связывать']	['ярл', 'раб', 'корона', 'голова', 'битва', 'жертва', 'старец', 'купец', 'язычество', 'страна']
n_topics_7	n_topic_6	['девушка', 'любовь', 'несколько', 'дневник', 'г', 'письмо', 'дом', 'время', 'первый', 'встречать']	['королева', 'девочка', 'осколок', 'олень', 'зеркало', 'ворона', 'разбойница', 'санки', 'сердце', 'роза']
n_topics_7	n_topic_7	['очень', 'замок', 'лес', 'сопровождать', 'маленький', 'одолевать', 'король', 'наносить', 'смочь', 'напиваться']	['брат', 'лебедь', 'рубашка', 'утро', 'мачеха', 'король', 'замок', 'кладбище', 'костер', 'одиннадцать']
n_topics_8	n_topic_1	['король', 'русалочка', 'принц', 'человек', 'год', 'друг', 'корабль', 'самый', 'становиться', 'смерть']	['девушка', 'дневник', 'любовь', 'несколько', 'г', 'письмо', 'тетушка', 'дом', 'тетя', 'встречать']
n_topics_8	n_topic_2	['ярл', 'человек', 'брат', 'оставаться', 'раб', 'уходить', 'убивать', 'приходить', 'видеть', 'последний']	['русалочка', 'принц', 'корабль', 'русалка', 'морской', 'хвост', 'дворец', 'ведьма', 'рыбий', 'море']
n_topics_8	n_topic_3	['брат', 'король', 'лебедь', 'рубашка', 'утро', 'день', 'девушка', 'мачеха', 'замок', 'одиннадцать']	['ящик', 'королевский', 'крестьянин', 'крестить', 'кратко', 'красться', 'красота', 'красный', 'краснощекий', 'краснеть']
n_topics_8	n_topic_4	['граф', 'крестьянин', 'датчанин', 'фру', 'усадьба', 'отец', 'молодой', 'эббесный', 'убивать', 'мир']	['граф', 'крестьянин', 'фру', 'эббесный', 'датчанин', 'усадьба', 'голштинец', 'отец', 'право', 'оружие']
n_topics_8	n_topic_5	['реклама', 'король', 'подмога', 'говорить', 'оставаться', 'меч', 'пение', 'связывать', 'крестьянин', 'смута']	['ярл', 'раб', 'корона', 'голова', 'битва', 'жертва', 'старец', 'купец', 'язычество', 'страна']
