		lda	nmf
n_topics_5	n_topic_1	['жена', 'время', 'оказываться', 'дом', 'дочь', 'решать', 'сын', 'становиться', 'год', 'женщина']	['жена', 'сын', 'муж', 'студент', 'отец', 'юноша', 'дочь', 'дом', 'друг', 'время']
n_topics_5	n_topic_2	['жена', 'сын', 'друг', 'дом', 'год', 'решать', 'время', 'жить', 'отец', 'муж']	['император', 'государь', 'гуйфэй', 'наложница', 'дворец', 'драгоценный', 'прочий', 'тосковать', 'семейство', 'войско']
n_topics_5	n_topic_3	['жена', 'сын', 'время', 'студент', 'брат', 'дом', 'муж', 'решать', 'год', 'дочь']	['царь', 'армия', 'циньский', 'советоваться', 'погубить', 'бао', 'си', 'брат', 'меч', 'прибывать']
n_topics_5	n_topic_4	['жена', 'сын', 'отец', 'дом', 'год', 'решать', 'узнавать', 'путь', 'оборотень', 'жить']	['юноша', 'старец', 'отверстие', 'изголовье', 'возвышаться', 'карьера', 'одряхлеть', 'измена', 'поприще', 'озаряться']
n_topics_5	n_topic_5	['жена', 'муж', 'человек', 'друг', 'решать', 'дом', 'жить', 'время', 'сын', 'гу']	['правитель', 'кэ', 'тянь', 'стихотворение', 'лю', 'се', 'поэт', 'отъезд', 'юный', 'иероглиф']
n_topics_6	n_topic_1	['жена', 'время', 'оказываться', 'дом', 'дочь', 'год', 'становиться', 'решать', 'император', 'женщина']	['жена', 'сын', 'юноша', 'муж', 'отец', 'студент', 'дочь', 'дом', 'друг', 'время']
n_topics_6	n_topic_2	['жена', 'сын', 'друг', 'дом', 'год', 'решать', 'время', 'отец', 'жить', 'муж']	['император', 'государь', 'гуйфэй', 'наложница', 'дворец', 'драгоценный', 'прочий', 'тосковать', 'семейство', 'войско']
n_topics_6	n_topic_3	['жена', 'сын', 'студент', 'время', 'дом', 'решать', 'брат', 'год', 'муж', 'ребенок']	['гу', 'жо', 'сунский', 'цянь', 'министр', 'тао', 'стихотворение', 'государь', 'прежний', 'певичка']
n_topics_6	n_topic_4	['сын', 'жена', 'отец', 'дом', 'путь', 'узнавать', 'решать', 'год', 'жить', 'деньги']	['царь', 'армия', 'погубить', 'циньский', 'советоваться', 'си', 'бао', 'брат', 'меч', 'прибывать']
n_topics_6	n_topic_5	['жена', 'муж', 'человек', 'дом', 'решать', 'друг', 'жить', 'становиться', 'время', 'сын']	['враг', 'противник', 'армия', 'генерал', 'солдат', 'победа', 'поражение', 'сторона', 'сражаться', 'ваш']
n_topics_6	n_topic_6	['оборотень', 'монах', 'пещера', 'отправляться', 'жена', 'паломник', 'помощь', 'обезьяна', 'приходиться', 'демон']	['правитель', 'кэ', 'тянь', 'стихотворение', 'лю', 'се', 'поэт', 'отъезд', 'юный', 'иероглиф']
n_topics_7	n_topic_1	['время', 'жена', 'оказываться', 'дом', 'дочь', 'становиться', 'следователь', 'женщина', 'год', 'друг']	['жена', 'сын', 'юноша', 'муж', 'отец', 'дом', 'друг', 'дочь', 'время', 'год']
n_topics_7	n_topic_2	['жена', 'сын', 'друг', 'год', 'дом', 'время', 'отец', 'жить', 'решать', 'оказываться']	['император', 'государь', 'гуйфэй', 'наложница', 'драгоценный', 'дворец', 'прочий', 'тосковать', 'семейство', 'войско']
n_topics_7	n_topic_3	['жена', 'сын', 'студент', 'дом', 'дочь', 'время', 'брат', 'решать', 'муж', 'жить']	['цю', 'мать', 'мэй', 'отец', 'жена', 'заставлять', 'отвергать', 'следом', 'муж', 'супруг']
n_topics_7	n_topic_4	['жена', 'сын', 'отец', 'дом', 'путь', 'узнавать', 'год', 'жить', 'деньги', 'юноша']	['гу', 'жо', 'сунский', 'цянь', 'министр', 'тао', 'стихотворение', 'государь', 'прежний', 'певичка']
n_topics_7	n_topic_5	['жена', 'царь', 'человек', 'муж', 'решать', 'друг', 'жить', 'сын', 'дом', 'узнавать']	['царь', 'армия', 'циньский', 'советоваться', 'погубить', 'бао', 'си', 'брат', 'меч', 'прибывать']
n_topics_7	n_topic_6	['оборотень', 'монах', 'пещера', 'отправляться', 'паломник', 'помощь', 'жена', 'обезьяна', 'приходиться', 'демон']	['следователь', 'шоферица', 'вино', 'теща', 'идоу', 'рассказ', 'карлик', 'ичи', 'ресторан', 'дьяволенок']
n_topics_7	n_topic_7	['враг', 'армия', 'противник', 'солдат', 'победа', 'генерал', 'войско', 'сторона', 'должный', 'поражение']	['студент', 'шпилька', 'фонарь', 'гроб', 'младший', 'дева', 'родитель', 'зеленый', 'покойный', 'служанка']
n_topics_8	n_topic_1	['время', 'жена', 'оказываться', 'дом', 'становиться', 'дочь', 'год', 'друг', 'женщина', 'следователь']	['жена', 'сын', 'студент', 'муж', 'отец', 'друг', 'дом', 'дочь', 'юноша', 'время']
n_topics_8	n_topic_2	['жена', 'друг', 'сын', 'год', 'решать', 'женщина', 'отец', 'юноша', 'оказываться', 'следователь']	['император', 'государь', 'гуйфэй', 'наложница', 'драгоценный', 'дворец', 'прочий', 'тосковать', 'семейство', 'войско']
n_topics_8	n_topic_3	['жена', 'сын', 'студент', 'дом', 'муж', 'время', 'жить', 'отец', 'решать', 'становиться']	['цю', 'мать', 'мэй', 'отец', 'жена', 'заставлять', 'отвергать', 'следом', 'муж', 'супруг']
