		lda	nmf
n_topics_5	n_topic_1	['человек', 'время', 'становиться', 'ваш', 'компания', 'жизнь', 'год', 'друг', 'работа', 'мочь']	['отец', 'человек', 'дом', 'год', 'друг', 'сын', 'ребенок', 'жизнь', 'жена', 'становиться']
n_topics_5	n_topic_2	['человек', 'жизнь', 'время', 'становиться', 'ваш', 'отец', 'год', 'день', 'дело', 'понимать']	['ваш', 'человек', 'решение', 'пример', 'работа', 'сотрудник', 'компания', 'идея', 'бизнес', 'использовать']
n_topics_5	n_topic_3	['человек', 'друг', 'жизнь', 'становиться', 'время', 'должный', 'год', 'мочь', 'находить', 'отец']	['продукт', 'клиент', 'компания', 'ваш', 'бренд', 'потребитель', 'рынок', 'пример', 'товар', 'покупатель']
n_topics_5	n_topic_4	['человек', 'продукт', 'компания', 'пример', 'время', 'становиться', 'ваш', 'клиент', 'должный', 'каждый']	['племя', 'лидер', 'идея', 'член', 'общение', 'человек', 'apple', 'аутсайдер', 'изменение', 'фитнес']
n_topics_5	n_topic_5	['человек', 'становиться', 'время', 'жизнь', 'дело', 'ребенок', 'должный', 'год', 'ваш', 'работа']	['проект', 'ваш', 'задача', 'список', 'команда', 'сторонник', 'пусть', 'идея', 'этап', 'корзина']
n_topics_6	n_topic_1	['человек', 'время', 'становиться', 'ваш', 'компания', 'жизнь', 'год', 'друг', 'работа', 'мочь']	['отец', 'человек', 'дом', 'год', 'друг', 'сын', 'ребенок', 'жизнь', 'становиться', 'жена']
n_topics_6	n_topic_2	['человек', 'жизнь', 'время', 'ваш', 'становиться', 'год', 'день', 'отец', 'понимать', 'дело']	['ваш', 'человек', 'решение', 'пример', 'работа', 'компания', 'сотрудник', 'идея', 'бизнес', 'использовать']
n_topics_6	n_topic_3	['человек', 'друг', 'жизнь', 'становиться', 'год', 'должный', 'время', 'дом', 'находить', 'отец']	['продукт', 'клиент', 'компания', 'ваш', 'бренд', 'потребитель', 'рынок', 'товар', 'пример', 'покупатель']
n_topics_6	n_topic_4	['человек', 'продукт', 'компания', 'пример', 'ваш', 'становиться', 'время', 'клиент', 'должный', 'мочь']	['племя', 'лидер', 'идея', 'член', 'общение', 'человек', 'apple', 'аутсайдер', 'изменение', 'фитнес']
n_topics_6	n_topic_5	['человек', 'становиться', 'время', 'ребенок', 'дело', 'должный', 'жизнь', 'год', 'ваш', 'работа']	['проект', 'ваш', 'задача', 'список', 'команда', 'сторонник', 'пусть', 'идея', 'этап', 'корзина']
n_topics_6	n_topic_6	['человек', 'время', 'становиться', 'жизнь', 'ваш', 'пример', 'каждый', 'мочь', 'работа', 'говорить']	['переговоры', 'сторона', 'позиция', 'решение', 'критерий', 'цена', 'оба', 'оппонент', 'угроза', 'объективный']
n_topics_7	n_topic_1	['человек', 'время', 'становиться', 'ваш', 'компания', 'жизнь', 'год', 'друг', 'работа', 'мочь']	['отец', 'человек', 'дом', 'друг', 'год', 'сын', 'ребенок', 'жизнь', 'становиться', 'жена']
n_topics_7	n_topic_2	['человек', 'жизнь', 'ваш', 'время', 'отец', 'становиться', 'понимать', 'день', 'год', 'работа']	['ваш', 'человек', 'решение', 'пример', 'компания', 'работа', 'сотрудник', 'бизнес', 'идея', 'использовать']
n_topics_7	n_topic_3	['человек', 'друг', 'жизнь', 'должный', 'становиться', 'находить', 'год', 'время', 'мочь', 'дом']	['продукт', 'клиент', 'компания', 'бренд', 'ваш', 'потребитель', 'рынок', 'товар', 'покупатель', 'пример']
n_topics_7	n_topic_4	['человек', 'продукт', 'пример', 'компания', 'ваш', 'время', 'становиться', 'клиент', 'должный', 'использовать']	['племя', 'лидер', 'идея', 'член', 'общение', 'человек', 'apple', 'аутсайдер', 'изменение', 'фитнес']
n_topics_7	n_topic_5	['человек', 'становиться', 'время', 'дело', 'ребенок', 'должный', 'жизнь', 'ваш', 'работа', 'год']	['проект', 'ваш', 'задача', 'список', 'команда', 'сторонник', 'пусть', 'идея', 'этап', 'корзина']
n_topics_7	n_topic_6	['человек', 'время', 'становиться', 'жизнь', 'ваш', 'пример', 'каждый', 'работа', 'мочь', 'друг']	['переговоры', 'сторона', 'позиция', 'решение', 'критерий', 'цена', 'оба', 'оппонент', 'угроза', 'объективный']
n_topics_7	n_topic_7	['человек', 'становиться', 'время', 'жизнь', 'год', 'друг', 'продукт', 'должный', 'день', 'отец']	['команда', 'член', 'доверие', 'decisiontech', 'конфликт', 'друг', 'цель', 'конструктивный', 'командный', 'решение']
n_topics_8	n_topic_1	['человек', 'время', 'становиться', 'ваш', 'компания', 'жизнь', 'год', 'друг', 'работа', 'мочь']	['отец', 'человек', 'дом', 'год', 'друг', 'сын', 'ребенок', 'жизнь', 'становиться', 'жена']
n_topics_8	n_topic_2	['человек', 'ваш', 'жизнь', 'время', 'понимать', 'становиться', 'старик', 'день', 'отец', 'работа']	['ваш', 'человек', 'решение', 'пример', 'компания', 'работа', 'сотрудник', 'бизнес', 'идея', 'использовать']
n_topics_8	n_topic_3	['человек', 'друг', 'жизнь', 'становиться', 'должный', 'находить', 'дом', 'отец', 'год', 'время']	['продукт', 'клиент', 'компания', 'бренд', 'ваш', 'потребитель', 'рынок', 'товар', 'покупатель', 'пример']
n_topics_8	n_topic_4	['человек', 'компания', 'продукт', 'пример', 'ваш', 'время', 'становиться', 'клиент', 'должный', 'мочь']	['племя', 'лидер', 'идея', 'член', 'общение', 'человек', 'apple', 'аутсайдер', 'изменение', 'фитнес']
n_topics_8	n_topic_5	['человек', 'становиться', 'время', 'дело', 'ребенок', 'должный', 'жизнь', 'ваш', 'работа', 'год']	['проект', 'ваш', 'задача', 'список', 'команда', 'сторонник', 'пусть', 'идея', 'этап', 'корзина']
n_topics_8	n_topic_6	['человек', 'время', 'жизнь', 'становиться', 'ваш', 'пример', 'каждый', 'работа', 'мочь', 'говорить']	['эмоциональный', 'интеллект', 'эмоция', 'мозг', 'чувство', 'мышление', 'пример', 'рациональный', 'iq', 'управлять']
n_topics_8	n_topic_7	['человек', 'становиться', 'время', 'жизнь', 'год', 'друг', 'продукт', 'должный', 'отец', 'день']	['вредитель', 'сотрудник', 'агрессивный', 'поведение', 'атмосфера', 'моральный', 'статус', 'коллектив', 'агрессия', 'сотрудничество']
n_topics_8	n_topic_8	['человек', 'становиться', 'год', 'время', 'начинать', 'жизнь', 'друг', 'день', 'должный', 'новый']	['переговоры', 'сторона', 'позиция', 'решение', 'критерий', 'цена', 'оба', 'оппонент', 'угроза', 'объективный']
n_topics_9	n_topic_1	['человек', 'время', 'становиться', 'ваш', 'компания', 'жизнь', 'год', 'друг', 'работа', 'мочь']	['отец', 'человек', 'дом', 'год', 'друг', 'сын', 'ребенок', 'жизнь', 'становиться', 'жена']
n_topics_9	n_topic_2	['человек', 'жизнь', 'ваш', 'время', 'отец', 'понимать', 'старик', 'становиться', 'работа', 'помогать']	['ваш', 'человек', 'решение', 'пример', 'компания', 'работа', 'сотрудник', 'бизнес', 'идея', 'использовать']
