		lda	nmf
n_topics_5	n_topic_1	['ребенок', 'жизнь', 'мертвый', 'жить', 'мим', 'бессмыслица', 'тракбак', 'сын', 'общий', 'человек']	['ротмистр', 'жена', 'муж', 'пусть', 'ребенок', 'отец', 'мать', 'женщина', 'дело', 'кормилица']
n_topics_5	n_topic_2	['решать', 'ребенок', 'становиться', 'девочка', 'жизнь', 'жить', 'человек', 'день', 'время', 'староста']	['девочка', 'ребенок', 'пеппи', 'решать', 'отправляться', 'остров', 'вилла', 'очень', 'школа', 'лошадь']
n_topics_5	n_topic_3	['ребенок', 'девочка', 'решать', 'очень', 'отправляться', 'человек', 'друг', 'дом', 'пеппи', 'начинать']	['фритьоф', 'храм', 'бог', 'кунг', 'меч', 'конунг', 'сын', 'бонд', 'запястье', 'страна']
n_topics_5	n_topic_4	['клоун', 'ребенок', 'становиться', 'решать', 'жизнь', 'отец', 'жена', 'время', 'жить', 'як']	['деревня', 'староста', 'штафета', 'местный', 'крестьянин', 'фохт', 'королева', 'лес', 'двор', 'эстафета']
n_topics_5	n_topic_5	['жизнь', 'человек', 'становиться', 'женщина', 'жить', 'ребенок', 'понимать', 'время', 'жена', 'знать']	['пассажир', 'аниарец', 'мимороб', 'тундра', 'голдондер', 'человек', 'пыль', 'прошлое', 'монолог', 'путешествие']
n_topics_6	n_topic_1	['мим', 'ребенок', 'бессмыслица', 'тракбак', 'жизнь', 'мертвый', 'общий', 'штафета', 'предмет', 'секретарь']	['ротмистр', 'жена', 'муж', 'пусть', 'ребенок', 'отец', 'мать', 'женщина', 'дело', 'кормилица']
n_topics_6	n_topic_2	['решать', 'ребенок', 'жизнь', 'становиться', 'девочка', 'жить', 'день', 'время', 'человек', 'понимать']	['девочка', 'ребенок', 'пеппи', 'решать', 'отправляться', 'остров', 'вилла', 'очень', 'школа', 'лошадь']
n_topics_6	n_topic_3	['ребенок', 'жизнь', 'человек', 'дом', 'решать', 'друг', 'очень', 'отправляться', 'пастор', 'становиться']	['фритьоф', 'храм', 'бог', 'кунг', 'меч', 'конунг', 'сын', 'бонд', 'запястье', 'страна']
n_topics_6	n_topic_4	['клоун', 'становиться', 'жена', 'отец', 'ребенок', 'время', 'жить', 'жизнь', 'собираться', 'як']	['деревня', 'староста', 'штафета', 'местный', 'крестьянин', 'фохт', 'королева', 'лес', 'двор', 'эстафета']
n_topics_6	n_topic_5	['жизнь', 'человек', 'царь', 'жить', 'женщина', 'говорить', 'мертвый', 'самый', 'время', 'понимать']	['пассажир', 'аниарец', 'мимороб', 'тундра', 'голдондер', 'человек', 'пыль', 'прошлое', 'монолог', 'путешествие']
n_topics_6	n_topic_6	['ребенок', 'девочка', 'решать', 'становиться', 'бог', 'человек', 'друг', 'храм', 'отправляться', 'отец']	['лакей', 'пусть', 'кухня', 'жан', 'барыня', 'бежать', 'юлия', 'графский', 'кухарка', 'танцевать']
n_topics_7	n_topic_1	['мим', 'бессмыслица', 'тракбак', 'общий', 'ребенок', 'штафета', 'предмет', 'секретарь', 'поток', 'кровь']	['глас', 'пастор', 'дневник', 'однако', 'долг', 'ради', 'жизнь', 'мысль', 'ненавистный', 'случай']
n_topics_7	n_topic_2	['клоун', 'становиться', 'отец', 'жена', 'юноша', 'ребенок', 'несколько', 'жить', 'день', 'время']	['девочка', 'ребенок', 'пеппи', 'решать', 'отправляться', 'остров', 'вилла', 'очень', 'школа', 'лошадь']
n_topics_7	n_topic_3	['ребенок', 'девочка', 'решать', 'дом', 'очень', 'отправляться', 'друг', 'человек', 'пеппи', 'жизнь']	['фритьоф', 'храм', 'бог', 'кунг', 'меч', 'конунг', 'сын', 'бонд', 'запястье', 'страна']
n_topics_7	n_topic_4	['жизнь', 'ребенок', 'становиться', 'решать', 'клоун', 'ротмистр', 'самый', 'жить', 'дело', 'время']	['деревня', 'староста', 'штафета', 'местный', 'крестьянин', 'фохт', 'королева', 'лес', 'двор', 'эстафета']
n_topics_7	n_topic_5	['жизнь', 'человек', 'понимать', 'женщина', 'царь', 'жить', 'самый', 'становиться', 'смерть', 'лишь']	['пассажир', 'аниарец', 'мимороб', 'тундра', 'голдондер', 'человек', 'пыль', 'прошлое', 'монолог', 'путешествие']
n_topics_7	n_topic_6	['бог', 'ребенок', 'становиться', 'человек', 'храм', 'отец', 'фритьоф', 'жена', 'время', 'решать']	['лакей', 'пусть', 'кухня', 'жан', 'барыня', 'бежать', 'юлия', 'графский', 'кухарка', 'танцевать']
n_topics_7	n_topic_7	['ребенок', 'год', 'человек', 'жизнь', 'решать', 'отправляться', 'молодой', 'скалистый', 'помогать', 'день']	['клоун', 'синдикат', 'як', 'публика', 'секретарь', 'пакетик', 'дядя', 'юноша', 'выступление', 'поместье']
n_topics_8	n_topic_1	['мим', 'бессмыслица', 'тракбак', 'общий', 'предмет', 'штафета', 'поток', 'секретарь', 'кровь', 'причал']	['глас', 'пастор', 'дневник', 'однако', 'долг', 'ради', 'жизнь', 'мысль', 'ненавистный', 'случай']
n_topics_8	n_topic_2	['становиться', 'ребенок', 'клоун', 'жизнь', 'решать', 'жить', 'мать', 'день', 'ротмистр', 'время']	['девочка', 'ребенок', 'пеппи', 'решать', 'отправляться', 'остров', 'вилла', 'очень', 'школа', 'лошадь']
n_topics_8	n_topic_3	['ребенок', 'решать', 'друг', 'отправляться', 'очень', 'остров', 'дом', 'бандит', 'пещера', 'акула']	['царь', 'ирод', 'дворец', 'родственник', 'народ', 'враг', 'далеко', 'женщина', 'стараться', 'жестокость']
n_topics_8	n_topic_4	['клоун', 'становиться', 'ребенок', 'жизнь', 'решать', 'жена', 'время', 'отец', 'жить', 'дело']	['деревня', 'староста', 'штафета', 'местный', 'крестьянин', 'фохт', 'королева', 'лес', 'двор', 'эстафета']
n_topics_8	n_topic_5	['жизнь', 'человек', 'женщина', 'становиться', 'понимать', 'царь', 'время', 'ребенок', 'жена', 'год']	['пассажир', 'аниарец', 'мимороб', 'тундра', 'голдондер', 'человек', 'пыль', 'прошлое', 'монолог', 'путешествие']
n_topics_8	n_topic_6	['бог', 'храм', 'фритьоф', 'человек', 'становиться', 'друг', 'мир', 'сын', 'решать', 'кунг']	['лакей', 'пусть', 'кухня', 'жан', 'барыня', 'бежать', 'юлия', 'графский', 'кухарка', 'танцевать']
n_topics_8	n_topic_7	['ребенок', 'год', 'жизнь', 'человек', 'помогать', 'скалистый', 'молодой', 'отправляться', 'решать', 'день']	['клоун', 'синдикат', 'як', 'публика', 'секретарь', 'пакетик', 'дядя', 'юноша', 'выступление', 'поместье']
n_topics_8	n_topic_8	['ребенок', 'жизнь', 'девочка', 'решать', 'жить', 'человек', 'очень', 'мертвый', 'рука', 'друг']	['фритьоф', 'храм', 'бог', 'кунг', 'меч', 'конунг', 'сын', 'бонд', 'запястье', 'страна']
n_topics_9	n_topic_1	['мим', 'бессмыслица', 'тракбак', 'общий', 'штафета', 'предмет', 'поток', 'секретарь', 'кровь', 'причал']	['глас', 'пастор', 'дневник', 'однако', 'долг', 'ради', 'жизнь', 'мысль', 'ненавистный', 'случай']
n_topics_9	n_topic_2	['жизнь', 'становиться', 'жить', 'решать', 'день', 'ребенок', 'мать', 'клоун', 'взять', 'староста']	['девочка', 'ребенок', 'пеппи', 'решать', 'отправляться', 'остров', 'вилла', 'очень', 'школа', 'лошадь']
n_topics_9	n_topic_3	['ребенок', 'человек', 'жизнь', 'деревня', 'дом', 'рука', 'очень', 'становиться', 'староста', 'жить']	['царь', 'ирод', 'дворец', 'родственник', 'народ', 'враг', 'далеко', 'женщина', 'стараться', 'жестокость']
n_topics_9	n_topic_4	['клоун', 'становиться', 'отец', 'жена', 'ребенок', 'жить', 'як', 'собираться', 'синдикат', 'деньги']	['деревня', 'староста', 'штафета', 'местный', 'крестьянин', 'фохт', 'королева', 'лес', 'двор', 'эстафета']
n_topics_9	n_topic_5	['жизнь', 'царь', 'человек', 'женщина', 'молодой', 'понимать', 'становиться', 'время', 'оставаться', 'кухня']	['пассажир', 'аниарец', 'мимороб', 'тундра', 'голдондер', 'человек', 'пыль', 'прошлое', 'монолог', 'путешествие']
n_topics_9	n_topic_6	['ребенок', 'человек', 'решать', 'становиться', 'друг', 'день', 'мир', 'храм', 'девочка', 'жить']	['лакей', 'пусть', 'кухня', 'жан', 'барыня', 'бежать', 'юлия', 'графский', 'кухарка', 'танцевать']
n_topics_9	n_topic_7	['год', 'ребенок', 'жизнь', 'человек', 'помогать', 'скалистый', 'отправляться', 'редактор', 'решать', 'день']	['клоун', 'синдикат', 'як', 'публика', 'секретарь', 'пакетик', 'дядя', 'юноша', 'выступление', 'поместье']
n_topics_9	n_topic_8	['ребенок', 'жизнь', 'девочка', 'решать', 'очень', 'друг', 'человек', 'жить', 'мертвый', 'отправляться']	['фритьоф', 'храм', 'бог', 'кунг', 'меч', 'конунг', 'сын', 'бонд', 'запястье', 'страна']
n_topics_9	n_topic_9	['бог', 'жена', 'храм', 'отец', 'фритьоф', 'время', 'становиться', 'ребенок', 'война', 'знать']	['мертвый', 'жизнь', 'старик', 'тьма', 'человек', 'пятнышко', 'сказать', 'земной', 'темнота', 'бороться']
n_topics_10	n_topic_1	['мим', 'бессмыслица', 'тракбак', 'общий', 'предмет', 'поток', 'штафета', 'секретарь', 'кровь', 'причал']	['глас', 'пастор', 'дневник', 'однако', 'долг', 'ради', 'жизнь', 'мысль', 'ненавистный', 'случай']
n_topics_10	n_topic_2	['жизнь', 'жить', 'мать', 'становиться', 'взять', 'решать', 'день', 'староста', 'клоун', 'человек']	['девочка', 'ребенок', 'пеппи', 'решать', 'отправляться', 'остров', 'вилла', 'очень', 'школа', 'лошадь']
