		lda	nmf
n_topics_5	n_topic_1	['человек', 'время', 'отец', 'друг', 'становиться', 'жизнь', 'год', 'девушка', ' ', 'дочь']	['человек', 'девушка', 'миссис', 'время', 'отец', 'жизнь', 'дом', 'год', 'становиться', 'друг']
n_topics_5	n_topic_2	['человек', 'время', 'становиться', 'жизнь', 'девушка', 'год', 'знать', 'отец', ' ', 'дом']	['мистер', 'эмма', 'миссис', 'мисс', 'рисунок', 'флоренс', 'шифр', 'проживать', 'сестра', 'дэнис']
n_topics_5	n_topic_3	['человек', 'время', 'мистер', 'становиться', 'узнавать', 'друг', 'жена', ' ', 'приходить', 'год']	['король', 'рыцарь', 'гамлет', 'королева', 'ланселот', 'меч', 'герцог', 'принцесса', 'принц', 'полоний']
n_topics_5	n_topic_4	['становиться', 'человек', 'друг', 'день', 'жизнь', 'время', 'узнавать', 'девушка', 'год', 'дом']	['доктор', 'пуаро', 'детектив', 'купе', 'мистер', 'убийство', 'убийца', 'миссис', 'джонс', 'хлопушка']
n_topics_5	n_topic_5	['человек', 'год', 'время', 'друг', ' ', 'жизнь', 'ребенок', '   \n', 'становиться', 'девушка']	['мисс', 'девочка', 'клан', 'расцвет', 'призвание', 'сэнди', 'фашизм', 'чарльз', 'школа', 'сэр']
n_topics_6	n_topic_1	['человек', 'время', 'отец', 'друг', 'становиться', 'жизнь', 'год', 'девушка', ' ', 'дочь']	['человек', 'девушка', 'миссис', 'время', 'отец', 'жизнь', 'год', 'дом', 'становиться', 'друг']
n_topics_6	n_topic_2	['человек', 'время', 'становиться', 'девушка', 'жизнь', 'год', ' ', 'знать', 'хотеть', 'отец']	['мистер', 'эмма', 'миссис', 'мисс', 'рисунок', 'флоренс', 'проживать', 'шифр', 'сестра', 'дэнис']
n_topics_6	n_topic_3	['человек', 'время', 'узнавать', 'становиться', 'друг', 'мистер', 'жена', 'приходить', ' ', 'жизнь']	['король', 'рыцарь', 'гамлет', 'королева', 'ланселот', 'меч', 'герцог', 'принцесса', 'принц', 'полоний']
n_topics_6	n_topic_4	['становиться', 'человек', 'друг', 'узнавать', 'день', 'жизнь', 'девушка', 'время', 'любовь', 'начинать']	['доктор', 'пуаро', 'детектив', 'купе', 'мистер', 'убийство', 'джонс', 'убийца', 'миссис', 'хлопушка']
n_topics_6	n_topic_5	['человек', 'год', 'время', ' ', 'жизнь', 'друг', 'ребенок', '   \n', 'шляпа', 'становиться']	['‹ ›\n', 'крапчатый', 'краснолицый', 'красноватый', 'краснеть', 'краска', 'красить', 'краситель', 'красильщик', 'красильня']
n_topics_6	n_topic_6	['человек', 'мистер', 'время', 'друг', 'год', 'отец', 'жена', 'день', 'становиться', 'дом']	['сэр', 'болото', 'леди', 'мисс', 'делла', 'капитан', 'собака', 'холмс', 'брат', 'салон']
n_topics_7	n_topic_1	['человек', 'время', 'отец', 'друг', 'становиться', 'жизнь', 'год', 'девушка', ' ', 'дочь']	['человек', 'девушка', 'миссис', 'время', 'отец', 'жизнь', 'год', 'дом', 'становиться', 'друг']
n_topics_7	n_topic_2	['человек', 'становиться', 'время', 'жизнь', 'девушка', ' ', 'год', 'знать', 'друг', 'отец']	['мистер', 'эмма', 'миссис', 'мисс', 'рисунок', 'флоренс', 'шифр', 'проживать', 'сестра', 'влюбленный']
n_topics_7	n_topic_3	['время', 'человек', 'узнавать', 'становиться', 'мистер', 'друг', 'приходить', ' ', 'жизнь', 'миссис']	['король', 'рыцарь', 'гамлет', 'королева', 'ланселот', 'меч', 'герцог', 'принцесса', 'принц', 'полоний']
n_topics_7	n_topic_4	['становиться', 'друг', 'человек', 'день', 'жизнь', 'узнавать', 'девушка', 'время', 'любовь', 'пытаться']	['пуаро', 'доктор', 'детектив', 'купе', 'мистер', 'убийца', 'убийство', 'миссис', 'джонс', 'знаменитый']
n_topics_7	n_topic_5	['человек', 'время', 'год', ' ', 'друг', 'жизнь', '   \n', 'ребенок', 'шляпа', 'становиться']	['‹ ›\n', 'крапчатый', 'краснолицый', 'красноватый', 'краснеть', 'краска', 'красить', 'краситель', 'красильщик', 'красильня']
n_topics_7	n_topic_6	['человек', 'мистер', 'время', 'друг', 'год', 'день', 'отец', 'жена', 'миссис', 'становиться']	['хоббит', 'гном', 'царство', 'гоблин', 'орк', 'эльф', 'гора', 'дракон', 'войско', 'компания']
n_topics_7	n_topic_7	['человек', 'отец', 'время', 'год', 'девушка', 'жена', 'узнавать', 'становиться', 'дочь', 'жить']	['сэр', 'болото', 'леди', 'мисс', 'делла', 'капитан', 'собака', 'холмс', 'брат', 'салон']
n_topics_8	n_topic_1	['человек', 'время', 'отец', 'друг', 'становиться', 'жизнь', 'год', 'девушка', ' ', 'дочь']	['человек', 'девушка', 'миссис', 'время', 'отец', 'жизнь', 'год', 'дом', 'становиться', 'друг']
n_topics_8	n_topic_2	['человек', 'время', 'становиться', 'жизнь', 'девушка', ' ', 'год', 'знать', 'отец', 'хотеть']	['мистер', 'эмма', 'миссис', 'мисс', 'рисунок', 'флоренс', 'шифр', 'проживать', 'сестра', 'дэнис']
n_topics_8	n_topic_3	['время', 'человек', 'узнавать', 'становиться', 'друг', 'мистер', 'приходить', 'девушка', ' ', 'миссис']	['король', 'рыцарь', 'гамлет', 'королева', 'ланселот', 'меч', 'герцог', 'принцесса', 'принц', 'полоний']
n_topics_8	n_topic_4	['становиться', 'друг', 'человек', 'узнавать', 'жизнь', 'девушка', 'время', 'день', 'любовь', 'пытаться']	['доктор', 'пуаро', 'детектив', 'купе', 'мистер', 'убийство', 'джонс', 'убийца', 'миссис', 'хлопушка']
n_topics_8	n_topic_5	['человек', 'время', 'год', 'друг', ' ', 'жизнь', '   \n', 'ребенок', 'шляпа', 'становиться']	['‹ ›\n', 'крапчатый', 'краснолицый', 'красноватый', 'краснеть', 'краска', 'красить', 'краситель', 'красильщик', 'красильня']
n_topics_8	n_topic_6	['человек', 'мистер', 'время', 'друг', 'год', 'миссис', 'отец', 'день', 'жена', 'становиться']	['хоббит', 'гном', 'царство', 'гоблин', 'орк', 'эльф', 'гора', 'дракон', 'войско', 'крепость']
n_topics_8	n_topic_7	['человек', 'отец', 'время', 'год', 'девушка', 'жена', 'узнавать', 'становиться', 'дочь', 'жить']	['сэр', 'болото', 'леди', 'мисс', 'делла', 'капитан', 'собака', 'холмс', 'брат', 'салон']
n_topics_8	n_topic_8	['человек', ' ', 'становиться', 'год', 'день', 'время', 'говорить', 'смерть', 'жена', 'жизнь']	['ральф', 'зверь', 'ребята', 'джек', 'охотник', 'костер', 'лагерь', 'очки', 'остров', 'мальчик']
n_topics_9	n_topic_1	['время', 'становиться', 'человек', 'жизнь', ' ', 'день', 'год', 'узнавать', 'друг', 'девушка']	['человек', 'девушка', 'миссис', 'время', 'отец', 'жизнь', 'год', 'дом', 'становиться', 'друг']
n_topics_9	n_topic_2	['человек', 'девушка', 'время', 'становиться', 'жизнь', ' ', 'год', 'отец', 'миссис', 'друг']	['мистер', 'эмма', 'миссис', 'мисс', 'рисунок', 'флоренс', 'сестра', 'шифр', 'проживать', 'дэнис']
n_topics_9	n_topic_3	['время', 'узнавать', 'человек', 'друг', 'становиться', 'приходить', ' ', 'девушка', 'миссис', 'жена']	['король', 'рыцарь', 'гамлет', 'королева', 'ланселот', 'меч', 'герцог', 'принцесса', 'принц', 'полоний']
n_topics_9	n_topic_4	['становиться', 'друг', 'узнавать', 'девушка', 'любовь', 'время', 'день', 'пытаться', 'человек', 'жизнь']	['доктор', 'пуаро', 'детектив', 'купе', 'мистер', 'убийство', 'убийца', 'джонс', 'миссис', 'хлопушка']
n_topics_9	n_topic_5	['время', 'год', 'человек', 'друг', ' ', '   \n', 'ребенок', 'жизнь', 'начинать', 'девушка']	['‹ ›\n', 'крапчатый', 'краснолицый', 'красноватый', 'краснеть', 'краска', 'красить', 'краситель', 'красильщик', 'красильня']
n_topics_9	n_topic_6	['человек', 'время', 'друг', 'мистер', 'год', 'отец', 'миссис', 'день', 'жена', 'дом']	['хоббит', 'гном', 'царство', 'гоблин', 'орк', 'эльф', 'гора', 'дракон', 'войско', 'крепость']
n_topics_9	n_topic_7	['человек', 'время', 'девушка', 'год', 'узнавать', 'становиться', 'сын', 'дом', 'отец', 'жить']	['сэр', 'болото', 'леди', 'мисс', 'делла', 'капитан', 'собака', 'холмс', 'брат', 'салон']
n_topics_9	n_topic_8	['человек', ' ', 'становиться', 'год', 'день', 'время', 'жена', 'говорить', 'смерть', 'ребенок']	['ральф', 'зверь', 'ребята', 'джек', 'охотник', 'костер', 'лагерь', 'очки', 'остров', 'мальчик']
n_topics_9	n_topic_9	['человек', 'время', 'отец', 'друг', 'становиться', 'жизнь', 'год', 'девушка', ' ', 'дочь']	['индеец', 'герой', 'вождь', 'мулат', 'переселение', 'негр', 'форт', 'вако', 'агент', 'договор']
n_topics_10	n_topic_1	['время', 'становиться', 'человек', 'жизнь', ' ', 'год', 'узнавать', 'день', 'девушка', 'друг']	['человек', 'девушка', 'миссис', 'время', 'отец', 'жизнь', 'год', 'дом', 'становиться', 'друг']
n_topics_10	n_topic_2	['человек', 'девушка', 'время', 'становиться', 'жизнь', 'год', ' ', 'миссис', 'отец', 'знать']	['мистер', 'эмма', 'миссис', 'мисс', 'рисунок', 'флоренс', 'шифр', 'проживать', 'сестра', 'дэнис']
n_topics_10	n_topic_3	['время', 'узнавать', 'человек', 'друг', 'становиться', 'приходить', 'девушка', ' ', 'миссис', 'мистер']	['король', 'рыцарь', 'гамлет', 'королева', 'ланселот', 'меч', 'герцог', 'принцесса', 'принц', 'полоний']
n_topics_10	n_topic_4	['становиться', 'друг', 'узнавать', 'любовь', 'девушка', 'время', 'человек', 'жизнь', 'пытаться', 'день']	['доктор', 'пуаро', 'детектив', 'купе', 'мистер', 'убийство', 'убийца', 'миссис', 'джонс', 'хлопушка']
