		lda	nmf
n_topics_5	n_topic_1	['царь', 'богиня', 'отец', 'хор', 'знать', 'бог', 'ребенок', 'жена', 'дочь', 'жертва']	['умирать', 'друг', 'жизнь', 'добрый', 'демон', 'царь', 'бог', 'жена', 'гость', 'хор']
n_topics_5	n_topic_2	['вздувать', 'жертва', 'умирать', 'дворец', 'служить', 'мешать', 'знать', 'стонать', 'брат', 'царь']	['храм', 'богиня', 'царь', 'жертва', 'кумир', 'стоять', 'дочь', 'ифигения', 'письмо', 'лживый']
n_topics_5	n_topic_3	['твой', 'пенять', 'ребенок', 'дочь', 'богиня', 'сын', 'царь', 'тропа', 'воротиться', 'бог']	['любовь', 'кормилица', 'чистый', 'прощать', 'федр', 'пасынок', 'ипполит', 'бог', 'правый', 'открываться']
n_topics_5	n_topic_4	['друг', 'умирать', 'бог', 'хор', 'царь', 'жена', 'жизнь', 'добрый', 'смерть', 'отец']	['двенадцать', 'геракл', 'мертвый', 'безумие', 'сын', 'амфитрион', 'оттуда', 'помощь', 'отец', 'богиня']
n_topics_5	n_topic_5	['сцена', 'говорить', 'земля', 'прикручивать', 'мертвый', 'сражать', 'страж', 'служить', 'солнце', 'небо']	['ребенок', 'царь', 'старый', 'говорить', 'хор', 'рожать', 'медея', 'дракон', 'давать', 'знать']
n_topics_6	n_topic_1	['царь', 'отец', 'хор', 'богиня', 'знать', 'бог', 'жена', 'ребенок', 'дочь', 'сын']	['умирать', 'друг', 'жизнь', 'добрый', 'демон', 'царь', 'бог', 'жена', 'гость', 'хор']
n_topics_6	n_topic_2	['вздувать', 'жертва', 'умирать', 'служить', 'мешать', 'дворец', 'стонать', 'брат', 'знать', 'святость']	['войско', 'дочь', 'свадьба', 'жертва', 'дело', 'алтарь', 'лагерь', 'воин', 'старик', 'царь']
n_topics_6	n_topic_3	['пенять', 'твой', 'ребенок', 'дочь', 'тропа', 'воротиться', 'лучник', 'навстречу', 'страждущий', 'заканчивать']	['любовь', 'кормилица', 'чистый', 'прощать', 'федр', 'пасынок', 'ипполит', 'бог', 'правый', 'открываться']
n_topics_6	n_topic_4	['умирать', 'друг', 'бог', 'хор', 'жена', 'царь', 'жизнь', 'добрый', 'смерть', 'ребенок']	['двенадцать', 'геракл', 'мертвый', 'безумие', 'сын', 'амфитрион', 'оттуда', 'помощь', 'отец', 'богиня']
n_topics_6	n_topic_5	['сцена', 'говорить', 'прикручивать', 'земля', 'страж', 'сражать', 'солнце', 'небо', 'служить', 'мертвый']	['ребенок', 'царь', 'старый', 'говорить', 'хор', 'рожать', 'медея', 'дракон', 'давать', 'знать']
