		lda	nmf
n_topics_5	n_topic_1	['дон', 'донья', 'дом', 'комната', 'дверь', 'капитан', 'слуга', 'брат', 'время', 'король']	['донья', 'дон', 'дом', 'жена', 'король', 'кровь', 'хотеть', 'дома', 'кинжал', 'шкаф']
n_topics_5	n_topic_2	['принц', 'король', 'человек', 'гость', 'самый', 'открываться', 'плащ', 'утверждать', 'посуда', 'смердеть']	['принц', 'король', 'португальский', 'дон', 'ибо', 'отдавать', 'муля', 'плен', 'вера', 'фернандо']
n_topics_5	n_topic_3	['дон', 'донья', 'дом', 'решать', 'принц', 'дверь', 'говорить', 'хотеть', 'время', 'голова']	['капитан', 'дон', 'девушка', 'постоять', 'педро', 'селение', 'дочь', 'отец', 'крестьянин', 'сержант']
n_topics_5	n_topic_4	['король', 'принц', 'дон', 'донья', 'хотеть', 'жена', 'смерть', 'ибо', 'говорить', 'жизнь']	['принц', 'просыпаться', 'король', 'престол', 'сын', 'темница', 'жизнь', 'грудь', 'наследный', 'басилио']
n_topics_5	n_topic_5	['капитан', 'дон', 'тонкий', 'слуга', 'вне', 'взвод', 'отвечать', 'поспешно', 'короткий', 'происходить']	['дон', 'комната', 'дверь', 'дом', 'потайной', 'слуга', 'брат', 'плащ', 'неожиданно', 'сестра']
n_topics_6	n_topic_1	['дон', 'донья', 'дом', 'комната', 'дверь', 'капитан', 'слуга', 'брат', 'время', 'хотеть']	['донья', 'дон', 'дом', 'жена', 'король', 'кровь', 'хотеть', 'дома', 'кинжал', 'шкаф']
n_topics_6	n_topic_2	['король', 'принц', 'человек', 'гость', 'плащ', 'открываться', 'самый', 'утверждать', 'посуда', 'смердеть']	['принц', 'король', 'португальский', 'дон', 'ибо', 'отдавать', 'муля', 'плен', 'вера', 'фернандо']
n_topics_6	n_topic_3	['дон', 'донья', 'дом', 'дверь', 'решать', 'говорить', 'голова', 'время', 'хотеть', 'принц']	['капитан', 'дон', 'девушка', 'селение', 'педро', 'постоять', 'дочь', 'отец', 'крестьянин', 'сержант']
n_topics_6	n_topic_4	['король', 'принц', 'дон', 'донья', 'хотеть', 'смерть', 'жена', 'ибо', 'жизнь', 'говорить']	['принц', 'просыпаться', 'король', 'престол', 'сын', 'темница', 'жизнь', 'грудь', 'наследный', 'басилио']
n_topics_6	n_topic_5	['капитан', 'тонкий', 'дон', 'слуга', 'вне', 'взвод', 'поспешно', 'короткий', 'происходить', 'ум']	['дон', 'комната', 'дверь', 'дом', 'потайной', 'слуга', 'брат', 'плащ', 'неожиданно', 'сестра']
n_topics_6	n_topic_6	['дон', 'донья', 'принц', 'король', 'капитан', 'решать', 'узнавать', 'союз', 'приказывать', 'оба']	['ясно', 'мавра', 'лес', 'лесна', 'лесной', 'лестница', 'лечить', 'лечиться', 'лисарда', 'листок']
n_topics_7	n_topic_1	['дон', 'донья', 'дом', 'комната', 'дверь', 'король', 'капитан', 'слуга', 'брат', 'время']	
n_topics_7	n_topic_2	['король', 'принц', 'человек', 'гость', 'открываться', 'плащ', 'самый', 'посуда', 'утверждать', 'смердеть']	
n_topics_7	n_topic_3	['дон', 'донья', 'дом', 'решать', 'голова', 'дверь', 'говорить', 'принц', 'человек', 'ошибка']	
n_topics_7	n_topic_4	['король', 'принц', 'дон', 'жизнь', 'отдавать', 'смерть', 'хотеть', 'донья', 'ибо', 'говорить']	
n_topics_7	n_topic_5	['тонкий', 'капитан', 'дон', 'вне', 'слуга', 'взвод', 'поспешно', 'короткий', 'происходить', 'ум']	
n_topics_7	n_topic_6	['дон', 'донья', 'король', 'принц', 'капитан', 'решать', 'комната', 'узнавать', 'союз', 'шпага']	
n_topics_7	n_topic_7	['дон', 'принц', 'живой', 'решать', 'бесплатенкосм', 'быстро', 'столько', 'дом', 'одевать', 'отец']	
n_topics_8	n_topic_1	['дон', 'дом', 'дверь', 'комната', 'слуга', 'брат', 'потайной', 'сестра', 'неожиданно', 'время']	
n_topics_8	n_topic_2	['гость', 'король', 'человек', 'принц', 'плащ', 'открываться', 'посуда', 'самый', 'утверждать', 'описание']	
n_topics_8	n_topic_3	['дон', 'голова', 'дом', 'решать', 'донья', 'ошибка', 'дверь', 'говорить', 'далекий', 'подруга']	
n_topics_8	n_topic_4	['король', 'принц', 'дон', 'отдавать', 'португальский', 'ибо', 'готовый', 'жизнь', 'говорить', 'войско']	
n_topics_8	n_topic_5	['тонкий', 'капитан', 'вне', 'взвод', 'слуга', 'поспешно', 'короткий', 'происходить', 'ум', 'бытие']	
n_topics_8	n_topic_6	['дон', 'донья', 'принц', 'король', 'решать', 'союз', 'оба', 'начинать', 'носить', 'капитан']	
n_topics_8	n_topic_7	['живой', 'дон', 'принц', 'бесплатенкосм', 'быстро', 'решать', 'столько', 'одевать', 'таков', 'враг']	
n_topics_8	n_topic_8	['дон', 'донья', 'король', 'принц', 'дом', 'капитан', 'хотеть', 'слуга', 'комната', 'видеть']	
n_topics_9	n_topic_1	['дон', 'дом', 'дверь', 'комната', 'слуга', 'брат', 'король', 'потайной', 'сестра', 'время']	
n_topics_9	n_topic_2	['король', 'принц', 'гость', 'человек', 'плащ', 'открываться', 'утверждать', 'посуда', 'самый', 'смердеть']	
n_topics_9	n_topic_3	['дон', 'голова', 'дом', 'решать', 'ошибка', 'говорить', 'далекий', 'нетрудно', 'подруга', 'позор']	
n_topics_9	n_topic_4	['король', 'дон', 'принц', 'донья', 'жена', 'ибо', 'говорить', 'смерть', 'хотеть', 'появляться']	
n_topics_9	n_topic_5	['тонкий', 'капитан', 'вне', 'взвод', 'короткий', 'поспешно', 'происходить', 'ум', 'бытие', 'слуга']	
n_topics_9	n_topic_6	['дон', 'донья', 'король', 'принц', 'решать', 'союз', 'капитан', 'оба', 'начинать', 'носить']	
n_topics_9	n_topic_7	['живой', 'принц', 'бесплатенкосм', 'быстро', 'дон', 'столько', 'решать', 'одевать', 'таков', 'враг']	
n_topics_9	n_topic_8	['дон', 'король', 'донья', 'принц', 'хотеть', 'дом', 'капитан', 'видеть', 'говорить', 'слуга']	
