		lda	nmf
n_topics_5	n_topic_1	['страна', 'элли', 'гудвин', 'помощь', 'страшило', 'город', 'возвращаться', 'король', 'решать', 'ураган']	['элли', 'гудвин', 'девочка', 'обезьяна', 'летучий', 'башмачок', 'бастинд', 'шапка', 'лев', 'дровосек']
n_topics_5	n_topic_2	['страна', 'урфин', 'город', 'джюс', 'изумрудный', 'страшило', 'помощь', 'элли', 'дровосек', 'путешественник']	['пришелец', 'генерал', 'ментахо', 'база', 'изумруд', 'арзак', 'энни', 'менвит', 'ильсор', 'предводительство']
n_topics_5	n_topic_3	['пришелец', 'генерал', 'страна', 'ментахо', 'энни', 'страшило', 'волшебный', 'урфин', 'изумрудный', 'арзак']	['арахна', 'туман', 'гном', 'колдунья', 'ковер', 'страна', 'чарли', 'волшебный', 'руф', 'билан']
n_topics_5	n_topic_4	['урфин', 'элли', 'деревянный', 'страж', 'брифли', 'вскоре', 'многий', 'смочь', 'голубой', 'великолепие']	['урфин', 'страна', 'марран', 'урфино', 'город', 'изумрудный', 'джюс', 'волшебный', 'элли', 'помощь']
n_topics_5	n_topic_5	['страна', 'элли', 'урфин', 'волшебный', 'город', 'изумрудный', 'страшило', 'помощь', 'железный', 'арахна']	['король', 'страна', 'подземный', 'элли', 'время', 'ребенок', 'вода', 'тотошка', 'фред', 'арриго']
n_topics_6	n_topic_1	['страна', 'элли', 'помощь', 'гудвин', 'возвращаться', 'страшило', 'ураган', 'король', 'уединение', 'лес']	['элли', 'гудвин', 'девочка', 'обезьяна', 'летучий', 'башмачок', 'бастинд', 'шапка', 'лев', 'дровосек']
n_topics_6	n_topic_2	['страна', 'урфин', 'джюс', 'город', 'изумрудный', 'дровосек', 'помощь', 'страшило', 'вид', 'голубой']	['пришелец', 'ментахо', 'генерал', 'база', 'изумруд', 'арзак', 'энни', 'предводительство', 'ильсор', 'менвитов']
n_topics_6	n_topic_3	['страна', 'урфино', 'изумрудный', 'кагги', 'марран', 'волшебный', 'также', 'отряд', 'усыпительный', 'урфин']	['арахна', 'туман', 'страна', 'колдунья', 'гном', 'ковер', 'чарли', 'волшебный', 'билан', 'руф']
n_topics_6	n_topic_4	['деревянный', 'страж', 'многий', 'брифли', 'вскоре', 'смочь', 'великолепие', 'сахар', 'урфин', 'отличаться']	['марран', 'урфино', 'страна', 'энни', 'карфакс', 'урфин', 'мул', 'вождь', 'драгоценность', 'тим']
n_topics_6	n_topic_5	['страна', 'элли', 'урфин', 'волшебный', 'помощь', 'житель', 'король', 'подземный', 'появляться', 'страшило']	['король', 'страна', 'подземный', 'элли', 'время', 'ребенок', 'вода', 'фред', 'тотошка', 'арриго']
n_topics_6	n_topic_6	['страна', 'элли', 'урфин', 'волшебный', 'город', 'страшило', 'изумрудный', 'помощь', 'железный', 'арахна']	['урфин', 'страна', 'элли', 'помощь', 'город', 'джюс', 'изумрудный', 'страшило', 'деревянный', 'чарли']
