"123_part1" "123_part2" "belov_part1" "belov_part2" "erkhov_part1" "erkhov_part2" "gasparov_part1" "gasparov_part2" "gasparov_part3" "gasparov_part4" "karelsky_part1" "karelsky_part2" "karelsky_part3" "karelsky_part4" "sanovich_part1" "sanovich_part2" "shishkin_part1" "shishkin_part2" "smirnov_part1" "smirnov_part2"
"и" 4.10836558499553 3.58312655086849 4.03649707428345 4.42240951908775 3.79066759526415 4.00596421471173 5.38773893235615 4.35647503481202 4.60820339656371 4.00079617834395 4.15594696220067 3.80650277557494 3.77771150213739 3.69636309582797 3.09135802469136 3.71181212060902 4.31626056688215 4.00955128842901 3.83510058467942 3.94971292813304
"в" 3.07631239456187 3.15632754342432 3.42160071407319 3.37134357957362 3.35290020893443 3.01192842942346 2.27790432801822 2.73522975929978 2.65170324759162 2.51791401273885 3.23570156342767 2.53766851704996 2.81340093448653 3.24051134674462 2.96296296296296 3.1545427405712 3.78915962207857 3.36284946771466 2.77474977702904 2.82122352009503
"не" 1.44884390195495 1.57816377171216 1.55707626698403 1.65592464055528 1.82071435678042 1.8986083499006 1.28751114192334 1.73065446588423 1.73800774654881 1.60230891719745 1.86028102117554 1.71490880253767 1.96838651953474 1.65494004558517 1.79753086419753 1.70166185690118 1.31277971158628 1.67147547507711 1.56575165989496 1.4650564244704
"на" 1.79616949488935 1.50868486352357 1.54715858375483 1.77491323748141 1.76101880409909 1.54075546719682 1.69357234822224 1.58146011537696 1.57910418115006 1.60230891719745 1.64258856125074 1.43735130848533 1.20290287304901 1.74412843127539 1.82716049382716 1.46283212259926 1.10392839383391 1.36304845289026 1.21890793776633 1.33636903583449
"он" 1.87555820184579 1.70719602977667 1.40831101854607 1.55676747645017 1.83066361556064 2.53479125248509 0.772506685154006 1.13387706385518 1.37054325156421 1.51273885350318 0.722343162477736 1.01110229976209 0.984193259767372 1.18917847586959 2.2320987654321 1.93054035227386 1.12381899552461 1.46254104069247 1.23872757903082 1.00970104929717
"что" 1.52823260891138 1.60794044665012 1.30913418625409 1.55676747645017 0.79594070241767 1.0934393638171 0.604139843517877 0.596777402029043 0.824312245506009 0.577229299363057 1.06867207599446 1.58604282315623 1.36196440998111 1.38737488851452 2.18271604938272 2.00019902477858 1.52163102933864 2.01969953238484 1.34773560598553 1.23737873688379
"с" 1.36945519499851 1.69727047146402 1.30913418625409 1.25929598413485 1.30335290020893 1.33200795228628 1.16866395959196 0.994629003381739 1.06266759360413 0.915605095541401 1.39521076588165 1.62569389373513 1.06372402823342 1.2981865028243 1.59012345679012 1.38322221116529 1.10392839383391 0.984976619241867 1.05044098701814 1.43535933478519
"его" 1.27021931130297 1.38957816377171 0.962015273232173 1.13039167079822 1.40284548801114 1.14314115308151 0.960681390512033 1.09409190371991 0.993147283742179 1.05493630573248 0.811399168810608 0.88223632038065 0.994134605825629 0.89188385690219 1.62962962962963 1.26380734401433 1.07409249129786 1.08446920704408 1.26845704092756 1.03939813898238
"но" 0.625186067281929 0.615384615384615 1.09094515521174 1.26921170054536 0.79594070241767 0.934393638170974 0.584331979795979 0.934951263178834 0.605819843082729 0.865843949044586 0.742133386107263 0.971451229183188 0.914603837359579 0.92161331879893 0.918518518518519 0.845855308985969 0.407757334659373 0.636752561934136 0.971162421960163 0.920609780241536
"а" 0.674804009129701 0.58560794044665 0.515719527918278 0.347050074367873 0.467615162670381 0.596421471172962 1.6242448251956 1.11398448378755 1.76780216506108 1.11464968152866 0.56402137344152 0.584853291038858 0.53683268714584 0.693687444257259 0.474074074074074 0.388098318240621 0.586772749875684 0.517361456571485 0.86215439500545 1.23737873688379
